,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,137.66,152.15,167.37,179.12,231.66,203.35,266.76,356.57,368.6,434.96
Depreciation & Amortization,42.28,42.14,49.89,55.53,64.68,81.11,79.33,86.56,91.33,99.75
Share-Based Compensation,5.84,10.16,8.72,12.4,13.73,14.16,20.85,14.87,21.22,24.61
Other Operating Activities,8.37,-8.1,0.55,-11.69,-10.66,20.96,68.85,-56.18,-15.21,-30.95
Operating Cash Flow,194.15,196.36,226.53,235.37,299.4,319.57,435.79,401.81,465.93,528.37
Operating Cash Flow Growth,19.35%,1.14%,15.36%,3.90%,27.20%,6.74%,36.36%,-7.80%,15.96%,13.40%
Capital Expenditures,-28.74,-39.5,-33.08,-24.68,-27.18,-27.15,-23.23,-27.19,-30.63,-32.47
Acquisitions,-62.77,-32.7,-45.61,-129.67,-76.43,-430.56,-147.61,-146.1,-119.19,-350.95
Change in Investments,0,0,0,-0.26,0.3,0,0,0,0,0
Other Investing Activities,2.04,2.25,1.85,0.44,1.93,2.6,8.45,74.33,15.68,10.52
Investing Cash Flow,-89.47,-69.94,-76.84,-154.18,-101.38,-455.11,-162.4,-98.97,-134.14,-372.9
Dividends Paid,-75.75,-91.76,-109,-122.02,-152.74,-153.84,-160.49,-208.66,-211.62,-264.35
Share Issuance / Repurchase,-35.51,-7.41,-31.07,-8.25,-9.54,-10.01,-8.28,-10.69,-7.07,-315.01
Debt Issued / Paid,0,0,0,0,0,291.5,-88.5,-48,-100,438
Other Financing Activities,4.74,1.95,3.7,-,-13.13,-15.97,-24.01,-22.81,-17.33,-8.06
Financing Cash Flow,-106.52,-97.22,-136.37,-130.26,-175.41,111.69,-281.27,-290.16,-336.02,-149.42
Exchange Rate Effect,-8,-3,-5.1,13.33,-14.18,2.64,12.08,-5.86,-5.73,2.43
Net Cash Flow,-9.84,26.2,8.21,-35.74,8.44,-21.21,4.2,6.82,-9.96,8.48
Free Cash Flow,165.41,156.86,193.44,210.69,272.22,292.43,412.56,374.61,435.3,495.9
Free Cash Flow Growth,14.84%,-5.17%,23.32%,8.92%,29.20%,7.42%,41.08%,-9.20%,16.20%,13.92%
Free Cash Flow Margin,11.72%,10.56%,12.29%,12.59%,14.94%,14.51%,19.09%,15.45%,16.15%,16.14%
Free Cash Flow Per Share,0.34,0.32,0.39,0.43,0.55,0.59,0.84,0.76,0.88,1.01
