,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Revenue,"1,412","1,485","1,573","1,674","1,822","2,015","2,161","2,424","2,696","3,073"
Revenue Growth (YoY),5.55%,5.22%,5.94%,6.39%,8.82%,10.65%,7.23%,12.17%,11.20%,14.00%
Cost of Revenue,707.74,735.98,772.35,819.94,894.44,993.59,"1,049","1,163","1,308","1,470"
Gross Profit,703.83,749.33,801.13,854.01,927.13,"1,022","1,113","1,262","1,387","1,603"
"Selling, General & Admin",441.71,463.74,490.53,503.43,550.7,623.38,657.21,727.49,802.71,915.23
Other Operating Expenses,42.89,42.57,50.13,56.34,65.92,81.11,79.33,86.56,91.33,104.95
Operating Expenses,484.6,506.31,540.65,559.77,616.62,704.49,736.54,814.05,894.04,"1,020"
Operating Income,219.23,243.02,260.48,294.24,310.51,317.39,376.09,447.64,493.39,583.23
Interest Expense / Income,0,0,0,-0.26,-0.22,6.92,5.08,0.83,2.64,19.06
Other Expense / Income,-0.25,-0.16,-0.16,-,-,49.32,8.29,-35.68,-8.17,-22.09
Pretax Income,219.48,243.18,260.64,294.5,310.73,261.16,362.72,482.49,498.92,586.26
Income Tax,81.82,91.03,93.27,115.38,79.07,57.81,95.96,125.92,130.32,151.3
Net Income,137.66,152.15,167.37,179.12,231.66,203.35,266.76,356.57,368.6,434.96
Net Income Growth,11.62%,10.52%,10.00%,7.02%,29.33%,-12.22%,31.18%,33.67%,3.37%,18.00%
Shares Outstanding (Basic),492,492,491,490,491,491,492,492,492,490
Shares Outstanding (Diluted),492,492,491,490,491,491,492,492,492,490
Shares Change,-0.19%,-0.05%,-0.16%,-0.12%,0.09%,0.06%,0.08%,0.09%,0.07%,-0.46%
EPS (Basic),0.28,0.31,0.34,0.37,0.47,0.41,0.54,0.72,0.75,0.89
EPS (Diluted),0.28,0.31,0.34,0.37,0.47,0.41,0.54,0.72,0.75,0.89
EPS Growth,12.45%,11.07%,9.32%,7.94%,28.07%,-12.77%,31.71%,33.33%,4.17%,18.67%
Free Cash Flow,165.41,156.86,193.44,210.69,272.22,292.43,412.56,374.61,435.3,495.9
Free Cash Flow Per Share,0.34,0.32,0.39,0.43,0.55,0.59,0.84,0.76,0.88,1.01
Dividend Per Share,0.129,0.187,0.222,0.249,0.311,0.313,0.327,0.420,0.430,0.540
Dividend Growth,20.56%,44.96%,18.72%,12.16%,24.90%,0.64%,4.47%,28.44%,2.38%,25.58%
Gross Margin,49.86%,50.45%,50.91%,51.02%,50.90%,50.70%,51.48%,52.04%,51.47%,52.17%
Operating Margin,15.53%,16.36%,16.55%,17.58%,17.05%,15.75%,17.40%,18.46%,18.30%,18.98%
Profit Margin,9.75%,10.24%,10.64%,10.70%,12.72%,10.09%,12.34%,14.71%,13.67%,14.15%
Free Cash Flow Margin,11.72%,10.56%,12.29%,12.59%,14.94%,14.51%,19.09%,15.45%,16.15%,16.14%
Effective Tax Rate,37.28%,37.43%,35.78%,39.18%,25.45%,22.14%,26.46%,26.10%,26.12%,25.81%
EBITDA,261.76,285.32,310.53,349.78,375.19,349.19,447.13,569.87,592.88,705.06
EBITDA Margin,18.54%,19.21%,19.74%,20.90%,20.60%,17.33%,20.69%,23.51%,21.99%,22.94%
Depreciation & Amortization,42.28,42.14,49.89,55.53,64.68,81.11,79.33,86.56,91.33,99.75
EBIT,219.48,243.18,260.64,294.24,310.51,268.08,367.8,483.32,501.56,605.31
EBIT Margin,15.55%,16.37%,16.56%,17.58%,17.05%,13.30%,17.02%,19.94%,18.60%,19.70%
