,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"22,010","24,022","24,223","22,060","18,655","22,186","20,026","20,644","22,829","19,121","19,000"
Market Cap Growth,5.89%,9.14%,0.84%,-8.93%,-15.44%,18.93%,-9.73%,3.09%,10.58%,-16.24%,-
Enterprise Value,"28,937","31,530","31,710","30,394","27,227","30,258","27,703","28,087","29,701",-,"25,252"
PE Ratio,34.83,39.12,34.90,17.38,13.96,23.11,16.01,13.87,23.78,20.11,20.18
PS Ratio,1.51,1.78,1.86,1.71,1.38,1.63,1.45,1.46,1.49,1.46,1.25
PB Ratio,7.89,11.29,12.68,9.97,7.17,8.08,6.44,5.55,5.79,0,5.98
P/FCF Ratio,18.17,21.11,21.61,19.27,19.47,37.60,13.52,17.98,19.63,11.62,21.25
P/OCF Ratio,12.28,14.21,14.88,13.40,12.15,18.87,10.08,12.14,13.83,11.62,13.57
EV/Sales Ratio,1.98,2.33,2.44,2.35,2.01,2.23,2.01,1.98,1.94,-,1.66
EV/EBITDA Ratio,18.91,20.55,17.14,12.65,11.74,14.60,11.73,10.58,15.69,-,11.83
EV/EBIT Ratio,28.18,31.53,23.79,15.81,15.09,19.04,14.72,12.83,20.99,-,14.05
EV/FCF Ratio,23.89,27.71,28.29,26.54,28.42,51.28,18.71,24.47,25.54,-,28.25
Debt / Equity Ratio,2.64,3.65,4.06,3.89,3.42,3.08,2.61,2.08,1.82,0,2.06
Debt / EBITDA Ratio,4.81,4.80,4.19,3.23,3.71,4.29,3.59,3.05,4.08,4.76,3.06
Debt / FCF Ratio,6.08,6.48,6.92,6.78,8.99,15.07,5.72,7.07,6.65,4.36,7.30
Quick Ratio,0.39,0.28,0.34,0.37,0.37,0.41,0.38,0.33,0.32,0,0.36
Current Ratio,0.77,0.56,0.66,0.68,0.70,0.72,0.66,0.64,0.66,0,0.66
Asset Turnover,0.96,0.89,0.86,0.79,0.76,0.77,0.77,0.78,0.83,0,0.85
Interest Coverage,4.90,4.81,3.44,7.60,5.94,4.93,6.27,7.86,7.50,4.97,3.86
Return on Equity (ROE),17.83%,22.02%,32.61%,66.41%,60.40%,36.91%,45.54%,47.81%,25.81%,24.13%,29.95%
Return on Assets (ROA),4.08%,4.06%,4.55%,8.40%,8.17%,5.40%,7.12%,8.27%,5.28%,5.14%,6.09%
Return on Capital (ROIC),7.27%,8.53%,10.56%,15.11%,13.61%,9.19%,12.53%,11.85%,11.37%,12.38%,13.13%
Earnings Yield,2.87%,2.56%,2.86%,5.75%,7.16%,4.33%,6.25%,7.21%,4.21%,4.97%,5.01%
FCF Yield,5.50%,4.74%,4.63%,5.19%,5.14%,2.66%,7.40%,5.56%,5.09%,8.60%,4.71%
Dividend Yield,3.09%,2.91%,2.96%,3.34%,4.08%,3.47%,3.90%,3.82%,3.49%,4.18%,2.95%
Payout Ratio,107.59%,114.01%,103.17%,58.00%,57.04%,80.10%,62.51%,52.96%,83.02%,84.12%,59.48%
Buyback Yield / Dilution,1.37%,1.11%,0.56%,2.37%,-0.69%,1.48%,-0.52%,0.28%,-,-0.39%,-0.58%
Total Shareholder Return,4.46%,4.03%,3.52%,5.71%,3.39%,4.94%,3.39%,4.10%,3.49%,3.79%,2.36%
