,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,390,869,457,471,604,8,529,454,499,300,78,122,"1,106",224,567,253,701,-85,283,306,605,313,-54,375,407,109
Depreciation & Amortization,41,42,43,45,43,51,58,60,50,57,57,94,68,70,78,84,79,93,92,99,99,103,106,103,96,97
Share-Based Compensation,0,0,0,0,0,0,5,31,27,38,36,36,31,44,37,35,15,32,28,27,7,25,23,19,24,24
Other Operating Activities,-166,"-1,211",320,16,-400,-270,996,355,-374,-853,"1,430",768,-938,-368,947,401,-766,-725,"1,204",501,-441,-972,"1,493",-4,-526,-766
Operating Cash Flow,265,-300,820,532,247,-211,"1,588",900,202,-458,"1,601","1,020",267,-30,"1,629",773,29,-685,"1,607",933,270,-531,"1,568",493,1,-536
Operating Cash Flow Growth,-,-,-,-,-6.79%,-,93.66%,69.17%,-18.22%,-,0.82%,13.33%,32.18%,-,1.75%,-24.22%,-89.14%,-,-1.35%,20.70%,831.03%,-,-2.43%,-47.16%,-99.63%,-
Capital Expenditures,-29,-83,-36,-67,-42,-46,-59,-88,-39,-71,-82,-167,-117,-125,-91,-151,-53,-68,-70,-116,-74,-79,-84,-120,-71,-79
Acquisitions,0,0,0,0,0,0,0,0,0,-260,-306,-435,-1,1,93,-51,7,-154,-14,1,0,0,0,0,0,0
Change in Investments,0,0,0,0,-100,0,0,-238,0,0,349,-103,-31,-55,0,0,-29,1,0,0,-31,-19,-5,1,0,-6
Other Investing Activities,352,-1,-6,-2,-65,2,-1,-,-1,22,-9,2,-,-1,-2,3,-,-,-6,-12,-13,-5,-8,-1,13,-
Investing Cash Flow,323,-84,-42,-69,-207,-44,-60,-326,-40,-309,-48,-703,-149,-180,0,-199,-75,-221,-90,-127,-118,-103,-97,-120,-58,-85
Dividends Paid,0,0,0,-41,0,-22,-11,-155,-14,-155,-152,-14,-15,-161,-6,-148,-150,0,-145,-12,-147,-8,-136,-8,-135,-7
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,0,-421,-179,0,-267,-149,-297,-288,-250,-247,-251,-252,-250,-250,"-1,250",-250,-250,-250
Debt Issued / Paid,0,0,0,0,0,0,"6,750",0,0,0,0,"1,191",0,0,0,0,0,0,-750,0,0,0,0,0,0,"1,232"
Other Financing Activities,-594,427,947,297,216,-528,"-7,400",-3,-42,-6,-17,-45,580,-39,-63,-17,-29,-3,8,24,-5,-,3,11,-1,-61
Financing Cash Flow,-594,427,947,256,216,-550,-661,-158,-56,-582,-348,"1,132",298,-349,-366,-453,-429,-250,"-1,138",-240,-402,-258,"-1,383",-247,-386,914
Net Cash Flow,-6,43,"1,725",719,256,-805,867,416,106,"-1,349","1,205","1,449",416,-559,"1,263",121,-475,"-1,156",379,566,-250,-892,88,126,-443,293
Free Cash Flow,236,-383,784,465,205,-257,"1,529",812,163,-529,"1,519",853,150,-155,"1,538",622,-24,-753,"1,537",817,196,-610,"1,484",373,-70,-615
Free Cash Flow Growth,-,-,-,-,-13.14%,-,95.03%,74.62%,-20.49%,-,-0.65%,5.05%,-7.98%,-,1.25%,-27.08%,-,-,-0.07%,31.35%,-,-,-3.45%,-54.35%,-,-
Free Cash Flow Margin,10.79%,-12.32%,31.83%,19.42%,8.07%,-7.17%,55.56%,32.31%,6.11%,-14.00%,44.16%,35.28%,5.52%,-3.79%,47.84%,21.52%,-0.79%,-16.96%,44.49%,26.94%,6.14%,-13.25%,36.34%,12.30%,-2.18%,-14.53%
Free Cash Flow Per Share,-,-,1.26,0.75,0.33,-0.41,2.46,1.31,0.26,-0.86,2.50,1.41,0.25,-0.26,2.61,1.07,-0.04,-1.32,2.73,1.47,0.36,-1.13,2.85,0.74,-0.14,-1.28
