,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"11,753","13,645","17,899","17,161","17,516","19,501","27,626","22,376","17,352","19,661","18,746"
Market Cap Growth,7.37%,16.10%,31.18%,-4.12%,2.07%,11.33%,41.66%,-19.00%,-22.45%,13.31%,-
Enterprise Value,"13,737","15,454","19,810","18,938","19,868","22,073","29,877","25,223","20,272","22,218","21,520"
PE Ratio,21.06,23.53,27.62,24.48,21.28,23.78,29.42,31.52,37.56,131.95,239.76
PS Ratio,2.13,2.41,3.11,2.87,2.86,3.14,4.11,3.05,2.44,2.66,2.56
PB Ratio,76.32,115.64,60.27,31.66,24.13,34.89,30.43,54.44,31.21,89.37,353.70
P/FCF Ratio,18.66,18.22,29.54,27.07,22.40,24.81,21.38,23.68,32.43,21.14,25.75
P/OCF Ratio,15.32,15.61,23.01,19.84,17.95,19.66,17.87,17.54,22.08,16.98,19.86
EV/Sales Ratio,2.49,2.73,3.44,3.17,3.24,3.55,4.45,3.44,2.85,3.01,2.94
EV/EBITDA Ratio,12.02,13.28,16.03,14.77,15.22,16.97,20.41,21.00,21.84,40.25,45.21
EV/EBIT Ratio,14.22,15.53,18.50,16.92,17.44,19.69,23.27,25.48,28.80,70.31,91.19
EV/FCF Ratio,21.80,20.63,32.69,29.87,25.41,28.08,23.12,26.69,37.89,23.89,29.56
Debt / Equity Ratio,15.02,18.57,7.78,4.05,3.42,4.80,3.44,7.70,5.58,13.29,59.04
Debt / EBITDA Ratio,2.02,1.88,1.87,1.71,1.90,2.06,2.13,2.64,3.34,5.30,6.57
Debt / FCF Ratio,3.67,2.93,3.82,3.46,3.18,3.41,2.42,3.35,5.80,3.14,4.30
Quick Ratio,0.53,0.64,0.62,0.54,0.61,0.52,1.07,0.45,0.48,0.55,0.51
Current Ratio,0.85,1.02,0.95,0.84,1.09,0.91,1.43,0.89,0.97,0.95,0.89
Asset Turnover,1.27,1.31,1.35,1.31,1.23,1.22,1.17,1.11,1.14,1.23,1.24
Interest Coverage,9.38,9.95,12.17,12.72,13.40,11.56,12.97,10.00,6.64,3.51,2.57
Return on Equity (ROE),502.70%,266.70%,296.90%,186.30%,112.90%,118.90%,138.70%,82.20%,112.90%,68.50%,133.90%
Return on Assets (ROA),12.90%,13.50%,15.20%,15.40%,16.60%,16.10%,16.40%,10.80%,7.40%,2.50%,1.40%
Return on Capital (ROIC),25.87%,28.66%,27.06%,27.85%,27.71%,27.69%,25.25%,22.25%,15.05%,6.88%,4.35%
Earnings Yield,4.75%,4.25%,3.62%,4.08%,4.70%,4.20%,3.40%,3.17%,2.66%,0.76%,0.43%
FCF Yield,5.36%,5.49%,3.39%,3.69%,4.46%,4.03%,4.68%,4.22%,3.08%,4.73%,3.88%
Dividend Yield,3.10%,2.80%,2.20%,2.40%,2.60%,2.50%,1.90%,2.50%,3.30%,3.00%,3.18%
Payout Ratio,65.90%,66.50%,61.50%,58.90%,54.60%,59.80%,56.80%,78.40%,123.70%,390.10%,761.90%
Buyback Yield / Dilution,0.92%,-0.78%,0.80%,0.11%,-0.01%,1.36%,1.63%,0.29%,2.67%,-0.22%,-0.51%
Total Shareholder Return,4.02%,2.02%,3.00%,2.51%,2.59%,3.86%,3.53%,2.79%,5.97%,2.78%,2.67%
