,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"4,415","4,044","5,320","8,882","6,950","10,013","13,459","29,262","26,970","35,976","33,605"
Market Cap Growth,20.57%,-8.40%,31.55%,66.94%,-21.76%,44.09%,34.41%,117.41%,-7.83%,33.39%,-
Enterprise Value,"5,089","4,821","7,915","10,885","8,646","12,732","15,870","31,007","27,282","36,853","34,482"
PE Ratio,23.28,19.61,29.22,10.96,11.08,47.30,57.47,28.98,14.16,16.47,16.08
PS Ratio,1.40,1.16,1.36,1.60,1.18,1.82,2.56,4.34,3.24,4.36,4.07
PB Ratio,2.72,2.52,2.92,3.20,2.19,3.03,3.80,6.38,4.36,4.62,4.32
P/FCF Ratio,15.71,19.31,14.43,12.46,8.69,150.35,32.89,22.44,16.28,81.32,75.96
P/OCF Ratio,9.17,8.59,9.16,8.12,5.45,14.41,15.22,16.42,10.24,18.19,16.99
EV/Sales Ratio,1.61,1.38,2.03,1.96,1.47,2.31,3.02,4.60,3.28,4.47,4.18
EV/EBITDA Ratio,10.34,7.72,11.51,9.32,6.22,12.53,16.40,16.46,9.07,11.45,10.71
EV/EBIT Ratio,22.76,18.08,24.47,15.86,9.82,30.12,46.30,24.10,11.11,14.13,13.22
EV/FCF Ratio,18.11,23.01,21.47,15.27,10.81,191.17,38.78,23.78,16.47,83.30,77.94
Debt / Equity Ratio,0.73,0.87,1.99,1.06,0.87,1.09,0.99,0.68,0.52,0.43,0.43
Debt / EBITDA Ratio,2.42,2.23,5.27,2.53,1.99,3.56,3.61,1.64,1.07,1.04,1.04
Debt / FCF Ratio,4.24,6.65,9.83,4.14,3.46,54.24,8.53,2.38,1.95,7.59,7.59
Quick Ratio,0.90,0.84,1.10,1.17,1.19,0.88,1.05,1.40,1.82,1.57,1.57
Current Ratio,1.74,1.53,1.91,2.08,2.16,1.66,1.90,2.45,2.78,2.71,2.71
Asset Turnover,0.88,0.90,0.66,0.81,0.80,0.67,0.57,0.75,0.76,0.64,0.64
Interest Coverage,6.56,5.37,2.23,4.86,6.87,2.85,2.04,9.87,25.87,34.88,34.88
Return on Equity (ROE),11.90%,12.90%,10.50%,35.80%,20.30%,6.50%,7.00%,25.00%,34.30%,30.50%,30.50%
Return on Assets (ROA),5.30%,5.30%,3.10%,11.80%,8.50%,2.60%,2.50%,11.30%,17.30%,17.00%,17.00%
Return on Capital (ROIC),8.13%,8.26%,4.63%,17.69%,11.90%,4.83%,6.66%,14.63%,20.19%,19.64%,19.64%
Earnings Yield,4.30%,5.10%,3.42%,9.13%,9.03%,2.11%,1.74%,3.45%,7.06%,6.07%,6.50%
FCF Yield,6.37%,5.18%,6.93%,8.03%,11.51%,0.67%,3.04%,4.46%,6.14%,1.23%,1.32%
Buyback Yield / Dilution,1.60%,3.54%,1.82%,-1.98%,-1.77%,4.57%,-0.67%,-5.97%,-0.99%,0.31%,0.31%
Total Shareholder Return,1.60%,3.54%,1.82%,-1.98%,-1.77%,4.57%,-0.67%,-5.97%,-0.99%,0.31%,0.31%
