,2013-12-31,2014-03-30,2014-06-29,2014-09-28,2014-12-31,2015-03-29,2015-06-28,2015-09-27,2015-12-31,2016-03-27,2016-06-26,2016-09-25,2016-12-31,2017-04-02,2017-07-02,2017-10-01,2017-12-31,2018-04-01,2018-07-01,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-29,2019-12-31,2020-03-29,2020-06-28,2020-09-27,2020-12-31,2021-03-28,2021-06-27,2021-09-26,2021-12-31,2022-03-27,2022-06-26,2022-09-25,2022-12-31,2023-04-02,2023-07-02,2023-10-01,Current
Market Capitalization,"3,862","4,355","4,351","4,396","4,755","4,969","5,679","5,405","5,469","6,436","7,466","7,554","7,099","8,699","9,345","10,898","11,209","11,806","12,215","12,186","11,885","13,906","15,284","15,517","17,428","13,098","16,521","15,621","19,165","19,284","19,264","18,163","15,388","15,908","12,103","9,732","11,709","11,891","11,369","9,230","11,798"
Market Cap Growth,32.31%,25.77%,36.57%,30.38%,23.13%,14.09%,30.54%,22.95%,15.00%,29.53%,31.45%,39.78%,29.82%,35.18%,25.18%,44.26%,57.89%,35.71%,30.71%,11.82%,6.03%,17.78%,25.12%,27.33%,46.63%,-5.81%,8.10%,0.67%,9.97%,47.22%,16.60%,16.28%,-19.71%,-17.51%,-37.17%,-46.42%,-23.90%,-25.25%,-6.06%,-5.16%,-
Enterprise Value,"4,716","5,223","5,175","5,175","5,520","5,761","6,466","6,191","6,189","7,106","8,071","8,087","7,589","10,099","10,669","12,130","13,125","13,659","14,101","13,983","13,687","15,895","17,208","17,362","19,137","15,183","18,472","17,492","21,354","21,418","21,311","19,847","16,909","17,401","13,615","11,142","13,249","13,380","12,788","10,498","13,066"
PE Ratio,25.60,27.42,26.59,25.58,25.34,26.00,30.15,27.81,22.33,25.02,27.45,27.23,29.91,38.35,38.06,42.53,73.49,70.05,138.74,180.39,59.19,74.96,56.32,34.96,37.77,23.74,34.43,42.51,57.16,69.11,54.91,41.91,31.70,32.62,23.73,23.59,32.24,32.78,30.85,22.86,29.40
PS Ratio,2.28,2.53,2.46,2.42,2.59,2.71,3.13,3.00,3.02,3.57,4.09,4.11,3.80,4.51,4.71,5.28,5.22,5.26,5.25,5.07,4.85,5.62,6.07,6.07,6.72,5.01,6.54,6.23,7.55,7.59,7.17,6.58,5.48,5.65,4.31,3.48,4.20,4.16,3.92,3.12,3.99
PB Ratio,2.02,2.24,2.19,2.22,2.49,2.67,2.96,2.79,2.72,3.13,3.52,3.48,3.32,3.92,3.96,4.41,4.61,4.61,5.02,4.86,4.68,5.41,5.74,5.44,5.85,4.26,5.33,4.83,5.74,5.71,5.56,4.97,4.10,4.19,3.14,2.50,2.91,2.89,2.70,2.14,2.73
P/FCF Ratio,23.49,21.34,18.57,17.64,21.71,22.88,27.29,29.25,22.85,23.60,22.82,19.69,19.98,22.93,26.19,30.94,32.12,35.16,37.48,37.55,33.33,42.53,47.97,48.30,51.74,49.50,50.57,51.34,55.44,41.21,40.24,32.15,26.54,29.60,28.75,26.07,44.53,43.04,35.02,24.31,31.07
P/OCF Ratio,16.94,16.49,14.91,14.60,16.59,17.31,20.57,21.23,18.18,19.72,20.02,17.73,17.38,20.12,21.99,25.53,26.70,28.39,30.22,30.20,27.17,33.55,36.71,36.34,39.65,35.97,39.99,40.19,43.92,34.52,33.95,28.14,23.62,26.39,24.79,21.85,34.22,32.65,27.68,19.64,25.10
Debt / Equity Ratio,0.67,0.66,0.54,0.54,0.56,0.59,0.58,0.55,0.53,0.52,0.51,0.48,0.48,0.94,0.85,0.91,0.93,0.87,0.92,0.86,0.85,0.88,0.84,0.74,0.67,0.81,0.81,0.69,0.77,0.73,0.70,0.59,0.52,0.52,0.47,0.46,0.46,0.43,0.40,0.50,0.50
Quick Ratio,1.15,1.14,0.83,0.85,0.91,0.89,0.92,0.84,0.90,0.99,1.77,1.68,1.91,2.48,2.61,3.53,1.40,1.34,1.31,1.33,1.24,1.24,1.39,1.23,1.28,2.11,2.03,1.55,1.43,1.43,1.47,1.57,1.22,1.33,1.19,1.29,1.21,1.17,1.22,2.23,2.23
