,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"18,566","16,789","15,966","20,379","21,407","15,427","21,815","19,641","29,778","22,521","23,107"
Market Cap Growth,36.10%,-9.57%,-4.90%,27.64%,5.05%,-27.94%,41.41%,-9.96%,51.61%,-24.37%,-
Enterprise Value,"26,685","30,365","30,894","36,042","37,983","29,670","34,778","32,959","39,866","37,787","41,379"
PE Ratio,10.32,11.87,9.75,13.84,10.17,7.28,9.02,14.85,11.20,9.67,9.64
PS Ratio,2.83,2.93,2.60,3.42,3.17,2.30,2.78,3.02,3.60,2.88,2.81
PB Ratio,1.27,1.07,1.01,1.26,1.32,0.95,1.03,0.85,1.34,1.30,1.40
P/FCF Ratio,4.48,9.23,7.24,10.95,16.61,5.55,13.55,426.99,12.19,3.78,5.69
P/OCF Ratio,4.04,8.09,6.60,9.75,14.46,5.40,11.96,52.94,11.01,3.50,5.12
EV/Sales Ratio,4.07,5.29,5.03,6.04,5.62,4.41,4.42,5.06,4.82,4.84,5.03
EV/EBITDA Ratio,8.57,12.44,10.99,13.52,11.44,9.49,9.47,14.40,10.31,10.71,11.15
EV/EBIT Ratio,10.23,14.99,13.03,16.29,12.75,10.73,10.86,18.34,11.34,12.22,12.72
EV/FCF Ratio,6.43,16.70,14.00,19.37,29.47,10.68,21.60,716.51,16.32,6.34,10.19
Debt / Equity Ratio,0.77,1.07,1.10,1.11,1.18,1.04,0.77,0.71,0.59,1.08,1.28
Debt / EBITDA Ratio,3.63,6.83,6.21,6.77,5.75,5.42,4.42,7.19,3.38,5.31,5.69
Debt / FCF Ratio,2.72,9.17,7.92,9.70,14.81,6.09,10.09,357.93,5.36,3.14,5.20
Asset Turnover,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.03,0.04,0.04,0.04
Return on Equity (ROE),12.50%,9.20%,10.40%,8.90%,12.90%,13.10%,11.70%,5.90%,11.80%,12.70%,13.80%
Return on Assets (ROA),1.40%,1.10%,1.20%,1.00%,1.50%,1.50%,1.40%,0.70%,1.30%,1.10%,1.20%
Return on Capital (ROIC),7.07%,4.59%,5.13%,4.51%,6.18%,6.61%,6.71%,3.61%,7.85%,6.78%,6.79%
Earnings Yield,9.69%,8.42%,10.25%,7.22%,9.83%,13.73%,11.09%,6.74%,8.93%,10.35%,10.47%
FCF Yield,22.34%,10.83%,13.82%,9.13%,6.02%,18.01%,7.38%,0.23%,8.20%,26.46%,17.57%
Dividend Yield,2.20%,2.50%,2.60%,2.00%,2.00%,3.10%,3.10%,3.90%,2.60%,3.80%,4.13%
Payout Ratio,22.90%,30.40%,25.60%,27.60%,21.00%,23.80%,27.80%,58.70%,30.20%,37.30%,39.77%
Buyback Yield / Dilution,5.37%,5.79%,4.19%,5.34%,3.11%,7.45%,-5.04%,0.05%,1.19%,2.28%,1.08%
Total Shareholder Return,7.57%,8.29%,6.79%,7.34%,5.11%,10.55%,-1.94%,3.95%,3.79%,6.08%,5.21%
