,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"4,705","6,284","9,682","14,131","8,185","7,745","15,705","27,346","25,406","16,955","14,386"
Market Cap Growth,-8.81%,33.56%,54.06%,45.96%,-42.08%,-5.38%,102.78%,74.12%,-7.09%,-33.26%,-
Enterprise Value,"5,150","9,888","9,781","14,831","9,335","10,182","18,530","29,301","27,124","20,232","17,663"
PE Ratio,35.30,18.77,15.04,257.64,11.80,14.52,41.79,221.11,9.45,10.78,9.18
PS Ratio,1.92,2.22,3.62,4.60,2.42,2.16,5.02,8.22,3.47,1.76,1.50
PB Ratio,3.46,1.93,2.55,3.85,2.28,1.97,3.68,4.86,3.18,1.80,1.53
P/FCF Ratio,12.32,47.19,17.97,-1029.68,-53.21,-63.45,-304.57,-44.87,39.32,-20.58,-20.58
P/OCF Ratio,9.55,17.42,13.16,46.49,14.99,10.77,19.66,79.43,13.32,12.79,10.85
EV/Sales Ratio,2.11,3.50,3.65,4.83,2.77,2.84,5.92,8.80,3.71,2.10,1.84
EV/EBITDA Ratio,17.36,14.38,9.48,18.56,8.55,11.41,25.20,62.53,7.74,7.93,6.93
EV/EBIT Ratio,26.66,23.12,12.15,24.64,10.48,14.99,36.82,136.54,8.47,9.54,8.33
EV/FCF Ratio,13.48,74.26,18.15,-1080.69,-60.69,-83.41,-359.36,-48.08,41.97,-24.55,-24.55
Debt / Equity Ratio,2.16,1.17,0.62,0.50,0.48,0.78,0.84,0.43,0.40,0.44,0.44
Debt / EBITDA Ratio,9.89,5.55,2.30,2.30,1.56,3.42,4.86,5.11,0.92,1.63,1.63
Debt / FCF Ratio,7.68,28.67,4.40,-133.88,-11.09,-24.99,-69.28,-3.93,4.98,-5.06,-5.06
Quick Ratio,2.57,0.42,2.45,1.42,1.03,0.92,0.74,0.57,1.05,0.73,0.73
Current Ratio,2.94,1.13,2.90,2.06,1.69,1.58,1.22,1.06,1.89,1.47,1.47
Asset Turnover,0.63,0.29,0.30,0.41,0.45,0.42,0.31,0.31,0.55,0.52,0.52
Interest Coverage,4.67,5.24,12.35,5.22,17.00,11.77,6.88,3.49,26.05,18.26,18.26
Return on Equity (ROE),9.00%,10.60%,18.70%,1.50%,19.00%,14.00%,9.20%,2.10%,40.40%,16.40%,16.40%
Return on Assets (ROA),3.40%,3.40%,7.10%,0.70%,9.20%,6.30%,3.70%,1.20%,20.20%,8.50%,8.50%
Return on Capital (ROIC),5.55%,4.72%,6.76%,1.17%,10.96%,8.19%,5.64%,8.04%,19.26%,1.46%,1.46%
Earnings Yield,2.83%,5.33%,6.65%,0.39%,8.47%,6.89%,2.39%,0.45%,10.59%,9.28%,10.94%
FCF Yield,8.12%,2.12%,5.57%,-0.10%,-1.88%,-1.58%,-0.33%,-2.23%,2.54%,-4.86%,-5.73%
Dividend Yield,1.80%,2.10%,1.40%,1.00%,1.70%,2.00%,1.00%,0.70%,0.70%,1.10%,1.30%
Payout Ratio,65.10%,38.50%,21.30%,261.20%,20.90%,29.20%,43.60%,145.80%,6.90%,11.90%,11.98%
Buyback Yield / Dilution,6.19%,-41.03%,-1.51%,0.76%,2.60%,2.87%,-0.46%,-9.11%,-1.08%,0.02%,0.02%
Total Shareholder Return,7.99%,-38.93%,-0.11%,1.76%,4.30%,4.87%,0.54%,-8.41%,-0.38%,1.12%,1.33%
