,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"61,194","75,947","61,591","79,127","94,860","68,204","82,743","123,984","176,139","143,693","141,973"
Market Cap Growth,62.11%,24.11%,-18.90%,28.47%,19.88%,-28.10%,21.32%,49.84%,42.07%,-18.42%,-
Enterprise Value,"132,040","155,474","172,913","178,601","218,318","180,136","207,897","251,272","291,582","261,782","290,433"
PE Ratio,23.05,24.10,10.86,14.37,16.98,8.30,9.72,11.81,12.09,13.63,15.47
PS Ratio,1.88,2.22,1.75,2.29,2.50,1.70,1.99,2.54,2.95,2.68,2.63
PB Ratio,0.93,1.07,0.82,1.04,1.23,0.85,1.01,1.22,1.67,1.44,1.43
P/FCF Ratio,1.82,807.95,-10.55,19.27,-15.46,12.54,2.12,-4.65,5.56,-15.17,-4.10
P/OCF Ratio,1.75,69.93,-13.80,14.70,-21.06,9.34,2.03,-4.91,5.18,-22.46,-4.54
EV/Sales Ratio,4.06,4.54,4.92,5.16,5.75,4.49,5.00,5.15,4.88,4.88,5.38
EV/EBITDA Ratio,24.70,34.26,17.72,17.11,18.14,13.92,15.12,13.96,12.25,14.59,17.69
EV/EBIT Ratio,34.44,46.04,20.77,20.52,21.24,16.23,18.72,17.65,14.89,18.78,23.49
EV/FCF Ratio,3.92,1653.98,-29.63,43.49,-35.59,33.11,5.34,-9.42,9.21,-27.63,-8.59
Debt / Equity Ratio,2.58,2.36,2.20,2.33,2.63,2.48,2.54,2.29,2.31,2.46,2.59
Debt / EBITDA Ratio,31.79,36.83,16.95,16.94,16.94,15.39,15.08,12.94,10.22,13.73,15.64
Debt / FCF Ratio,5.04,1777.85,-28.34,43.06,-33.23,36.60,5.32,-8.73,7.68,-25.99,-7.78
Asset Turnover,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.05
Return on Equity (ROE),4.10%,4.50%,7.60%,7.20%,7.10%,10.30%,10.40%,10.30%,13.80%,10.50%,9.20%
Return on Assets (ROA),0.30%,0.40%,0.70%,0.70%,0.70%,1.00%,1.00%,0.90%,1.20%,0.90%,0.80%
Return on Capital (ROIC),1.48%,1.55%,2.60%,2.40%,2.20%,3.17%,3.23%,3.50%,4.33%,3.28%,2.92%
Earnings Yield,4.34%,4.15%,9.21%,6.96%,5.89%,12.05%,10.29%,8.47%,8.27%,7.34%,6.52%
FCF Yield,55.06%,0.12%,-9.48%,5.19%,-6.47%,7.98%,47.07%,-21.51%,17.98%,-6.59%,-23.27%
Dividend Yield,0.60%,0.90%,1.70%,1.70%,1.70%,2.80%,2.50%,2.00%,2.10%,3.50%,3.93%
Payout Ratio,14.40%,21.30%,18.50%,23.50%,28.70%,22.90%,24.70%,21.40%,25.70%,47.40%,60.82%
Buyback Yield / Dilution,-1.97%,-0.74%,0.91%,3.38%,3.50%,4.56%,5.64%,0.98%,-11.70%,5.57%,3.18%
Total Shareholder Return,-1.37%,0.16%,2.61%,5.08%,5.20%,7.36%,8.14%,2.98%,-9.60%,9.07%,7.11%
