,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"11,324","11,502","10,562","14,624","13,586","20,581","21,024","36,376","24,844",-,"28,385"
Market Cap Growth,31.22%,1.57%,-8.17%,38.46%,-7.09%,51.48%,2.15%,73.03%,-31.70%,-,-
Enterprise Value,"13,007","15,392","13,602","16,783","15,908","23,581","23,224","38,142","27,018",-,"35,761"
PE Ratio,23.37,21.02,18.47,21.15,12.78,16.05,27.96,19.81,17.65,0,29.19
PS Ratio,1.25,1.06,0.81,1.03,0.64,0.86,0.88,1.31,0.81,-,0.89
PB Ratio,5.01,4.24,3.50,3.64,2.75,3.30,2.97,4.27,3.16,0,3.13
P/FCF Ratio,23.08,22.45,40.76,27.46,15.04,22.13,13.44,16.89,18.15,-,-304.61
P/OCF Ratio,17.11,17.64,23.46,20.58,12.01,16.82,11.48,15.39,15.25,-,207.77
EV/Sales Ratio,1.44,1.42,1.04,1.18,0.75,0.99,0.97,1.37,0.88,-,1.12
EV/EBITDA Ratio,11.62,11.80,9.94,9.95,8.15,12.04,14.37,13.09,12.53,-,17.81
EV/EBIT Ratio,15.22,15.54,13.57,13.10,10.61,15.52,20.84,15.97,17.51,-,23.76
EV/FCF Ratio,26.52,30.04,52.50,31.52,17.61,25.36,14.85,17.71,19.74,-,-365.08
Debt / Equity Ratio,1.07,1.63,1.26,0.72,0.63,0.64,0.58,0.49,0.44,0,0.75
Debt / EBITDA Ratio,2.22,1.86,3.24,2.25,1.49,1.58,2.46,1.41,1.95,1.74,4.30
Debt / FCF Ratio,5.07,4.73,17.10,7.14,3.22,3.33,2.54,1.90,3.07,0.01,-115.76
Quick Ratio,1.09,0.96,1.03,1.06,1.00,1.15,1.20,1.16,1.20,0,1.09
Current Ratio,1.09,0.98,1.04,1.08,1.01,1.17,1.22,1.17,1.04,0,1.19
Asset Turnover,1.18,0.99,1.21,1.24,1.59,1.48,1.32,1.26,1.50,0,1.47
Interest Coverage,7.07,7.03,5.63,7.83,10.14,14.69,14.31,47.44,21.91,0,7.05
Return on Equity (ROE),25.56%,24.21%,21.09%,22.94%,26.45%,25.96%,12.07%,25.95%,16.50%,12.56%,10.87%
Return on Assets (ROA),6.92%,7.12%,5.19%,6.41%,9.26%,9.53%,4.64%,10.18%,6.38%,4.81%,4.37%
Return on Capital (ROIC),11.94%,11.34%,7.57%,9.42%,12.14%,14.87%,7.41%,16.34%,10.20%,7.92%,5.72%
Earnings Yield,4.28%,4.76%,5.42%,4.73%,7.83%,6.23%,3.58%,5.05%,5.66%,-,3.47%
FCF Yield,4.33%,4.46%,2.45%,3.64%,6.65%,4.52%,7.44%,5.92%,5.51%,0.00%,-0.26%
Buyback Yield / Dilution,Upgrade,-0.73%,-0.67%,-0.60%,-0.70%,-0.69%,0.76%,0.63%,-0.39%,3.54%,-
Total Shareholder Return,Upgrade,-0.73%,-0.67%,-0.60%,-0.70%,-0.69%,0.76%,0.63%,-0.39%,3.54%,-
