,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"30,659","25,597","27,764","42,813","42,783","55,452","70,794","106,137","119,777","104,011","100,987"
Market Cap Growth,-2.15%,-16.51%,8.46%,54.21%,-0.07%,29.61%,27.67%,49.92%,12.85%,-13.16%,-
Enterprise Value,"63,831","58,284","59,039","73,523","81,135","96,929","109,726","146,532","166,902","159,964","156,940"
PE Ratio,9.70,13.19,18.22,19.83,18.07,17.05,25.73,17.80,16.80,10.23,10.42
PS Ratio,0.85,0.89,1.04,1.44,1.15,1.41,1.99,2.41,2.28,1.70,1.65
PB Ratio,3.38,3.80,4.26,4.48,3.79,4.86,5.47,5.76,5.91,4.77,4.64
P/FCF Ratio,15.66,12.91,13.41,40.97,120.51,34.42,10.71,14.66,39.87,17.05,16.55
P/OCF Ratio,8.70,6.81,7.36,19.50,23.48,16.25,9.46,13.74,25.49,12.11,11.76
EV/Sales Ratio,1.77,2.02,2.22,2.47,2.17,2.47,3.09,3.33,3.17,2.61,2.56
EV/EBITDA Ratio,9.44,12.04,12.98,12.80,11.23,12.77,15.24,13.74,13.80,9.14,8.97
EV/EBIT Ratio,11.71,16.84,19.76,18.25,15.31,17.40,21.60,17.01,16.36,10.33,10.13
EV/FCF Ratio,32.60,29.41,28.51,70.36,228.55,60.17,16.60,20.24,55.56,26.22,25.72
Debt / Equity Ratio,4.08,5.46,5.46,4.19,3.74,3.97,3.56,2.63,2.56,2.91,2.91
Debt / EBITDA Ratio,5.47,7.61,7.83,6.97,5.85,5.97,6.39,4.54,4.29,3.62,3.62
Debt / FCF Ratio,18.87,18.59,17.20,38.32,119.03,28.14,6.96,6.69,17.28,10.39,10.39
Asset Turnover,0.60,0.49,0.46,0.49,0.54,0.54,0.47,0.55,0.62,0.62,0.62
Interest Coverage,8.21,5.09,3.91,4.48,4.40,3.80,4.07,8.67,9.60,6.31,6.31
Return on Equity (ROE),31.00%,25.10%,22.00%,26.50%,22.90%,27.70%,22.20%,37.70%,37.50%,45.90%,45.90%
Return on Assets (ROA),5.20%,3.30%,2.60%,3.50%,3.40%,4.50%,3.60%,7.50%,8.40%,10.20%,10.20%
Return on Capital (ROIC),7.84%,5.54%,4.86%,5.64%,5.70%,7.76%,6.25%,10.06%,11.02%,14.16%,14.16%
Earnings Yield,10.31%,7.58%,5.49%,5.04%,5.53%,5.87%,3.89%,5.62%,5.95%,9.77%,10.07%
FCF Yield,6.39%,7.74%,7.46%,2.44%,0.83%,2.91%,9.34%,6.82%,2.51%,5.87%,6.04%
Dividend Yield,2.60%,3.10%,2.70%,1.80%,1.90%,1.70%,1.30%,1.10%,1.10%,1.40%,1.63%
Payout Ratio,25.50%,41.30%,49.70%,35.50%,35.10%,29.60%,34.70%,18.90%,18.60%,14.50%,16.98%
Buyback Yield / Dilution,5.94%,8.22%,5.77%,-2.12%,-1.24%,2.05%,1.25%,0.82%,2.45%,4.15%,4.15%
Total Shareholder Return,8.54%,11.32%,8.47%,-0.32%,0.66%,3.75%,2.55%,1.92%,3.55%,5.55%,5.78%
