,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"3,491","4,063","5,385","7,104","6,958","11,077","17,389","22,605","12,541","9,411","9,920"
Market Cap Growth,-1.57%,16.39%,32.52%,31.92%,-2.05%,59.20%,56.99%,29.99%,-44.52%,-24.96%,-
Enterprise Value,"3,230","3,707","4,975","6,778","6,547","10,608","16,618","21,953","12,133","9,203","9,713"
PE Ratio,39.30,37.20,207.11,58.11,19.03,6.30,4.56,5.31,-3.46,-14.77,-14.77
PS Ratio,1.61,2.01,2.60,3.29,3.04,4.79,6.83,7.74,4.47,3.52,3.71
PB Ratio,1.60,1.63,2.09,2.42,1.73,1.93,1.76,1.65,1.30,1.08,1.13
P/FCF Ratio,22.89,54.70,71.77,-999.26,43.49,30.81,36.50,42.19,153.26,43.07,45.41
P/OCF Ratio,12.77,21.82,24.92,68.22,24.37,24.19,29.73,33.77,64.49,25.10,26.46
EV/Sales Ratio,1.48,1.84,2.41,3.14,2.86,4.59,6.53,7.51,4.33,3.45,3.64
EV/EBITDA Ratio,21.01,22.13,76.61,56.10,12.20,4.64,3.36,4.03,-2.60,-11.49,-11.49
EV/EBIT Ratio,21.01,22.13,76.61,56.10,12.20,4.64,3.36,4.03,-2.60,-11.49,-11.49
EV/FCF Ratio,21.17,49.90,66.31,-953.47,40.92,29.51,34.88,40.98,148.27,42.13,44.46
Debt / Equity Ratio,0.20,0.17,0.17,0.15,0.11,0.11,0.02,0.02,0.14,0.16,0.16
Debt / EBITDA Ratio,2.84,2.59,6.69,3.60,0.82,0.29,0.05,0.04,-0.30,-1.76,-1.76
Debt / FCF Ratio,2.86,5.84,5.79,-61.19,2.75,1.81,0.47,0.42,16.96,6.43,6.43
Quick Ratio,2.41,2.68,2.58,2.44,2.76,1.67,2.24,1.91,4.03,4.02,4.02
Current Ratio,3.84,4.03,3.91,3.93,4.49,2.41,3.39,2.92,5.55,5.83,5.83
Asset Turnover,0.64,0.57,0.53,0.52,0.37,0.31,0.23,0.18,0.21,0.21,0.21
Interest Coverage,6.94,7.72,2.78,5.25,22.39,97.56,225.97,3514.25,-122.43,-16.20,-16.20
Return on Equity (ROE),4.00%,4.60%,1.00%,4.30%,8.10%,33.10%,47.20%,33.20%,-39.00%,-7.20%,-7.20%
Return on Assets (ROA),2.60%,3.10%,0.70%,3.00%,5.90%,23.70%,34.90%,25.50%,-27.60%,-5.10%,-5.10%
Return on Capital (ROIC),3.86%,4.27%,1.16%,4.43%,-1.65%,2.79%,3.23%,2.81%,4.39%,3.33%,3.33%
Earnings Yield,2.54%,2.69%,0.48%,1.72%,5.25%,15.88%,21.93%,18.82%,-28.93%,-6.77%,-6.42%
FCF Yield,4.37%,1.83%,1.39%,-0.10%,2.30%,3.25%,2.74%,2.37%,0.65%,2.32%,2.20%
Buyback Yield / Dilution,-0.79%,-0.95%,-0.81%,-1.31%,-0.65%,0.15%,0.08%,-0.16%,1.40%,1.93%,1.93%
Total Shareholder Return,-0.79%,-0.95%,-0.81%,-1.31%,-0.65%,0.15%,0.08%,-0.16%,1.40%,1.93%,1.93%
