,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,88.85,109.24,26,122.25,365.61,"1,759","3,814","4,254","-3,627.54",-637.32
Share-Based Compensation,-1.35,-3.61,-1.51,0,0,0,0,0,0,0
Other Operating Activities,185.82,80.58,191.57,-18.11,-80.12,"-1,300.78","-3,229.26","-3,584.79","3,822","1,012"
Operating Cash Flow,273.31,186.21,216.07,104.14,285.49,457.9,584.97,669.46,194.45,374.94
Operating Cash Flow Growth,61.59%,-31.87%,16.03%,-51.80%,174.15%,60.39%,27.75%,14.44%,-70.95%,92.83%
Capital Expenditures,-120.77,-111.92,-141.04,-111.25,-125.51,-98.4,-108.49,-133.69,-112.62,-156.47
Acquisitions,0,0,0,-76.65,7.23,-79.39,-84.42,-125.52,-99.39,2.5
Change in Investments,-54.26,-53.58,-72.71,16.11,-68.7,-39.92,119.6,-538.17,-994.21,174.18
Other Investing Activities,-15.48,-1.37,-0.14,-3.8,-0,8.82,3.41,-,-1.38,-
Investing Cash Flow,-190.51,-166.87,-213.88,-175.57,-186.98,-208.89,-69.89,-797.38,"-1,207.59",20.21
Share Issuance / Repurchase,15.05,8.24,11.28,11.68,-34.78,-11.06,-79.81,-29.37,-198.12,-410.24
Debt Issued / Paid,-1.81,-0.28,-0.27,-0.35,-2.96,-1.13,-426.94,-3.02,"1,186",-0.47
Other Financing Activities,-1.55,0.63,-1.99,-10.99,-10.94,-10.57,-16.3,-23.04,-14.02,-14.94
Financing Cash Flow,11.69,8.58,9.02,0.34,-48.68,-22.76,-523.04,-55.43,973.58,-425.65
Exchange Rate Effect,-12.79,16.38,-12.86,-1.09,-0.66,2.24,12.43,-12.64,2.98,0.32
Net Cash Flow,81.7,44.3,-1.65,-72.19,49.18,228.49,4.46,-195.98,-36.59,-30.18
Free Cash Flow,152.54,74.29,75.03,-7.11,159.98,359.49,476.48,535.77,81.83,218.47
Free Cash Flow Growth,139.49%,-51.30%,0.99%,-,-,124.71%,32.54%,12.44%,-84.73%,167.00%
Free Cash Flow Margin,7.01%,3.68%,3.63%,-0.33%,6.99%,15.55%,18.72%,18.33%,2.92%,8.18%
Free Cash Flow Per Share,5.28,2.54,2.55,-0.24,5.36,12.05,16.01,17.96,2.75,7.48
