,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash & Equivalents,"198,890","160,197","133,097","160,494","180,516","188,105","193,919","309,615","262,033","342,025"
Cash & Cash Equivalents,"198,890","160,197","133,097","160,494","180,516","188,105","193,919","309,615","262,033","342,025"
Cash Growth,43.51%,-19.45%,-16.92%,20.58%,12.48%,4.20%,3.09%,59.66%,-15.37%,30.53%
Receivables,"25,674","28,419","27,683","28,887","38,384","35,450","39,857","44,806","54,340","54,192"
"Property, Plant & Equipment",0,0,0,0,0,0,0,0,"24,328","26,253"
Goodwill and Intangibles,"32,783","30,003","27,851","28,337","27,402","27,266","26,948","26,909","25,794","24,119"
Total Assets,"1,880,382","1,842,181","1,731,210","1,792,077","1,842,465","1,917,383","1,951,158","2,260,090","2,291,413","2,416,676"
Accounts Payable,"53,707","52,180","53,722","57,152","61,342","64,571","48,601","50,484","61,430","69,218"
Total Liabilities,"1,674,249","1,630,485","1,508,118","1,565,934","1,640,793","1,720,309","1,757,212","2,059,890","2,088,741","2,214,838"
Total Debt,"483,572","454,853","368,850","378,700","437,438","442,113","460,148","500,725","473,632","521,146"
Debt Growth,-3.81%,-5.94%,-18.91%,2.67%,15.51%,1.07%,4.08%,8.82%,-5.41%,10.03%
Common Stock,"112,304","115,549","117,360","111,024","96,983","82,043","64,191","63,228","55,789","53,517"
Retained Earnings,"111,168","117,852","133,841","146,477","138,425","151,347","165,369","168,272","184,948","194,734"
Comprehensive Income,"-19,133","-23,216","-29,344","-32,381","-34,668","-37,170","-36,318","-32,058","-38,765","-47,062"
Shareholders' Equity,"204,339","210,185","221,857","225,120","200,740","196,220","193,242","199,442","201,972","201,189"
Net Cash / Debt,"-284,682","-294,656","-235,753","-218,206","-256,922","-254,008","-266,229","-191,110","-211,599","-179,121"
Net Cash Per Share,-93.60,-97.02,-78.38,-75.55,-95.21,-101.81,-117.52,-91.05,-103.25,-91.19
Book Value Per Share,67.31,69.33,73.85,77.95,74.39,78.70,85.92,95.62,99.35,103.35
