,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"158,050","163,926","154,163","169,359","196,740","127,138","174,415","128,374","119,830","87,604","104,976"
Market Cap Growth,36.24%,3.72%,-5.96%,9.86%,16.17%,-35.38%,37.19%,-26.40%,-6.66%,-26.89%,-
Enterprise Value,"442,732","458,582","389,916","387,565","453,662","381,146","440,644","319,484","331,429","266,725","426,685"
PE Ratio,11.57,22.43,8.94,11.36,-28.94,7.05,8.99,11.62,5.46,5.90,8.69
PS Ratio,2.06,2.12,2.02,2.39,2.72,1.75,2.32,1.70,1.67,1.16,1.33
PB Ratio,0.77,0.78,0.70,0.75,0.98,0.65,0.90,0.64,0.59,0.44,0.50
P/FCF Ratio,2.61,3.76,4.15,3.28,-16.73,3.81,-9.74,-4.78,2.78,4.49,-1.71
P/OCF Ratio,2.50,3.54,3.88,3.15,-22.42,3.44,-13.59,-5.47,2.54,3.49,-2.00
EV/Sales Ratio,5.77,5.94,5.11,5.47,6.26,5.23,5.87,4.23,4.61,3.54,5.40
EV/EBITDA Ratio,19.13,25.34,13.83,15.46,17.28,14.04,15.89,18.25,10.57,11.72,18.93
EV/EBIT Ratio,22.31,31.61,15.80,18.15,20.08,16.29,18.49,23.54,12.09,14.43,23.65
EV/FCF Ratio,7.32,10.52,10.51,7.50,-38.58,11.41,-24.60,-11.88,7.68,13.68,-8.67
Debt / Equity Ratio,2.37,2.16,1.66,1.68,2.18,2.25,2.38,2.51,2.35,2.59,2.75
Debt / EBITDA Ratio,20.89,25.14,13.09,15.10,16.66,16.28,16.59,28.60,15.10,22.91,25.54
Debt / FCF Ratio,8.00,10.44,9.94,7.33,-37.20,13.24,-25.69,-18.63,10.97,26.73,-12.44
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03
Return on Equity (ROE),6.90%,3.50%,7.90%,6.50%,-3.10%,9.10%,9.90%,5.70%,10.90%,7.50%,6.60%
Return on Assets (ROA),0.70%,0.40%,1.00%,0.80%,-0.40%,0.90%,1.00%,0.50%,0.90%,0.60%,0.60%
Return on Capital (ROIC),1.98%,1.11%,2.94%,2.48%,-1.07%,2.83%,2.98%,1.58%,3.26%,2.09%,1.74%
Earnings Yield,8.64%,4.46%,11.18%,8.80%,-3.46%,14.19%,11.12%,8.61%,18.32%,16.95%,12.94%
FCF Yield,38.26%,26.59%,24.08%,30.49%,-5.98%,26.26%,-10.27%,-20.94%,36.02%,22.26%,-44.07%
Dividend Yield,0.10%,0.10%,0.30%,0.70%,1.30%,3.00%,2.40%,3.30%,3.40%,4.50%,3.87%
Payout Ratio,0.90%,1.80%,3.00%,8.90%,-32.20%,23.00%,23.80%,43.00%,20.00%,29.00%,33.60%
Buyback Yield / Dilution,-0.87%,0.15%,0.96%,3.97%,6.57%,7.55%,9.20%,7.34%,2.36%,4.15%,0.17%
Total Shareholder Return,-0.77%,0.25%,1.26%,4.67%,7.87%,10.55%,11.60%,10.64%,5.76%,8.65%,4.04%
