,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Revenue,"76,724","77,219","76,354","70,797","72,444","72,854","75,067","75,501","71,884","75,338"
Revenue Growth (YoY),10.89%,0.65%,-1.12%,-7.28%,2.33%,0.57%,3.04%,0.58%,-4.79%,4.80%
Cost of Revenue,"8,514","7,467","7,913","6,982","7,451","7,568","8,383","17,495","-3,778","5,239"
Gross Profit,"68,210","69,752","68,441","63,815","64,993","65,286","66,684","58,006","75,662","70,099"
"Selling, General & Admin","48,408","55,051","43,615","42,338","42,232","41,841","42,783","44,374","48,193","51,292"
Operating Expenses,"48,408","55,051","43,615","42,338","42,232","41,841","42,783","44,374","48,193","51,292"
Operating Income,"19,802","14,701","24,826","21,477","22,761","23,445","23,901","13,632","27,469","18,807"
Other Expense / Income,-43,194,144,121,171,43,70,60,66,320
Pretax Income,"19,845","14,507","24,682","21,356","22,590","23,402","23,831","13,572","27,403","18,487"
Income Tax,"6,186","7,197","7,440","6,444","29,388","5,357","4,430","2,525","5,451","3,642"
Net Income,"13,659","7,310","17,242","14,912","-6,798","18,045","19,401","11,047","21,952","14,845"
Net Income Growth,81.13%,-46.48%,135.87%,-13.51%,-,-,7.51%,-43.06%,98.71%,-32.38%
Shares Outstanding (Basic),"3,036","3,032","3,004","2,888","2,699","2,493","2,249","2,086","2,033","1,947"
Shares Outstanding (Diluted),"3,042","3,037","3,008","2,888","2,699","2,495","2,265","2,099","2,049","1,964"
Shares Change,0.87%,-0.15%,-0.96%,-3.97%,-6.57%,-7.55%,-9.20%,-7.34%,-2.36%,-4.15%
EPS (Basic),4.35,2.21,5.41,4.72,-2.98,6.69,8.08,4.74,10.21,7.04
EPS (Diluted),4.34,2.20,5.40,4.72,-2.98,6.68,8.04,4.72,10.14,7.00
EPS Growth,77.87%,-49.31%,145.45%,-12.59%,-,-,20.36%,-41.29%,114.83%,-30.97%
Free Cash Flow,"60,470","43,580","37,116","51,644","-11,758","33,390","-17,914","-26,884","43,161","19,500"
Free Cash Flow Per Share,19.92,14.38,12.36,17.88,-4.36,13.39,-7.96,-12.89,21.23,10.02
Dividend Per Share,0.040,0.040,0.160,0.420,0.960,1.540,1.920,2.040,2.040,2.040
Dividend Growth,0%,0%,300.00%,162.50%,128.57%,60.42%,24.68%,6.25%,0%,0%
Gross Margin,88.90%,90.33%,89.64%,90.14%,89.71%,89.61%,88.83%,76.83%,105.26%,93.05%
Operating Margin,25.81%,19.04%,32.51%,30.34%,31.42%,32.18%,31.84%,18.06%,38.21%,24.96%
Profit Margin,17.80%,9.47%,22.58%,21.06%,-9.38%,24.77%,25.84%,14.63%,30.54%,19.70%
Free Cash Flow Margin,78.81%,56.44%,48.61%,72.95%,-16.23%,45.83%,-23.86%,-35.61%,60.04%,25.88%
Effective Tax Rate,31.17%,49.61%,30.14%,30.17%,130.09%,22.89%,18.59%,18.60%,19.89%,19.70%
EBITDA,"23,148","18,096","28,188","25,076","26,249","27,156","27,736","17,509","31,367","22,749"
EBITDA Margin,30.17%,23.43%,36.92%,35.42%,36.23%,37.27%,36.95%,23.19%,43.64%,30.20%
Depreciation & Amortization,"3,303","3,589","3,506","3,720","3,659","3,754","3,905","3,937","3,964","4,262"
EBIT,"19,845","14,507","24,682","21,356","22,590","23,402","23,831","13,572","27,403","18,487"
EBIT Margin,25.87%,18.79%,32.33%,30.17%,31.18%,32.12%,31.75%,17.98%,38.12%,24.54%
