,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2023-04-30,2023-07-31,2023-10-31,Current
Market Capitalization,"4,310","4,709","6,232","8,417","10,180","12,153","15,547","13,686","12,843","13,332","11,728","13,976","13,529","9,978","12,101","13,519","14,507","17,682","18,414","17,173","20,382","23,324","21,742","22,055","22,998","19,593","24,688","21,317","33,396","34,365","38,864","49,588","51,050","55,277","49,728","51,342","47,966","55,214","76,451","74,995","115,529"
Market Cap Growth,13.73%,25.91%,79.02%,178.56%,136.22%,158.09%,149.44%,62.61%,26.15%,9.70%,-24.56%,2.11%,5.35%,-25.16%,3.18%,-3.27%,7.22%,77.21%,52.18%,27.03%,40.50%,31.91%,18.07%,28.42%,12.84%,-15.99%,13.55%,-3.35%,45.21%,75.39%,57.42%,132.63%,52.86%,60.86%,27.95%,3.54%,-6.04%,-0.11%,53.74%,46.07%,-
Enterprise Value,"3,871","4,341","5,927","8,117","9,982","11,812","15,245","13,417","12,375","12,748","10,943","13,092","12,687","9,124","11,250","12,547","13,408","16,604","16,931","15,594","19,108","21,848","20,369","21,011","21,679","19,376","24,360","21,542","33,697","34,927","39,502","50,099","51,666","55,354","49,935","51,500","48,574","55,202","75,943","72,877","113,412"
PE Ratio,-60.76,-22.40,-27.52,-33.84,-40.43,-80.43,-118.40,-97.00,-82.64,-76.80,-60.86,-66.64,-63.52,-47.56,-59.61,-64.59,-83.23,-114.97,-150.69,-176.50,-274.32,-431.12,-265.47,-213.71,-131.95,-85.60,-92.46,-71.15,-90.70,-78.37,-77.90,-97.17,-110.62,-141.88,-186.25,-358.03,1398.42,256.45,173.87,122.16,207.01
PS Ratio,8.92,8.85,10.42,12.71,13.78,14.78,16.75,13.25,11.17,10.57,8.51,9.45,8.63,6.04,6.90,7.27,7.32,8.35,8.10,7.07,7.86,8.47,7.50,7.31,7.37,6.00,7.24,5.95,8.83,8.62,9.13,10.88,10.51,10.69,9.04,8.82,7.79,8.51,11.09,10.41,16.03
PB Ratio,15.15,17.33,13.30,17.07,19.73,26.75,31.86,25.17,21.66,20.23,13.11,16.31,15.54,12.27,15.93,20.31,22.91,24.49,15.87,13.71,19.02,16.05,13.71,14.54,14.30,26.31,22.41,28.54,32.20,34.46,61.25,95.57,433.36,163.74,236.80,101.07,65.80,44.80,43.73,34.55,53.23
P/FCF Ratio,43.30,39.55,119.17,85.80,74.20,65.26,48.74,36.28,28.96,25.79,20.01,21.79,20.07,14.55,17.15,17.68,17.82,20.45,19.88,19.03,21.79,23.37,23.52,24.94,25.83,28.08,30.06,18.56,27.30,24.71,28.02,34.53,33.91,34.42,27.75,21.09,17.84,20.16,29.06,25.65,39.52
P/OCF Ratio,31.41,30.13,70.50,67.65,63.66,57.10,44.07,32.23,25.58,22.79,17.81,19.54,17.45,12.22,13.93,14.39,14.96,17.68,17.74,16.90,19.46,21.17,20.60,21.44,21.70,20.99,23.84,15.84,23.80,22.74,25.86,31.85,30.48,30.94,25.06,19.50,16.86,19.12,27.53,24.45,37.67
Debt / Equity Ratio,-,-,1.00,0.96,0.92,1.06,1.00,0.91,0.84,0.76,0.56,0.59,0.59,0.64,0.69,0.80,0.85,0.75,1.65,1.30,1.45,1.08,0.90,1.20,1.13,2.45,3.10,4.61,3.35,3.52,5.58,7.65,33.58,11.70,18.82,7.80,5.42,3.20,1.30,1.02,1.02
Quick Ratio,1.99,1.11,2.61,2.46,1.95,1.03,0.97,0.89,1.03,1.09,1.93,1.24,1.75,1.65,1.50,1.06,1.08,1.02,1.84,1.98,1.74,1.73,1.65,1.64,1.64,1.16,1.78,1.48,0.88,1.23,0.81,0.60,0.58,0.67,0.71,0.62,0.55,0.63,0.68,0.77,0.77
Current Ratio,2.11,1.19,2.75,2.59,2.08,1.10,1.04,0.96,1.10,1.17,2.10,1.33,1.89,1.80,1.65,1.17,1.19,1.14,1.97,2.10,1.87,1.86,1.79,1.78,1.78,1.29,1.91,1.63,0.98,1.38,0.91,0.68,0.66,0.74,0.77,0.70,0.64,0.74,0.78,0.86,0.86
Interest Coverage,-2666.14,-11177.08,-16.66,-4.25,-6.95,-6.44,-0.23,-5.14,-8.21,-8.88,-3.33,-7.75,-8.48,-7.58,-1.68,-7.73,-2.75,-5.65,2.63,-0.84,1.10,-0.02,0.32,-1.88,-2.22,-2.49,-0.54,-1.05,-2.19,-2.67,-1.47,-12.22,-10.88,-6.72,3.51,6.06,13.23,17.79,56.53,98.45,35.96
Return on Capital (ROIC),Upgrade,-20.21%,-72.43%,-23.02%,-24.05%,-23.51%,-13.29%,-10.24%,-10.42%,-10.97%,-11.65%,-11.28%,-12.79%,-12.91%,-13.16%,-12.91%,-14.23%,-11.82%,-10.63%,-3.71%,-3.23%,-3.00%,-1.73%,-2.30%,-2.67%,-3.89%,-6.67%,-3.96%,-4.10%,-4.60%,-5.80%,-7.29%,-7.62%,-8.04%,-6.17%,-4.83%,-2.45%,0.08%,2.25%,7.36%,9.90%
Buyback Yield / Dilution,-7.69%,-7.75%,-9.93%,-10.77%,-10.91%,-9.78%,-7.94%,-7.18%,-7.18%,-6.68%,-5.83%,-5.52%,-4.73%,-3.64%,-2.25%,-1.22%,-0.44%,-0.99%,-2.20%,-3.19%,-3.18%,-2.72%,-3.01%,-2.99%,-4.57%,-2.44%,-0.31%,1.14%,2.44%,-0.21%,-1.22%,-2.23%,-2.36%,-2.06%,-2.33%,-15.53%,-12.60%,-16.18%,-18.97%,-3.37%,-3.37%
Total Shareholder Return,-7.69%,-7.75%,-9.93%,-10.77%,-10.91%,-9.78%,-7.94%,-7.18%,-7.18%,-6.68%,-5.83%,-5.52%,-4.73%,-3.64%,-2.25%,-1.22%,-0.44%,-0.99%,-2.20%,-3.19%,-3.18%,-2.72%,-3.01%,-2.99%,-4.57%,-2.44%,-0.31%,1.14%,2.44%,-0.21%,-1.22%,-2.23%,-2.36%,-2.06%,-2.33%,-15.53%,-12.60%,-16.18%,-18.97%,-3.37%,-3.37%
