,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"127,465","153,594","131,835","109,905","106,412","109,438","87,278","87,962","92,657","99,035","109,364","116,800","108,674","91,483","96,584","93,353","89,651","92,845","84,321","49,964","60,256","55,045","47,257","55,652","18,677","25,522","21,599","30,388","37,857","44,761","41,450","42,009","57,974","50,545","50,777","75,806","69,731","70,012","82,855","74,075","69,328"
Market Cap Growth,28.14%,61.22%,12.76%,-7.39%,-16.52%,-28.75%,-33.80%,-19.97%,-12.93%,-9.51%,25.31%,32.79%,17.29%,-7.63%,-11.69%,-20.07%,-17.50%,1.49%,-12.70%,-46.48%,-32.79%,-40.71%,-43.96%,11.39%,-69.00%,-53.63%,-54.30%,-45.40%,102.69%,75.38%,91.91%,38.24%,53.14%,12.92%,22.50%,80.45%,20.28%,38.51%,63.18%,-2.28%,-
Enterprise Value,"132,876","160,140","138,153","115,734","112,335","115,505","92,921","93,927","99,712","109,466","119,885","127,159","120,308","104,089","108,792","106,463","103,598","107,397","98,841","63,238","74,649","69,773","61,638","68,779","31,975","39,299","35,525","44,268","51,530","57,802","53,903","53,065","69,411","61,576","60,519","85,138","80,065","80,153","92,265","82,051","77,304"
PE Ratio,18.04,23.39,19.39,20.21,22.07,25.16,25.75,42.45,57.98,-58.74,-43.76,-69.24,-56.90,519.79,177.22,-62.03,-71.26,-123.14,-128.73,23.37,29.62,26.26,-4.76,-5.49,-1.04,-1.17,-2.05,-2.89,-13.32,43.80,25.06,22.33,27.71,19.29,17.06,22.03,18.05,17.78,19.95,17.62,16.69
PS Ratio,2.78,3.28,2.76,2.26,2.24,2.46,2.16,2.48,2.92,3.31,3.84,4.20,3.86,3.21,3.29,3.07,2.86,2.88,2.57,1.52,1.83,1.68,1.44,1.69,0.57,0.86,0.82,1.29,1.77,2.07,1.86,1.83,2.45,2.04,1.92,2.70,2.34,2.25,2.59,2.24,2.09
PB Ratio,3.19,3.79,3.26,2.90,2.83,2.88,2.30,2.47,2.62,2.32,2.59,2.84,2.68,2.32,2.44,2.53,2.43,2.55,2.31,1.38,1.67,1.54,1.98,2.34,1.20,2.12,1.81,2.52,3.02,3.51,3.10,2.80,3.78,3.10,2.95,4.29,3.86,3.76,4.27,3.67,3.43
P/FCF Ratio,21.20,25.83,20.92,17.85,16.57,16.32,13.26,17.75,23.76,30.10,47.99,45.89,40.81,48.79,42.38,55.87,59.61,55.96,55.58,20.21,25.74,21.60,17.81,20.65,5.92,8.07,9.30,21.34,26.96,24.76,18.40,14.02,23.60,34.41,27.28,53.46,45.46,26.53,31.71,18.34,17.17
P/OCF Ratio,11.19,13.82,11.56,9.82,9.56,9.89,8.28,9.99,11.24,13.09,17.02,18.66,19.04,18.55,17.80,16.48,16.08,16.28,14.97,8.75,11.01,9.84,8.58,10.25,3.17,4.57,5.00,10.32,14.62,14.89,11.52,9.03,13.32,14.27,12.57,20.38,17.79,13.68,15.85,11.16,10.45
Debt / Equity Ratio,0.31,0.33,0.32,0.35,0.34,0.35,0.32,0.53,0.61,0.51,0.50,0.48,0.47,0.48,0.43,0.49,0.49,0.48,0.48,0.44,0.46,0.48,0.70,0.64,1.07,1.44,1.49,1.40,1.32,1.23,1.15,0.95,0.92,0.85,0.78,0.69,0.71,0.72,0.68,0.59,0.59
Quick Ratio,1.58,1.55,1.54,1.32,1.18,1.22,1.14,1.54,1.77,1.41,1.36,1.24,1.16,1.12,1.11,0.86,0.78,0.77,0.77,0.79,0.88,0.92,0.85,0.76,0.82,0.81,0.81,0.79,0.83,0.91,0.85,0.82,0.78,0.86,0.92,0.80,0.82,0.89,0.94,0.88,0.88
Current Ratio,2.13,2.07,2.06,1.74,1.61,1.66,1.54,1.91,2.15,1.86,1.77,1.59,1.59,1.57,1.53,1.21,1.12,1.12,1.13,1.17,1.35,1.39,1.29,1.19,1.23,1.23,1.22,1.23,1.30,1.38,1.27,1.22,1.24,1.35,1.40,1.25,1.26,1.33,1.36,1.32,1.32
Interest Coverage,21.01,24.34,28.83,9.05,16.62,17.58,15.41,-11.27,5.51,-15.97,2.25,-0.61,3.37,1.17,5.69,-14.23,5.46,4.72,6.26,5.52,4.40,4.79,-73.88,4.01,-58.54,-24.23,0.54,4.22,3.74,4.90,6.22,6.45,6.11,10.20,10.20,11.98,10.84,11.07,11.71,11.75,11.36
Return on Capital (ROIC),Upgrade,12.40%,12.80%,13.23%,11.13%,10.09%,8.69%,6.99%,3.85%,2.96%,-2.95%,-4.16%,-2.75%,-3.19%,0.38%,0.99%,-2.61%,-2.16%,-0.68%,-0.44%,4.48%,4.31%,4.44%,-25.21%,-26.74%,-58.92%,-78.53%,-37.70%,-38.29%,-9.25%,4.78%,6.67%,7.65%,8.18%,8.89%,9.87%,11.30%,12.18%,12.63%,13.09%,13.66%
Dividend Yield,1.40%,1.20%,1.50%,1.90%,2.00%,2.10%,2.80%,2.90%,2.70%,2.50%,2.50%,2.40%,2.60%,3.00%,2.90%,3.00%,3.10%,3.00%,3.30%,5.50%,4.60%,5.00%,5.90%,5.00%,14.80%,8.80%,8.00%,4.00%,1.80%,1.60%,1.70%,1.70%,1.20%,1.50%,1.70%,1.20%,1.60%,1.70%,1.60%,1.90%,2.27%
Payout Ratio,32.80%,32.50%,26.50%,160.00%,65.80%,56.20%,64.10%,-62.50%,125.00%,-32.10%,384.60%,-357.10%,250.00%,-1000.00%,128.20%,-30.90%,131.60%,161.30%,108.70%,128.20%,166.70%,138.90%,-6.10%,208.30%,-9.40%,-5.10%,-208.30%,46.30%,59.50%,40.30%,32.10%,29.80%,34.70%,25.70%,27.30%,23.30%,38.50%,34.20%,31.60%,32.10%,37.80%
Buyback Yield / Dilution,1.64%,1.57%,1.73%,2.57%,2.50%,2.66%,2.90%,1.86%,2.02%,-8.52%,-10.14%,-10.03%,-11.36%,0.14%,0.64%,1.87%,0.57%,-0.36%,-,-1.90%,-0.22%,-0.22%,0.50%,0.57%,0.72%,0.50%,-0.43%,-0.58%,-2.31%,-2.38%,-2.37%,-3.52%,-1.06%,-1.06%,-1.05%,0.14%,-0.84%,-0.42%,-0.21%,-0.42%,-0.42%
Total Shareholder Return,3.04%,2.77%,3.23%,4.47%,4.50%,4.76%,5.70%,4.76%,4.72%,-6.02%,-7.64%,-7.63%,-8.76%,3.14%,3.54%,4.87%,3.67%,2.64%,3.30%,3.60%,4.38%,4.78%,6.40%,5.57%,15.52%,9.30%,7.57%,3.42%,-0.51%,-0.78%,-0.67%,-1.82%,0.14%,0.44%,0.65%,1.34%,0.76%,1.28%,1.39%,1.48%,1.85%
