,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,"37,832","43,476","44,160","46,484","44,925","47,546","48,761","47,899","46,678","49,733","49,957","50,130","48,713","51,051","52,061","53,617","51,628","52,607","53,075","56,208","52,429","55,728","57,616","59,172","58,535","55,679","60,808","62,599","59,142","62,674","66,576","68,614","66,102","67,154","70,157","70,490","68,910","74,483","77,215","80,898"
Revenue Growth (YoY),23.46%,34.86%,33.88%,35.38%,18.75%,9.36%,10.42%,3.04%,3.90%,4.60%,2.45%,4.66%,4.36%,2.65%,4.21%,6.96%,5.98%,3.05%,1.95%,4.83%,1.55%,5.93%,8.56%,5.27%,11.65%,-0.09%,5.54%,5.79%,1.04%,12.56%,9.49%,9.61%,11.77%,7.15%,5.38%,2.73%,4.25%,10.91%,10.06%,14.77%
Cost of Revenue,"35,281","40,744","41,296","43,586","42,008","44,698","45,917","45,027","43,826","46,826","47,201","47,318","45,917","48,491","49,227","50,902","48,553","49,828","50,271","53,238","49,228","52,941","54,749","56,139","55,199","52,979","57,808","59,448","55,845","59,642","63,224","65,186","62,784","64,131","67,062","67,316","65,844","71,461","74,146","77,746"
Gross Profit,"2,551","2,732","2,864","2,898","2,917","2,848","2,844","2,872","2,852","2,907","2,756","2,812","2,796","2,560","2,834","2,715","3,075","2,779","2,804","2,970","3,201","2,787","2,867","3,033","3,336","2,700","3,000","3,151","3,297","3,032","3,352","3,428","3,318","3,023","3,095","3,174","3,066","3,022","3,069","3,152"
"Selling, General & Admin","1,489","2,051","2,077","2,098","1,675","1,917","1,890","1,952","1,620","1,935","1,886","1,981","1,645","1,927","2,009","1,984","2,218","2,127","2,033","2,156","2,218","2,130","2,196","2,535","2,403","2,097","2,237","2,291","2,224","2,232","2,669","3,105","2,531","1,959","1,950","1,903","1,964","1,870","2,092","2,506"
Research & Development,457,0,0,0,392,0,0,0,392,0,0,0,341,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Operating Expenses,0,0,0,0,150,0,0,0,203,0,290,0,18,0,586,6,"1,713",569,82,131,"1,552",23,45,138,64,-75,129,"8,222",63,232,144,25,154,28,21,30,122,52,26,4
Operating Expenses,"1,946","2,051","2,077","2,098","2,217","1,917","1,890","1,952","2,215","1,935","2,176","1,981","2,004","1,927","2,595","1,990","4,056","2,696","2,115","2,287","3,770","2,153","2,241","2,673","2,467","2,022","2,366","10,513","2,287","2,464","2,813","3,130","2,685","1,987","1,971","1,933","2,086","1,922","2,118","2,510"
Operating Income,605,681,787,800,700,931,954,920,637,972,580,831,792,633,239,725,-981,83,689,683,-569,634,626,360,869,678,634,"-7,362","1,010",568,539,298,633,"1,036","1,124","1,241",980,"1,100",951,642
Interest Expense / Income,113,96,95,93,90,89,91,87,86,79,78,74,77,68,69,67,79,61,66,67,70,56,64,64,65,60,50,55,52,49,45,41,43,45,55,69,79,47,61,64
