,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"21,054","26,410","27,112","20,581","25,209","39,824","43,981","48,885","43,763","39,180","42,251","53,128","63,619","64,395","78,298","83,067","128,167","170,138","162,918","116,723","155,674","160,589","117,173","141,805","164,772","200,118","220,521","238,892","231,041","234,200","270,134","266,852","166,304","77,690","104,701","131,228","153,858","195,814","167,332","213,097","252,710"
Market Cap Growth,98.65%,122.84%,48.81%,-5.67%,19.74%,50.79%,62.22%,137.53%,73.60%,-1.62%,-3.93%,8.68%,45.37%,64.36%,85.32%,56.35%,101.46%,164.21%,108.07%,40.52%,21.46%,-5.61%,-28.08%,21.49%,5.84%,24.61%,88.20%,68.47%,40.22%,17.03%,22.50%,11.70%,-28.02%,-66.83%,-61.24%,-50.82%,-7.48%,152.04%,59.82%,62.39%,-
Enterprise Value,"20,286","25,595","26,345","19,858","24,651","39,427","43,771","48,945","44,062","39,719","43,282","54,759","65,643","67,066","81,440","86,744","132,115","174,574","168,187","123,288","162,630","168,179","125,164","151,546","174,290","208,759","228,176","246,995","238,196","242,048","278,100","276,217","174,830","86,104","112,476","139,522","160,468","201,707","173,765","220,503","260,116"
PE Ratio,129.30,129.22,116.94,77.14,106.20,206.67,270.10,398.60,345.67,277.83,259.04,284.60,188.65,177.84,177.89,148.62,191.06,171.93,129.01,96.37,123.05,139.46,82.87,75.96,73.83,74.63,78.58,86.51,61.46,53.33,53.48,52.16,33.22,15.25,20.76,29.21,36.64,46.12,36.98,39.40,48.54
PS Ratio,4.56,5.40,5.22,3.74,4.34,6.52,6.83,7.21,6.11,5.14,5.17,6.02,6.69,6.32,7.19,7.10,10.05,12.26,10.94,7.39,9.37,9.11,6.21,7.04,7.70,8.84,9.26,9.56,8.75,8.49,9.43,8.99,5.47,2.50,3.33,4.15,4.82,6.10,5.11,6.32,7.49
PB Ratio,14.24,16.41,15.72,11.08,13.20,19.60,20.29,21.99,18.89,16.22,16.71,19.83,21.39,20.69,23.53,23.19,31.88,37.84,32.52,22.28,27.30,26.30,17.08,18.70,19.59,21.44,21.34,21.59,17.93,16.89,17.64,16.84,9.48,4.07,5.10,6.32,7.05,8.58,7.57,10.35,12.27
P/FCF Ratio,669.80,759.45,-569.34,-160.75,-84.18,-73.30,-61.29,-53.21,-43.09,-37.60,-32.50,-32.03,-34.95,-29.64,-36.76,-42.40,-70.34,-95.96,-79.60,-40.89,-51.72,-52.91,-41.19,-45.16,-64.91,-189.58,341.64,123.83,93.78,168.47,1786.01,-2021.99,-6261.69,484.92,146.03,81.08,52.45,45.96,29.48,30.77,36.49
P/OCF Ratio,143.77,156.71,281.28,1248.61,-171.19,-103.54,-80.97,-65.23,-51.45,-43.75,-36.37,-36.04,-40.03,-33.94,-42.21,-46.51,-76.34,-102.33,-84.27,-43.55,-55.13,-56.37,-44.04,-49.11,-73.31,-301.94,199.97,98.43,78.47,127.31,410.41,679.69,309.01,110.25,88.80,64.76,46.88,42.39,27.63,29.29,34.74
Debt / Equity Ratio,0.61,0.56,0.52,0.48,1.26,1.18,1.11,1.07,1.02,0.98,0.94,1.26,1.13,1.55,1.47,1.81,1.63,1.86,1.66,1.98,1.81,2.06,1.81,1.95,1.74,1.69,1.55,1.47,1.21,1.13,1.01,0.97,0.83,0.75,0.68,0.69,0.66,0.63,0.65,0.71,0.71
Quick Ratio,0.74,0.73,0.65,0.60,0.98,0.87,0.78,0.65,0.53,0.45,0.30,0.38,0.27,0.42,0.33,0.52,0.43,0.64,0.49,0.58,0.49,0.72,0.61,0.73,0.66,0.94,1.06,1.05,1.06,0.99,0.94,0.71,0.78,0.78,0.79,0.76,0.94,0.99,0.94,0.81,0.81
Current Ratio,1.59,1.57,1.50,1.48,1.84,1.74,1.67,1.54,1.41,1.33,1.18,1.25,1.15,1.31,1.20,1.40,1.30,1.54,1.39,1.49,0.61,0.85,0.73,0.90,0.82,1.12,1.24,1.25,1.27,1.23,1.17,0.95,1.05,1.05,1.14,1.17,1.26,1.33,1.29,1.12,1.12
Interest Coverage,9.85,9.81,8.23,4.41,2.44,2.15,2.20,1.59,2.12,2.44,3.23,3.07,5.79,1.25,2.92,2.74,4.69,5.22,4.48,1.93,3.95,4.29,7.30,1.84,5.32,6.48,5.37,3.57,11.46,9.33,9.72,3.91,11.55,10.25,10.40,1.23,9.43,10.61,11.87,7.55,9.87
Return on Capital (ROIC),Upgrade,7.78%,9.06%,9.82%,11.77%,7.54%,6.66%,6.11%,6.20%,5.52%,5.56%,5.79%,4.52%,7.00%,12.43%,14.02%,13.73%,15.26%,11.11%,12.77%,10.26%,9.76%,8.18%,8.62%,14.43%,15.95%,16.89%,18.22%,14.71%,16.93%,18.45%,18.71%,17.41%,16.79%,15.67%,14.56%,14.48%,13.84%,14.04%,15.38%,17.21%
Buyback Yield / Dilution,-2.33%,-1.72%,-1.36%,-0.78%,-0.69%,-1.08%,-1.12%,-1.33%,-0.96%,-0.47%,-0.18%,-0.41%,-1.70%,-1.85%,-2.05%,-1.84%,-1.10%,-1.19%,-1.02%,-0.66%,-0.35%,-0.14%,0.08%,-0.05%,-0.13%,-0.39%,-0.78%,-0.87%,-0.70%,-0.26%,0.04%,-0.11%,0.58%,1.09%,1.01%,0.91%,0.13%,-0.31%,0.07%,1.69%,0.40%
Total Shareholder Return,-2.33%,-1.72%,-1.36%,-0.78%,-0.69%,-1.08%,-1.12%,-1.33%,-0.96%,-0.47%,-0.18%,-0.41%,-1.70%,-1.85%,-2.05%,-1.84%,-1.10%,-1.19%,-1.02%,-0.66%,-0.35%,-0.14%,0.08%,-0.05%,-0.13%,-0.39%,-0.78%,-0.87%,-0.70%,-0.26%,0.04%,-0.11%,0.58%,1.09%,1.01%,0.91%,0.13%,-0.31%,0.07%,1.69%,0.40%
