,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,311,364,644,623,579,336,165,159,108,93,55,63,113,73,129,206,391,652,470,503,"1,002","2,009","2,712","3,198","3,977","5,956","10,407","22,168","20,922","24,918","20,189","24,681","27,026","26,363","37,585","36,014","28,703","22,952","16,383","18,044","17,903"
Market Cap Growth,21.63%,13.25%,89.83%,133.88%,86.33%,-7.77%,-74.39%,-74.48%,-81.35%,-72.35%,-66.54%,-60.70%,4.66%,-21.10%,133.08%,229.66%,245.73%,788.96%,265.36%,143.98%,156.25%,208.29%,477.26%,535.86%,297.10%,196.42%,283.81%,593.18%,426.02%,318.35%,94.00%,11.34%,29.17%,5.80%,86.17%,45.92%,6.21%,-12.94%,-56.41%,-49.90%,-
Enterprise Value,279,333,605,581,552,321,159,148,115,97,68,79,130,90,147,227,388,645,466,506,992,"1,906","2,613","3,007","3,779","5,705","10,105","21,819","20,435","24,620","19,821","24,702","27,246","26,401","37,456","35,692","28,217","22,446","15,891","17,643","17,501"
PE Ratio,-14.30,-19.82,-57.15,-77.42,-71.19,-58.87,-27.96,-7.21,-3.13,-1.83,-0.79,-0.93,-1.57,-1.09,-2.32,-4.56,-14.47,-34.93,-30.75,-43.26,-268.25,189.18,60.00,19.85,17.50,35.16,58.58,165.44,216.23,135.87,121.73,169.69,163.23,129.74,126.89,90.63,58.29,40.08,28.65,41.11,42.81
PS Ratio,1.27,1.36,2.11,1.81,1.55,0.86,0.42,0.45,0.32,0.30,0.19,0.19,0.36,0.24,0.43,0.72,1.30,2.15,1.55,1.59,2.89,4.97,5.35,5.12,5.45,8.26,14.46,28.63,24.03,23.48,16.36,17.86,17.76,15.19,18.62,15.45,10.97,8.21,6.04,7.88,7.82
PB Ratio,8.53,9.81,15.16,13.28,13.17,6.89,3.11,3.84,4.23,7.46,5.39,48.10,15.13,-30.75,-16.48,-22.59,-12.55,-21.64,113.02,64.68,70.92,17.14,17.81,11.75,12.58,16.09,25.00,45.80,28.55,42.64,31.17,57.38,81.65,58.45,61.61,43.62,29.59,23.60,16.15,18.34,18.20
P/FCF Ratio,85.54,88.84,54.95,56.81,-92.75,-18.30,-4.92,-4.72,-2.91,-4.73,-1.68,-1.39,-2.07,-1.28,-3.47,-6.33,-172.35,524.37,49.72,41.98,38.42,57.95,91.80,25.73,27.67,39.07,48.34,113.23,92.65,98.08,69.41,82.40,83.49,56.52,68.96,51.57,34.50,26.52,20.27,30.77,30.53
P/OCF Ratio,29.95,32.46,28.08,25.74,68.61,-105.57,-8.07,-7.52,-4.34,-15.80,-2.70,-1.90,-2.68,-1.49,-4.16,-7.25,-685.76,196.09,38.06,31.18,33.57,49.58,70.12,23.00,24.67,34.65,44.39,102.47,82.71,84.99,59.55,70.11,71.38,51.33,63.89,48.35,32.30,23.98,17.90,25.90,25.69
Debt / Equity Ratio,0.21,0.18,0.14,-,-,0.35,0.32,0.41,0.78,1.00,3.56,26.08,6.28,-19.86,-6.10,-5.45,-1.63,-1.73,26.96,14.12,4.84,0.88,0.68,0.39,1.25,0.96,0.87,0.68,1.37,1.74,1.58,2.41,3.88,2.85,2.11,1.56,1.33,1.33,1.27,1.32,1.32
Quick Ratio,2.01,1.62,1.62,1.48,1.17,1.19,1.24,1.02,0.75,0.68,0.98,0.95,1.44,1.38,1.14,1.03,1.05,1.02,1.26,1.26,1.24,2.11,2.29,2.22,2.95,3.12,3.06,1.61,5.01,4.47,4.24,3.07,3.13,3.25,3.24,3.22,3.15,3.12,3.03,4.02,4.02
Current Ratio,2.55,2.03,1.98,1.96,1.84,1.69,1.79,1.67,1.41,1.23,1.52,1.42,2.25,1.92,1.60,1.42,1.43,1.36,1.56,1.51,1.52,2.44,2.67,2.51,3.22,3.39,3.32,1.75,5.20,4.67,4.49,3.33,3.44,3.62,3.60,3.55,3.45,3.44,3.36,4.59,4.59
Interest Coverage,-12.65,-5.00,3.64,2.43,-77.88,-3.33,7.68,-76.08,-121.10,-76.26,-14.08,-9.58,-9.83,-4.40,-3.00,-0.74,-1.13,-0.40,-0.15,1.42,1.83,9.30,14.72,20.29,19.09,-8.05,8.48,13.09,0.77,4.71,3.04,4.98,21.98,43.53,60.54,74.79,84.01,84.19,63.54,6.39,59.05
Return on Capital (ROIC),Upgrade,-41.19%,-34.86%,-17.07%,-12.09%,-12.37%,-5.05%,-5.39%,-34.05%,-73.40%,-196.17%,-145.18%,-178.13%,-120.89%,-131.62%,-118.91%,-96.92%,-100.91%,-50.59%,-4.77%,-0.55%,9.89%,11.47%,23.03%,45.80%,30.99%,29.63%,29.24%,23.47%,11.45%,14.90%,13.41%,13.87%,12.26%,13.01%,16.34%,18.60%,21.01%,23.91%,22.72%,15.94%
Buyback Yield / Dilution,-2.57%,-2.48%,-16.78%,-3.77%,-4.13%,-3.92%,1.62%,-4.34%,-5.14%,-5.19%,1.50%,-11.00%,-65.88%,-81.11%,-79.50%,-69.79%,-19.27%,-15.26%,-21.14%,-24.40%,-26.73%,-34.34%,-29.97%,-24.86%,-19.20%,3.93%,-6.14%,-10.37%,-6.04%,-12.68%,0.42%,3.27%,1.25%,-1.55%,-3.36%,-2.21%,-0.95%,-0.96%,1.44%,5.14%,0.76%
Total Shareholder Return,-2.57%,-2.48%,-16.78%,-3.77%,-4.13%,-3.92%,1.62%,-4.34%,-5.14%,-5.19%,1.50%,-11.00%,-65.88%,-81.11%,-79.50%,-69.79%,-19.27%,-15.26%,-21.14%,-24.40%,-26.73%,-34.34%,-29.97%,-24.86%,-19.20%,3.93%,-6.14%,-10.37%,-6.04%,-12.68%,0.42%,3.27%,1.25%,-1.55%,-3.36%,-2.21%,-0.95%,-0.96%,1.44%,5.14%,0.76%
