,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"65,847","77,663","96,272","89,561","114,069","133,296","159,383","224,468","191,737","215,193","231,661"
Market Cap Growth,13.97%,17.94%,23.96%,-6.97%,27.36%,16.86%,19.57%,40.84%,-14.58%,12.23%,-
Enterprise Value,"60,950","73,327","91,390","85,456","109,029","127,189","154,359","219,802","187,169","209,292","227,596"
PE Ratio,22.39,25.43,23.41,26.00,28.10,27.89,31.20,38.00,27.88,31.32,34.24
PS Ratio,2.07,2.36,2.77,2.48,2.78,3.08,3.60,4.44,3.11,3.36,3.59
PB Ratio,11.49,12.66,12.74,10.01,11.01,9.25,9.38,11.49,8.67,8.38,8.68
P/FCF Ratio,20.77,20.51,23.06,20.09,21.09,22.11,20.93,26.74,21.73,23.92,25.66
P/OCF Ratio,18.89,18.60,20.63,18.01,18.93,20.11,19.40,25.01,20.10,22.59,24.32
EV/Sales Ratio,1.91,2.23,2.63,2.36,2.66,2.94,3.48,4.35,3.04,3.26,3.52
EV/EBITDA Ratio,12.96,15.12,14.95,16.30,16.52,17.91,18.15,22.83,16.68,18.46,20.02
EV/EBIT Ratio,14.94,17.44,16.98,19.24,19.22,20.49,22.94,28.41,20.50,23.11,25.09
EV/FCF Ratio,19.23,19.36,21.89,19.17,20.16,21.10,20.27,26.18,21.21,23.26,25.21
Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.18,0.15,0.12,0.12
Debt / EBITDA Ratio,0.01,0.01,0.00,0.00,0.00,0.00,0.41,0.36,0.30,0.28,0.27
Debt / FCF Ratio,0.01,0.01,0.01,0.01,0.00,0.00,0.46,0.42,0.38,0.35,0.34
Quick Ratio,1.30,1.19,1.26,1.13,1.24,1.29,1.29,1.14,1.12,1.18,1.18
Current Ratio,1.46,1.26,1.35,1.23,1.34,1.40,1.40,1.25,1.23,1.30,1.33
Asset Turnover,1.88,1.88,1.83,1.72,1.75,1.54,1.28,1.24,1.36,1.31,1.29
Interest Coverage,231.59,288.44,331.04,285.74,290.34,270.33,203.50,130.05,192.98,190.53,165.73
Return on Equity (ROE),54.60%,51.90%,60.00%,42.40%,41.70%,35.30%,32.10%,31.50%,32.60%,28.10%,27.10%
Return on Assets (ROA),17.40%,17.40%,21.70%,16.30%,17.30%,17.10%,14.70%,14.40%,15.20%,14.00%,13.70%
Return on Capital (ROIC),54.06%,52.47%,48.62%,40.60%,40.77%,33.76%,24.25%,25.46%,27.88%,23.30%,22.52%
Earnings Yield,4.47%,3.93%,4.27%,3.85%,3.56%,3.59%,3.20%,2.63%,3.59%,3.19%,2.97%
FCF Yield,4.81%,4.88%,4.34%,4.98%,4.74%,4.52%,4.78%,3.74%,4.60%,4.18%,3.90%
Dividend Yield,2.30%,2.20%,1.90%,1.90%,1.60%,1.50%,1.30%,1.00%,1.30%,1.40%,1.40%
Payout Ratio,40.10%,41.90%,33.40%,43.50%,41.20%,39.00%,39.90%,37.80%,35.70%,41.10%,47.82%
Buyback Yield / Dilution,2.94%,1.97%,1.62%,1.09%,0.78%,0.78%,0.37%,0.29%,0.48%,0.66%,0.21%
Total Shareholder Return,5.24%,4.17%,3.52%,2.99%,2.38%,2.28%,1.67%,1.29%,1.78%,2.06%,1.61%
