,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-29,2019-12-31,2020-03-29,2020-06-28,2020-09-27,2020-12-31,2021-04-04,2021-07-04,2021-10-03,2021-12-31,2022-04-03,2022-07-03,2022-10-02,2022-12-31,2023-04-02,2023-07-02,2023-10-01,2023-12-31,Current
Market Capitalization,"14,426","15,873","16,088","17,753","23,396","22,849","20,161","22,047","27,712","26,737","34,261","32,811","34,817","36,943","38,291","40,349","39,597","37,602","27,425","21,483","27,111","28,102","30,453","35,726","23,775","31,147","34,654","44,605","59,585","55,282","50,366","60,545","48,043","38,360","39,841","41,027","47,238","53,680","51,547","59,093","59,842"
Market Cap Growth,100.21%,104.08%,73.78%,56.59%,62.18%,43.95%,25.32%,24.19%,18.45%,17.02%,69.94%,48.82%,25.64%,38.17%,11.76%,22.98%,13.73%,1.78%,-28.38%,-46.76%,-31.53%,-25.27%,11.04%,66.30%,-12.31%,10.84%,13.80%,24.85%,150.62%,77.49%,45.34%,35.74%,-19.37%,-30.61%,-20.90%,-32.24%,-1.68%,39.94%,29.38%,44.03%,-
Enterprise Value,"17,289","18,792","19,302","20,567","26,085","25,461","22,719","29,645","35,230","34,296","42,074","40,104","39,088","40,849","41,782","43,367","42,192","39,964","31,837","26,048","32,259","33,610","35,421","42,046","30,062","37,234","40,444","49,939","65,354","61,963","57,656","68,287","55,933","45,975","47,244","48,347","54,475","60,987","58,902","66,406","67,155"
PE Ratio,32.79,24.96,33.24,29.79,-54.66,19.04,13.96,5.67,-17.41,-514.18,94.12,64.08,6.67,188.49,88.64,13.40,170.68,174.08,3.77,19.46,-322.75,171.35,69.85,78.35,-283.03,-36.39,-393.79,36.09,42.20,34.81,24.26,25.14,18.28,14.31,13.50,14.21,19.20,19.23,16.37,21.20,21.94
PS Ratio,2.90,3.09,2.98,3.14,3.99,3.79,3.34,3.61,4.04,3.46,3.95,3.45,3.67,3.96,4.14,4.36,4.25,4.00,2.90,2.28,2.94,3.07,3.39,4.02,2.70,3.71,4.12,5.18,6.51,5.56,4.78,5.47,4.13,3.11,3.08,3.11,3.58,4.07,3.92,4.45,4.51
PB Ratio,14.09,15.47,27.45,33.00,51.42,35.10,22.68,1.91,2.48,2.46,3.25,3.11,2.81,2.94,2.99,2.98,2.89,2.74,2.58,2.05,2.78,3.01,3.24,3.78,2.63,3.51,3.90,4.99,7.18,7.43,7.47,9.27,7.38,5.51,5.61,5.51,5.94,6.57,6.07,6.60,6.68
P/FCF Ratio,18.45,19.22,17.89,16.10,19.89,17.74,16.23,22.57,27.74,24.33,23.66,17.69,17.52,18.85,21.10,22.06,21.58,21.24,7.32,5.79,8.01,8.01,18.39,20.47,12.22,16.67,20.19,22.76,27.32,23.82,19.61,28.23,22.58,17.44,17.11,15.38,19.06,21.81,21.52,21.68,21.95
P/OCF Ratio,13.80,14.08,13.12,12.09,14.97,13.67,12.48,16.58,20.14,18.33,18.65,14.25,13.85,14.65,15.65,16.49,16.21,15.64,6.27,4.92,6.70,6.76,13.30,15.06,9.18,12.53,15.29,17.97,22.05,18.91,15.17,19.68,15.01,11.34,11.05,10.53,12.87,14.88,14.93,16.82,17.03
Debt / Equity Ratio,3.50,3.49,6.50,7.43,8.89,7.75,5.68,0.80,0.80,0.82,0.89,0.87,0.53,0.52,0.51,0.49,0.48,0.39,0.60,0.70,0.75,0.92,0.91,0.78,0.82,1.06,1.05,0.85,0.92,1.29,1.42,1.62,1.62,1.60,1.57,1.50,1.40,1.37,1.32,1.25,1.25
Quick Ratio,1.06,1.03,1.05,1.35,1.46,2.28,1.77,1.08,0.94,0.93,1.06,1.20,1.56,1.31,1.47,1.63,1.51,2.04,0.78,1.06,0.92,1.28,1.38,0.96,0.93,1.25,1.27,1.51,1.18,1.67,0.95,1.53,1.27,1.54,1.48,1.47,1.19,1.21,1.20,1.16,1.16
