,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"41,281","48,006","48,399","56,901","68,653","53,945","69,945","63,131","84,748","63,700","59,293"
Market Cap Growth,33.86%,16.29%,0.82%,17.57%,20.65%,-21.42%,29.66%,-9.74%,34.24%,-24.84%,-
Enterprise Value,"71,450","68,894","68,581","79,318","94,194","95,148","101,734","8,136","33,278","88,050","78,676"
PE Ratio,10.45,12.16,12.47,15.43,13.53,10.66,13.64,8.67,15.59,11.11,10.34
PS Ratio,2.58,3.12,3.18,3.75,4.20,3.33,4.15,3.74,4.41,3.02,2.71
PB Ratio,0.98,1.08,1.08,1.25,1.45,1.13,1.42,1.17,1.52,1.39,1.20
P/FCF Ratio,7.43,8.60,8.76,16.26,12.31,6.88,9.50,13.55,11.75,7.01,6.38
P/OCF Ratio,7.43,8.60,8.76,16.26,12.31,6.88,9.50,13.55,11.75,7.01,6.38
EV/Sales Ratio,4.46,4.48,4.50,5.23,5.77,5.88,6.04,0.48,1.73,4.17,3.59
EV/EBITDA Ratio,10.47,10.47,10.46,12.46,14.37,12.93,13.41,0.86,3.82,10.94,10.18
EV/EBIT Ratio,12.59,12.32,12.54,15.34,17.32,15.28,16.23,1.02,4.80,11.90,10.50
EV/FCF Ratio,12.86,12.34,12.41,22.66,16.88,12.14,13.82,1.75,4.61,9.69,8.47
Debt / Equity Ratio,1.09,1.28,1.23,1.16,1.25,1.21,1.22,0.69,0.55,1.28,1.34
Debt / EBITDA Ratio,6.79,8.67,8.36,8.33,9.06,7.84,7.95,3.94,3.53,7.29,8.56
Debt / FCF Ratio,8.34,10.21,9.92,15.14,10.64,7.36,8.18,7.98,4.27,6.46,7.12
Asset Turnover,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Return on Equity (ROE),9.70%,8.90%,8.70%,8.10%,10.90%,10.70%,10.40%,13.90%,9.90%,12.10%,12.00%
Return on Assets (ROA),1.30%,1.20%,1.10%,1.00%,1.40%,1.30%,1.30%,1.60%,1.00%,1.00%,1.00%
Return on Capital (ROIC),5.28%,4.34%,4.35%,4.35%,5.44%,4.76%,4.90%,6.85%,5.87%,6.21%,6.11%
Earnings Yield,9.57%,8.22%,8.02%,6.48%,7.39%,9.38%,7.33%,11.54%,6.41%,9.00%,9.81%
FCF Yield,13.46%,11.63%,11.42%,6.15%,8.13%,14.53%,10.53%,7.38%,8.51%,14.26%,15.67%
Dividend Yield,2.20%,2.10%,2.10%,1.80%,1.80%,2.90%,2.60%,3.10%,2.40%,3.60%,4.17%
Payout Ratio,23.10%,25.30%,26.70%,28.60%,24.80%,31.50%,36.70%,27.10%,37.80%,41.50%,43.06%
Buyback Yield / Dilution,-0.57%,-0.94%,2.98%,4.03%,2.80%,3.29%,4.68%,4.69%,0.23%,3.29%,2.44%
Total Shareholder Return,1.63%,1.16%,5.08%,5.83%,4.60%,6.19%,7.28%,7.79%,2.63%,6.89%,6.60%
