,2014-03-28,2014-06-27,2014-10-03,2015-01-02,2015-04-03,2015-07-03,2015-10-02,2016-01-01,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31,2017-06-30,2017-09-29,2017-12-29,2018-03-30,2018-06-29,2018-09-28,2018-12-28,2019-03-29,2019-06-28,2019-10-04,2020-01-03,2020-04-03,2020-07-03,2020-10-02,2021-01-01,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-30,2023-03-31,2023-06-30,2023-09-29,2023-12-29,Current
Market Capitalization,"21,124","21,838","22,325","25,642","21,486","18,674","18,303","13,915","10,847","10,827","16,621","19,398","23,774","25,804","25,477","23,524","27,456","23,164","17,056","10,633","13,978","13,932","17,337","19,215","11,422","12,719","10,879","16,852","21,846","21,516","17,626","20,321","15,142","13,598","10,237","10,022","12,029","12,135","14,688","16,981","17,509"
Market Cap Growth,74.54%,48.79%,48.77%,31.01%,1.71%,-14.49%,-18.01%,-45.74%,-49.52%,-42.02%,-9.19%,39.41%,119.18%,138.32%,53.28%,21.27%,15.48%,-10.23%,-33.05%,-54.80%,-49.09%,-39.86%,1.65%,80.71%,-18.29%,-8.70%,-37.25%,-12.30%,91.26%,69.16%,62.03%,20.58%,-30.69%,-36.80%,-41.92%,-50.68%,-20.56%,-10.76%,43.48%,69.44%,-
Enterprise Value,"18,728","19,188","19,350","22,874","18,790","15,944","15,411","10,560","7,017","19,443","25,429","27,370","31,185","32,601","31,687","29,280","33,673","29,331","23,553","17,234","20,881","20,999","24,301","25,911","18,108","19,246","17,256","23,029","28,041","26,871","22,857","25,098","19,799","18,293","15,259","15,222","16,882","17,182","20,328","22,893","23,421"
PE Ratio,20.41,13.51,14.45,16.51,13.76,12.75,13.81,12.23,13.10,44.74,-40.84,-45.86,-95.48,65.00,17.64,60.94,137.97,34.32,33.77,12.64,70.24,-18.48,-11.25,-16.11,-19.20,-50.88,-319.97,100.91,62.96,26.21,11.82,10.20,8.32,9.07,11.16,-102.26,-17.09,-7.01,-5.97,-7.34,-7.34
PS Ratio,1.39,1.44,1.46,1.69,1.43,1.28,1.31,1.04,0.86,0.83,1.16,1.22,1.34,1.35,1.30,1.18,1.35,1.12,0.83,0.55,0.77,0.84,1.11,1.23,0.71,0.76,0.66,1.03,1.34,1.27,0.98,1.07,0.79,0.72,0.59,0.64,0.85,0.99,1.30,1.51,1.56
PB Ratio,2.41,2.47,2.49,2.82,2.33,2.03,1.96,1.46,1.13,0.97,1.54,1.81,2.15,2.26,2.11,2.09,2.43,2.01,1.50,0.97,1.37,1.40,1.81,2.05,1.24,1.33,1.14,1.72,2.20,2.01,1.55,1.69,1.26,1.11,0.85,0.83,1.04,1.11,1.45,1.69,1.74
P/FCF Ratio,9.67,9.98,9.66,13.79,11.58,11.46,13.49,8.18,7.14,7.74,13.17,11.23,10.47,8.96,7.08,6.50,7.76,6.82,5.99,4.91,10.49,17.64,36.89,60.43,32.54,71.86,106.66,75.57,134.85,24.04,15.49,15.73,10.47,17.59,55.94,-24.32,-11.90,-9.99,-10.07,-11.50,-11.50
P/OCF Ratio,7.58,7.75,7.53,10.34,8.71,8.33,9.34,6.01,5.13,5.46,8.85,8.29,8.33,7.51,6.17,5.53,6.41,5.51,4.52,3.47,6.24,9.01,15.83,21.76,13.91,15.44,11.65,15.29,20.30,11.34,8.57,8.85,5.87,7.23,7.50,13.65,-267.31,-29.74,-14.12,-14.55,-14.55
Debt / Equity Ratio,0.28,0.28,0.27,0.26,0.25,0.28,0.27,0.26,0.23,1.52,1.22,1.22,1.19,1.15,1.09,1.07,0.99,0.97,0.98,0.97,1.04,1.06,1.07,1.05,1.04,1.00,0.98,0.93,0.90,0.81,0.75,0.61,0.60,0.57,0.58,0.58,0.61,0.64,0.76,0.83,0.83
Quick Ratio,1.78,1.84,1.86,2.14,2.09,2.11,2.18,2.31,2.62,1.42,1.62,1.74,1.77,1.91,2.02,1.92,1.64,1.62,1.57,1.32,1.16,1.22,1.10,1.10,1.10,1.23,1.15,1.06,1.03,1.16,1.22,1.07,1.10,0.98,0.90,0.86,0.72,0.67,0.60,0.85,0.85
