,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,-,-,-,-,-,-,"78,640","51,799","50,731","48,128","53,892","63,936","89,952","101,289","93,813","84,419","81,349","69,735","40,176","52,468","49,322","63,714","87,369","93,982","126,702","161,357"
Market Cap Growth,-,-,-,-,-,-,-,-,-,-,-31.47%,23.43%,77.31%,110.46%,74.07%,32.04%,-9.56%,-31.15%,-57.17%,-37.85%,-39.37%,-8.63%,117.46%,79.12%,156.89%,-
Enterprise Value,"-2,780",-,-,-,"-1,340",660,"70,930","44,525","45,650","45,195","53,162","63,407","90,660","103,366","96,287","85,564","84,649","73,306","43,509","54,917","53,681","67,879","89,402","97,383","130,170","164,825"
PE Ratio,-,-,-,-,-,-,-9.68,-6.24,-5.96,-4.61,-7.73,-9.27,-13.29,-25.70,-91.79,-35.82,-164.01,-11.04,-3.99,-5.93,-5.40,-18.91,-233.61,89.25,67.15,90.13
PS Ratio,-,-,-,-,-,-,6.93,4.24,3.90,3.66,4.53,5.87,8.07,9.38,7.32,5.69,4.66,3.26,1.57,1.81,1.55,1.88,2.50,2.61,3.40,4.33
PB Ratio,-,-,-,-,-,-,4.94,3.44,3.58,4.24,5.64,7.15,7.33,7.45,6.62,6.06,5.63,7.82,6.03,8.40,6.72,8.49,10.08,10.04,11.26,14.34
P/FCF Ratio,-,-,-,-,-,-,-24.72,-13.91,-10.33,-10.11,-10.94,-14.35,-26.76,-29.95,-36.86,-56.89,-109.49,-645.70,59.79,103.69,126.47,64.62,50.10,41.02,37.69,47.99
P/OCF Ratio,-,-,-,-,-,-,-28.75,-16.17,-11.74,-11.85,-12.80,-17.10,-32.77,-35.01,-43.37,-73.86,-182.81,385.28,41.81,67.35,76.83,51.67,44.04,37.32,35.34,45.01
Debt / Equity Ratio,-0.36,-,-,-,-0.93,-0.99,0.38,0.49,0.52,0.65,0.88,0.94,0.76,0.70,0.67,0.78,0.77,1.25,1.68,1.77,1.52,1.48,1.27,1.17,1.00,1.00
Quick Ratio,1.71,-,-,-,2.14,1.86,2.69,2.94,2.43,1.67,1.65,1.40,1.40,1.17,1.07,1.37,1.14,1.16,1.15,1.23,1.08,1.09,1.34,1.13,1.18,1.18
Current Ratio,1.78,-,-,-,2.03,1.68,2.57,2.82,2.47,1.68,1.64,1.36,1.44,1.14,1.01,1.19,0.98,1.00,0.98,1.04,1.05,1.06,1.24,1.14,1.20,1.20
Interest Coverage,-,33.76,-4.31,-5.12,-5.20,-3.58,-33.69,-11.88,-9.60,-25.93,-15.10,-8.52,-7.02,1.67,6.78,-19.53,7.12,-46.77,-17.16,-6.86,4.38,0.39,4.19,2.09,11.08,4.32
Return on Capital (ROIC),,-,-,-,-,575.45%,3987.78%,-38.06%,-38.69%,-39.77%,-47.02%,-27.55%,-28.63%,-22.57%,-6.33%,-8.03%,-5.45%,-4.28%,-18.50%,-13.35%,-13.31%,-10.04%,-8.80%,-3.26%,1.64%,4.88%
Buyback Yield / Dilution,-,-,-,-,-5.44%,4.53%,-151.63%,-281.40%,-158.34%,-280.14%,-56.56%,-3.22%,-43.66%,-7.78%,-12.48%,-8.20%,-8.46%,-5.34%,-0.66%,-4.23%,-2.57%,-2.65%,-5.61%,-6.53%,-6.52%,-5.92%
Total Shareholder Return,-,-,-,-,-5.44%,4.53%,-151.63%,-281.40%,-158.34%,-280.14%,-56.56%,-3.22%,-43.66%,-7.78%,-12.48%,-8.20%,-8.46%,-5.34%,-0.66%,-4.23%,-2.57%,-2.65%,-5.61%,-6.53%,-6.52%,-5.92%
