,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,"3,748",-878,-986,-887,"-1,012","-5,236","-1,162","-1,096","-2,936","-1,775","-1,089",-969,-108,"1,144","-2,424",892,"-5,930","-2,601","-1,206",595,-157,394,221,"1,429"
Depreciation & Amortization,88,98,131,109,146,123,102,101,128,129,138,180,212,226,218,246,254,243,227,223,207,208,205,203
Share-Based Compensation,61,20,64,25,11,"3,941",401,243,277,131,183,236,281,272,281,334,359,470,482,482,470,504,492,469
Other Operating Activities,"-4,194",607,381,72,133,250,-219,"-1,047","2,068",444,362,-252,-996,"-1,983","2,539","-1,579","5,332","2,327",929,"-1,544",86,84,48,"-1,278"
Operating Cash Flow,-297,-153,-410,-681,-722,-922,-878,"-1,799",-463,"-1,071",-406,-805,-611,-341,614,-107,15,439,432,-244,606,"1,190",966,823
Operating Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-29.64%,-,3940.00%,171.07%,123.61%,-
Capital Expenditures,48,-27,-54,-156,-89,-147,-129,-223,-198,-164,-131,-123,-71,-57,-90,-80,-62,-57,-74,-59,-57,-50,-61,-55
Acquisitions,0,-64,0,0,293,-7,0,0,"-1,346",0,-190,65,-28,-52,-31,"-2,203",-59,0,26,0,0,0,0,0
Change in Investments,-423,0,-19,30,0,0,0,-539,-312,-282,-102,-149,-159,201,"1,337",20,-13,-1,376,"-1,708",-346,469,"-2,381",-778
Other Investing Activities,-,-,-,-30,-,-,-,51,-,-10,58,15,8,9,-,-5,-1,4,-7,-2,4,-11,26,14
Investing Cash Flow,-375,-91,-73,-156,204,-154,-129,-711,"-1,856",-456,-365,-192,-250,101,"1,216","-2,268",-135,-54,321,"-1,769",-399,408,"-2,416",-819
Share Issuance / Repurchase,8,-2,10,-16,0,"8,477",-4,49,0,82,0,43,0,67,0,40,0,59,0,33,0,85,0,45
Debt Issued / Paid,-99,"1,340",-325,"1,951",-41,-31,"1,141",-45,-60,42,444,560,-241,-61,"1,426",-200,-68,-40,-39,-117,-56,-49,-67,125
Other Financing Activities,"1,205",24,2,542,-5,"-1,371",856,-87,-3,-6,-16,293,15,30,130,574,-45,-14,251,-5,-51,6,-9,-124
Financing Cash Flow,"1,114","1,362",-313,"2,477",-46,"7,075","1,993",-83,-63,118,428,896,-226,36,"1,556",414,-113,5,212,-89,-107,42,-76,46
Exchange Rate Effect,2,-104,-31,14,3,9,-35,19,-156,-19,8,75,-46,51,-50,-24,20,-118,-195,145,16,27,-69,89
Net Cash Flow,444,"1,014",-827,"1,654",-561,"6,008",951,"-2,574","-2,538","-1,428",-335,-26,"-1,133",-153,"3,336","-1,985",-213,272,770,"-1,957",116,"1,667","-1,595",139
Free Cash Flow,-249,-180,-464,-837,-811,"-1,069","-1,007","-2,022",-661,"-1,235",-537,-928,-682,-398,524,-187,-47,382,358,-303,549,"1,140",905,768
Free Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-31.68%,-,-,198.43%,152.79%,-
Free Cash Flow Margin,-9.64%,-6.50%,-15.76%,-39.17%,-26.17%,-33.77%,-26.41%,-69.20%,-20.35%,-64.56%,-19.09%,-29.32%,-23.49%,-10.13%,10.82%,-3.24%,-0.69%,4.73%,4.29%,-3.52%,6.22%,12.35%,9.74%,7.73%
Free Cash Flow Per Share,-0.57,-0.41,-1.04,-1.86,-1.79,-0.96,-0.59,-1.62,-0.38,-0.71,-0.31,-0.52,-0.37,-0.21,0.28,-0.10,-0.02,0.19,0.18,-0.15,0.27,0.56,0.44,0.37
