,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,-,"2,584","2,768","2,944","2,137","3,099","3,166","3,813","2,922","3,248","1,913","2,813","3,165","2,903","3,929","4,845","5,778","6,854","8,073","8,343","8,607","8,823","9,230","9,292","9,936"
Revenue Growth (YoY),-,-,-,-,-,19.93%,14.38%,29.52%,36.73%,4.81%,-39.58%,-26.23%,8.32%,-10.62%,105.38%,72.24%,82.56%,136.10%,105.47%,72.20%,48.96%,28.73%,14.33%,11.37%,15.44%
Cost of Revenue,-,"1,156","1,342","1,510",778,"1,681","1,740","1,860",780,"1,491",924,"1,298","1,441","1,710","2,099","2,438","3,104","4,026","5,153","5,173","5,307","5,259","5,515","5,626","6,057"
Gross Profit,-,"1,428","1,426","1,434","1,359","1,418","1,426","1,953","2,142","1,757",989,"1,515","1,724","1,193","1,830","2,407","2,674","2,828","2,920","3,170","3,300","3,564","3,715","3,666","3,879"
"Selling, General & Admin",-,"1,106","1,353","1,245","1,529","1,463","2,860","1,704","1,898","1,744","1,301","1,635","1,569","1,567","1,872","1,793","1,873","1,895","2,069","2,061","1,867","2,204","1,709","1,587","1,538"
Research & Development,-,340,365,434,366,409,"3,064",755,608,645,584,493,483,515,488,493,558,587,704,760,747,775,808,797,784
Other Operating Expenses,0,460,447,518,517,580,987,600,607,631,711,503,549,635,658,693,793,828,860,844,828,847,872,888,905
Operating Expenses,-,"1,906","2,165","2,197","2,412","2,452","6,911","3,059","3,113","3,020","2,596","2,631","2,601","2,717","3,018","2,979","3,224","3,310","3,633","3,665","3,442","3,826","3,389","3,272","3,227"
Operating Income,-,-478,-739,-763,"-1,053","-1,034","-5,485","-1,106",-971,"-1,263","-1,607","-1,116",-877,"-1,524","-1,188",-572,-550,-482,-713,-495,-142,-262,326,394,652
Interest Expense / Income,-,132,160,161,195,217,151,90,101,118,110,112,118,115,115,123,130,129,139,146,151,168,144,166,155
Other Expense / Income,-,"-4,934",-49,61,-39,-258,-398,-37,-1,"1,797",54,-162,-49,"-1,716","-1,968","1,830","-1,475","5,551","1,672",507,-804,-328,-277,47,"-1,065"
Pretax Income,-,"4,324",-850,-985,"-1,209",-993,"-5,238","-1,159","-1,071","-3,178","-1,771","-1,066",-946,77,665,"-2,525",795,"-6,162","-2,524","-1,148",511,-102,459,181,"1,562"
Income Tax,-,576,28,1,-322,19,-2,3,25,-242,4,23,23,185,-479,-101,-97,-232,77,58,-84,55,65,-40,133
Net Income,-,"3,748",-878,-986,-887,"-1,012","-5,236","-1,162","-1,096","-2,936","-1,775","-1,089",-969,-108,"1,144","-2,424",892,"-5,930","-2,601","-1,206",595,-157,394,221,"1,429"
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-33.30%,-,-,-,140.17%
Shares Outstanding (Basic),426,437,441,446,450,454,"1,111","1,700","1,248","1,724","1,739","1,755","1,793","1,859","1,875","1,899","1,937","1,954","1,964","1,979","1,995","2,010","2,027","2,045","2,061"
Shares Outstanding (Diluted),-,475,441,446,483,454,"1,111","1,700","1,248","1,724","1,739","1,755","1,793","1,859","1,956","1,899","1,945","1,958","1,969","1,979","1,995","2,010","2,079","2,108","2,125"
