,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"2,671","2,760","2,552","2,375","2,755","3,043","3,064","3,104","3,441","3,689","3,956","3,974","4,313","4,911","4,860","4,459","5,208","5,907","6,144","6,738","5,985","6,498","7,592","8,052","8,503","7,908","10,857","13,407","14,959","13,889","18,395","17,420","22,690","16,985","14,075","12,598","11,806","13,390","14,625","13,906","14,980"
Market Cap Growth,35.13%,23.86%,4.57%,-9.13%,3.15%,10.25%,20.06%,30.67%,24.92%,21.22%,29.12%,28.04%,25.34%,33.14%,22.87%,12.20%,20.73%,20.27%,26.41%,51.10%,14.93%,10.02%,23.57%,19.51%,42.07%,21.70%,43.01%,66.50%,75.92%,75.62%,69.43%,29.93%,51.68%,22.29%,-23.48%,-27.68%,-47.97%,-21.17%,3.91%,10.38%,-
Enterprise Value,"2,909","3,077","2,955","2,755","3,061","3,431","3,518","3,468","3,756","4,129","4,426","4,334","4,729","5,388","5,387","4,987","5,697","6,466","6,759","7,283","6,636","7,347","8,399","8,741","9,164","8,653","11,437","13,854","15,549","14,506","18,983","17,923","24,093","18,718","15,842","14,322","13,421","15,008","16,041","15,154","16,228"
PE Ratio,27.44,28.14,24.21,22.01,24.89,26.48,25.75,25.11,26.83,27.08,27.52,26.70,28.96,31.71,29.58,26.45,27.18,29.43,27.57,27.69,25.53,27.56,30.36,30.93,32.51,30.44,37.96,41.18,40.79,31.97,34.28,28.93,34.87,23.23,18.07,16.07,15.77,19.96,24.55,25.58,27.90
PS Ratio,1.28,1.31,1.17,1.07,1.23,1.33,1.34,1.34,1.46,1.52,1.59,1.56,1.68,1.89,1.82,1.64,1.87,2.09,2.12,2.27,2.00,2.16,2.47,2.55,2.66,2.41,3.16,3.64,3.80,3.22,3.81,3.42,4.29,3.01,2.38,2.06,1.91,2.24,2.53,2.47,2.66
PB Ratio,9.33,10.55,9.40,9.40,11.27,12.60,11.84,11.88,13.46,17.89,14.87,14.61,21.02,22.06,16.03,21.18,23.34,23.65,19.58,18.08,26.77,28.90,22.12,19.84,20.73,22.70,22.30,22.74,23.39,21.11,21.03,17.68,21.18,14.46,11.45,10.58,9.56,10.65,10.03,9.81,10.56
P/FCF Ratio,30.93,31.36,38.08,34.21,26.37,37.45,32.44,22.39,29.42,28.32,26.32,22.97,32.92,37.03,51.31,48.18,38.31,45.90,40.87,79.37,68.73,38.70,33.48,28.75,32.04,31.05,27.46,31.84,39.80,32.09,54.49,51.43,82.26,-1749.24,122.53,57.14,26.76,17.95,18.78,16.01,17.24
P/OCF Ratio,25.41,25.62,29.27,26.85,22.62,29.98,26.40,19.09,23.56,22.50,20.94,18.81,26.08,28.44,35.27,33.22,29.71,36.11,34.16,58.82,50.44,33.91,30.02,25.92,28.46,27.30,25.70,30.17,37.63,30.53,50.59,47.37,72.38,600.86,90.81,48.10,24.35,16.82,17.56,15.00,16.15
Debt / Equity Ratio,0.86,1.24,1.59,1.56,1.31,1.63,1.91,1.51,1.28,2.18,1.88,1.43,2.13,2.20,1.83,2.68,2.33,2.27,2.09,1.56,2.98,3.90,2.53,1.79,1.68,2.19,1.28,0.89,0.98,0.98,0.74,0.60,1.33,1.51,1.51,1.49,1.34,1.31,1.01,0.94,0.94
Quick Ratio,0.51,0.55,1.04,0.95,0.53,0.60,1.11,1.00,0.56,0.59,0.99,0.80,0.64,0.58,1.03,0.98,0.70,0.61,1.10,1.12,0.73,0.57,0.95,0.95,0.65,0.56,0.90,0.91,0.67,0.61,0.92,0.77,0.54,0.75,0.95,0.81,0.59,0.60,0.89,0.77,0.77
