,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"7,524","8,452","18,722","20,688","23,502","29,981","34,352","53,900","38,056","42,227","43,545"
Market Cap Growth,25.93%,12.33%,121.52%,10.50%,13.60%,27.57%,14.58%,56.91%,-29.39%,10.96%,-
Enterprise Value,"8,937","9,943","24,684","29,908","33,571","41,123","45,354","64,861","49,758","54,627","55,945"
PE Ratio,21.07,21.84,260.03,16.20,90.74,156.97,123.12,55.80,34.88,31.10,32.73
PS Ratio,1.38,1.47,2.75,2.13,2.26,2.70,3.02,3.89,2.64,2.82,2.91
PB Ratio,-10.69,-14.98,2.17,2.59,3.50,4.99,5.72,8.92,6.60,6.91,7.12
P/FCF Ratio,21.50,21.24,26.90,34.42,29.56,35.91,25.58,23.41,24.00,28.15,29.03
P/OCF Ratio,17.38,17.76,21.77,21.33,18.74,21.16,17.54,18.32,16.84,19.65,20.26
EV/Sales Ratio,1.64,1.73,3.62,3.08,3.22,3.71,3.99,4.67,3.45,3.65,3.73
EV/EBITDA Ratio,12.28,12.83,29.74,18.21,17.92,21.02,22.08,23.43,17.18,16.78,17.18
EV/EBIT Ratio,14.72,15.37,45.63,47.40,45.86,54.54,59.13,43.13,28.16,25.63,26.25
EV/FCF Ratio,25.53,24.98,35.47,49.76,42.23,49.25,33.77,28.18,31.37,36.42,37.30
Debt / Equity Ratio,-3.24,-4.38,0.83,1.28,1.64,2.01,2.15,2.06,2.26,2.27,2.27
Debt / EBITDA Ratio,3.14,3.18,8.67,6.23,5.88,6.16,6.28,4.49,4.49,4.27,4.27
Debt / FCF Ratio,6.52,6.20,10.34,17.01,13.85,14.42,9.61,5.40,8.20,9.26,9.26
Quick Ratio,1.25,1.34,1.09,0.98,0.94,0.88,0.95,0.77,0.76,0.75,0.75
Current Ratio,1.46,1.51,1.23,1.13,1.10,1.05,1.12,0.91,0.89,0.86,0.86
Asset Turnover,1.76,1.58,0.82,0.44,0.46,0.48,0.48,0.57,0.58,0.57,0.57
Interest Coverage,6.01,6.41,3.76,1.82,1.77,1.69,1.84,4.01,4.25,3.17,3.17
Return on Equity (ROE),-59.00%,-67.80%,3.90%,16.80%,3.50%,3.00%,4.90%,16.40%,19.50%,23.00%,23.00%
Return on Assets (ROA),11.50%,10.60%,0.90%,5.80%,1.10%,0.80%,1.20%,4.00%,4.40%,5.20%,5.20%
Return on Capital (ROIC),26.36%,24.05%,0.66%,16.35%,3.41%,2.68%,3.07%,6.45%,7.74%,9.20%,9.20%
Earnings Yield,4.75%,4.58%,0.38%,6.17%,1.10%,0.64%,0.81%,1.79%,2.87%,3.22%,3.12%
FCF Yield,4.65%,4.71%,3.72%,2.91%,3.38%,2.79%,3.91%,4.27%,4.17%,3.55%,3.44%
Buyback Yield / Dilution,-2.53%,4.20%,-21.02%,-46.45%,6.47%,4.13%,2.30%,-0.05%,2.26%,2.26%,2.26%
Total Shareholder Return,-2.53%,4.20%,-21.02%,-46.45%,6.47%,4.13%,2.30%,-0.05%,2.26%,2.26%,2.26%
