,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"4,687","6,822","10,890","9,717","11,019","11,447","13,679","14,973","30,357","19,711","29,911"
Market Cap Growth,23.47%,45.54%,59.64%,-10.77%,13.40%,3.88%,19.50%,9.46%,102.74%,-35.07%,-
Enterprise Value,"6,486","9,098","14,319","13,966","15,488","16,186","18,929","20,855","36,477","27,178","40,889"
PE Ratio,27.24,38.25,57.48,26.54,23.00,27.56,32.57,31.08,36.68,22.90,26.02
PS Ratio,9.00,10.54,13.92,9.80,9.97,9.57,10.45,11.04,19.25,10.24,13.18
PB Ratio,2.67,3.93,5.21,4.33,4.69,4.74,5.39,5.88,9.74,6.05,2.06
P/FCF Ratio,-55.32,-35.11,-645.19,-16.88,50.83,47.92,46.10,39.75,-89.09,-142.62,35.01
P/OCF Ratio,17.28,20.21,29.65,18.02,18.45,16.89,19.33,19.41,31.87,15.92,22.52
EV/Sales Ratio,12.46,14.06,18.30,14.08,14.02,13.53,14.47,15.38,23.13,14.12,18.02
EV/EBITDA Ratio,18.59,23.80,33.32,20.01,18.67,19.93,22.57,23.44,29.00,19.54,26.08
EV/EBIT Ratio,25.56,34.04,48.33,27.09,24.35,26.84,30.64,31.40,35.97,24.69,34.76
EV/FCF Ratio,-76.55,-46.82,-848.35,-24.27,71.44,67.75,63.80,55.36,-107.05,-196.65,47.86
Debt / Equity Ratio,1.11,1.35,1.69,1.92,1.94,1.99,2.10,2.36,1.99,2.32,0.77
Debt / EBITDA Ratio,5.58,6.15,8.23,6.17,5.49,5.93,6.34,6.75,4.92,5.44,7.14
Debt / FCF Ratio,-22.98,-12.09,-209.47,-7.48,21.01,20.14,17.93,15.95,-18.17,-54.71,13.10
Asset Turnover,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.17,0.14
Interest Coverage,3.54,3.29,3.10,3.86,4.14,3.38,3.31,3.94,6.10,5.02,3.25
Return on Equity (ROE),10.90%,10.20%,9.40%,16.80%,21.20%,17.50%,17.00%,19.80%,27.60%,26.60%,13.00%
Return on Assets (ROA),4.90%,4.20%,3.50%,5.50%,6.70%,5.40%,5.00%,5.50%,8.50%,7.50%,4.90%
Return on Capital (ROIC),5.45%,6.54%,4.95%,6.58%,9.41%,8.39%,7.87%,7.57%,10.23%,9.48%,4.18%
Earnings Yield,3.67%,2.61%,1.74%,3.77%,4.35%,3.63%,3.07%,3.22%,2.73%,4.37%,2.65%
FCF Yield,-1.81%,-2.85%,-0.15%,-5.92%,1.97%,2.09%,2.17%,2.52%,-1.12%,-0.70%,2.86%
Dividend Yield,3.40%,3.10%,2.50%,3.80%,3.60%,3.70%,3.40%,3.10%,2.00%,4.10%,4.58%
Payout Ratio,94.20%,117.50%,141.80%,100.30%,82.30%,102.10%,108.90%,97.00%,72.60%,93.60%,119.12%
Buyback Yield / Dilution,-9.00%,-7.36%,-4.52%,0.76%,-6.52%,0.74%,-2.46%,5.02%,-8.05%,-1.19%,-38.04%
Total Shareholder Return,-5.60%,-4.26%,-2.02%,4.56%,-2.92%,4.44%,0.94%,8.12%,-6.05%,2.91%,-33.46%
