,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,514,564,389,485,487,554,189,418,375,403
Depreciation & Amortization,155,154,159,157,160,157,157,156,153,144
Share-Based Compensation,0,76,19,20,19,9,24,28,29,33
Other Operating Activities,-91,-805,-99,-681,-44,322,-85,-669,93,470
Operating Cash Flow,578,-11,468,-19,622,"1,042",468,-67,650,"1,050"
Operating Cash Flow Growth,-,-,-,-,7.61%,-,0%,-,4.50%,0.77%
Capital Expenditures,-56,-74,-97,-59,-74,-76,-143,-69,-80,-94
Acquisitions,0,"-1,455",0,0,0,0,-127,-20,0,0
Other Investing Activities,-28,-3,-3,-26,-44,-19,4,5,-40,6
Investing Cash Flow,-84,"-1,532",-100,-85,-118,-95,-266,-84,-120,-88
Dividends Paid,0,0,0,0,0,0,0,-14,-14,-13
Debt Issued / Paid,1,-3,1,-2,8,"8,197","1,985",-3,20,-863
Other Financing Activities,-586,"1,404",-421,142,-513,"-8,234","-1,312",-210,-30,-24
Financing Cash Flow,-585,"1,401",-420,140,-505,-37,673,-227,-24,-900
Exchange Rate Effect,-12,-11,-3,-12,-25,37,8,-11,-31,24
Net Cash Flow,-103,-153,-55,24,-26,947,883,-389,475,86
Free Cash Flow,522,-85,371,-78,548,966,325,-136,570,956
Free Cash Flow Growth,-,-,-,-,4.98%,-,-12.40%,-,4.01%,-1.04%
Free Cash Flow Margin,12.13%,-1.85%,8.54%,-1.74%,11.98%,19.56%,6.90%,-2.82%,11.82%,18.36%
Free Cash Flow Per Share,-,-0.19,0.82,-0.17,1.21,2.13,0.72,-0.30,1.25,2.10
