,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,"4,304","4,589","4,343","4,484","4,576","4,938","4,707","4,817","4,822","5,206"
Revenue Growth (YoY),-,-,-,-,6.32%,7.61%,8.38%,7.43%,5.38%,5.43%
Cost of Revenue,"2,538","2,727","2,665","2,688","2,803","3,006","2,816","2,877","2,887","3,050"
Gross Profit,"1,766","1,862","1,678","1,796","1,773","1,932","1,891","1,940","1,935","2,156"
"Selling, General & Admin",914,910,931,908,908,884,"1,062","1,072",996,"1,152"
Research & Development,200,225,238,257,260,271,270,298,322,315
Operating Expenses,"1,114","1,135","1,169","1,165","1,168","1,155","1,332","1,370","1,318","1,467"
Operating Income,652,727,509,631,605,777,559,570,617,689
Interest Expense / Income,10,6,4,12,2,59,136,137,138,131
Other Expense / Income,-32,-22,-15,-19,-13,13,-112,-122,-146,-38
Pretax Income,674,743,520,638,616,705,535,555,625,596
Income Tax,160,179,131,153,129,151,163,137,250,193
Net Income,514,564,389,485,487,554,372,418,375,403
Preferred Dividends,0,0,0,0,0,0,183,0,0,0
Net Income Common,514,564,389,485,487,554,189,418,375,403
Net Income Growth,-,-,-,-,-5.25%,-1.77%,-51.41%,-13.81%,-23.00%,-27.26%
Shares Outstanding (Basic),-,454,454,454,454,454,454,455,455,455
Shares Outstanding (Diluted),-,-,454,454,454,454,457,458,458,458
Shares Change,-,-,-,-,-,-,0.66%,0.88%,0.88%,0.88%
EPS (Basic),-,-,0.86,1.07,1.07,1.21,0.42,0.92,0.83,0.89
EPS (Diluted),-,-,0.86,1.07,1.07,1.21,0.41,0.91,0.83,0.88
EPS Growth,-,-,-,-,-,-,-52.33%,-14.95%,-22.43%,-27.27%
Free Cash Flow,522,-85,371,-78,548,966,325,-136,570,956
Free Cash Flow Per Share,-,-0.19,0.82,-0.17,1.21,2.13,0.72,-0.30,1.25,2.10
Dividend Per Share,-,-,-,-,-,-,-,0.030,0.030,0.030
Gross Margin,41.03%,40.58%,38.64%,40.05%,38.75%,39.13%,40.17%,40.27%,40.13%,41.41%
Operating Margin,15.15%,15.84%,11.72%,14.07%,13.22%,15.74%,11.88%,11.83%,12.80%,13.23%
Profit Margin,11.94%,12.29%,8.96%,10.82%,10.64%,11.22%,4.02%,8.68%,7.78%,7.74%
Free Cash Flow Margin,12.13%,-1.85%,8.54%,-1.74%,11.98%,19.56%,6.90%,-2.82%,11.82%,18.36%
Effective Tax Rate,23.74%,24.09%,25.19%,23.98%,20.94%,21.42%,30.47%,24.68%,40.00%,32.38%
EBITDA,839,903,683,807,778,921,828,848,916,871
EBITDA Margin,19.49%,19.68%,15.73%,18.00%,17.00%,18.65%,17.59%,17.60%,19.00%,16.73%
Depreciation & Amortization,155,154,159,157,160,157,157,156,153,144
EBIT,684,749,524,650,618,764,671,692,763,727
EBIT Margin,15.89%,16.32%,12.07%,14.50%,13.51%,15.47%,14.26%,14.37%,15.82%,13.96%
