,2020-12-31,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,-,-,-,-,-,-,-,"37,236","36,938","30,947","35,199","39,169"
Enterprise Value,-972,-,-519,-,-489,-457,"6,804","45,148","45,237","38,789","42,137","46,107"
PE Ratio,-,-,-,-,-,-,-,21.71,22.41,20.15,25.42,28.30
PS Ratio,-,-,-,-,-,-,-,1.99,1.94,1.61,1.80,2.00
PB Ratio,-,-,-,-,-,-,-,5.57,5.20,4.34,4.93,5.49
P/FCF Ratio,-,-,-,-,-,-,-,21.14,21.69,17.94,20.52,22.84
P/OCF Ratio,-,-,-,-,-,-,-,17.62,17.89,14.79,16.75,18.64
Debt / Equity Ratio,0.00,-,0.00,-,0.00,0.00,0.88,1.53,1.44,1.44,1.32,1.32
Quick Ratio,0.47,-,0.56,-,0.57,0.54,0.66,0.70,0.70,0.77,0.67,0.67
Current Ratio,0.90,-,1.03,-,1.11,1.10,1.16,1.17,1.22,1.25,1.05,1.05
Interest Coverage,-,68.40,124.83,131.00,54.17,309.00,12.95,4.93,5.05,5.53,5.55,5.26
Return on Capital (ROIC),,-,-,3.31%,-,11.19%,11.19%,11.07%,11.56%,11.00%,10.34%,9.98%
Dividend Yield,-,-,-,-,-,-,-,0.00%,0.00%,0.10%,0.10%,0.14%
Payout Ratio,-,-,-,0.00%,0.00%,0.00%,0.00%,0.00%,3.30%,3.60%,3.40%,3.95%
Buyback Yield / Dilution,-,-,-,-,-,-,-,-0.66%,-0.88%,-0.88%,-0.88%,-0.88%
Total Shareholder Return,-,-,-,-,-,-,-,-0.66%,-0.88%,-0.78%,-0.78%,-0.74%
