,2020-12-31,2021-12-31,2022-04-03,2022-07-03,2022-10-02,2022-12-31,2023-04-02,2023-07-02,2023-10-01
Cash & Equivalents,618,740,-,-,-,"1,231","9,386","1,231","1,062"
Cash & Cash Equivalents,618,740,0,0,0,"1,231","9,386","1,231","1,062"
Cash Growth,-,-,-,-,-,66.35%,-,-,-
Receivables,"1,858","2,074",-,-,-,"2,122","2,109","2,096","2,109"
Inventory,"1,685","1,702",-,-,-,"2,226","2,222","2,026","1,885"
Other Current Assets,434,411,-,-,-,298,"-7,278",866,838
Total Current Assets,"4,595","4,927",-,-,-,"5,877","6,439","6,219","5,894"
"Property, Plant & Equipment","1,957","1,827",-,-,-,"1,820","1,836","1,832","1,872"
Goodwill and Intangibles,"21,936","20,511",-,-,-,"19,038","19,071","18,759","18,461"
Other Long-Term Assets,689,664,-,-,-,581,"8,249",732,850
Total Long-Term Assets,"24,582","23,002",-,-,-,"21,439","29,156","21,323","21,183"
Total Assets,"29,177","27,929",-,-,-,"27,316","35,595","27,542","27,077"
Accounts Payable,"1,579","1,827",-,-,-,"1,829","1,781","2,354","2,281"
Current Debt,0,0,-,-,-,0,0,752,513
Other Current Liabilities,"5,915","2,215",-,-,-,"2,097","2,429","2,193","2,367"
Total Current Liabilities,"7,494","4,042",-,-,-,"3,926","4,210","5,299","5,161"
Long-Term Debt,0,0,-,-,-,0,"7,676","7,684","7,685"
Other Long-Term Liabilities,"3,327","3,488",-,-,-,"3,420","3,427","3,519","3,338"
Total Long-Term Liabilities,"3,327","3,488",-,-,-,"3,420","11,103","11,203","11,023"
Total Liabilities,"10,821","7,530",-,-,-,"7,346","15,313","16,502","16,184"
Total Debt,0,0,-,-,-,0,"7,676","8,436","8,198"
Common Stock,"21,928","24,872",-,-,-,"25,425","25,521","16,117","16,150"
Retained Earnings,-,-,-,-,-,0,-,430,485
Comprehensive Income,"-3,572","-4,473",-,-,-,"-5,455","-5,239","-5,507","-5,742"
Shareholders' Equity,"18,356","20,399",-,-,-,"19,970","20,282","11,040","10,893"
Net Cash / Debt,618,740,0,0,0,"1,231","1,710","-7,205","-7,136"
Net Cash / Debt Growth,-,-,-,-,-,66.35%,-,-,-
Net Cash Per Share,-,-,-,-,-,-,1.00,-3.92,-3.72
Working Capital,"-2,899",885,-,-,-,"1,951","2,229",920,733
Book Value Per Share,-,11.89,-,-,-,11.64,11.82,6.01,5.68
