,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"18,206","20,552","77,930","83,523","65,235","104,186","132,227","116,892","52,788","57,494","47,561"
Market Cap Growth,27.84%,12.89%,279.18%,7.18%,-21.90%,59.71%,26.92%,-11.60%,-54.84%,8.91%,-
Enterprise Value,"31,979","34,006","138,142","153,133","137,297","179,715","213,978","207,852","149,746","154,562","144,629"
PE Ratio,-99.49,-75.84,22.13,8.44,53.04,62.46,41.04,25.12,10.44,12.62,9.77
PS Ratio,2.00,2.11,2.69,2.01,1.50,2.28,2.75,2.26,0.98,1.05,0.87
PB Ratio,124.70,-446.79,1.94,2.14,1.80,3.31,5.56,8.32,5.79,5.19,4.29
P/FCF Ratio,100.03,37.57,-3.06,20.41,30.03,22.61,20.02,13.46,8.65,16.47,13.63
P/OCF Ratio,7.72,8.71,9.69,6.99,5.54,8.87,9.08,7.20,3.54,3.98,3.30
EV/Sales Ratio,3.51,3.49,4.76,3.68,3.15,3.93,4.45,4.02,2.77,2.83,2.65
EV/EBITDA Ratio,10.43,10.97,13.81,10.57,8.99,11.35,12.30,10.88,7.44,7.71,7.22
EV/EBIT Ratio,33.17,34.88,44.62,39.29,27.74,30.44,27.80,21.30,13.34,13.63,12.76
EV/FCF Ratio,175.71,62.17,-5.42,37.41,63.21,39.00,32.39,23.94,24.54,44.29,41.44
Debt / Equity Ratio,143.06,-776.59,1.54,1.80,2.01,2.51,3.48,6.52,10.70,8.82,8.82
Debt / EBITDA Ratio,6.81,11.52,6.17,4.85,4.77,5.00,4.76,4.79,4.85,4.88,4.88
Debt / FCF Ratio,114.76,65.31,-2.42,17.16,33.53,17.16,12.53,10.54,16.00,28.02,28.02
Quick Ratio,4.53,11.43,0.31,0.20,0.21,0.47,0.36,0.26,0.30,0.28,0.28
Current Ratio,0.21,0.18,0.35,0.23,0.23,0.52,0.40,0.29,0.33,0.31,0.31
Asset Turnover,0.46,0.33,0.24,0.28,0.30,0.31,0.33,0.36,0.38,0.37,0.37
Interest Coverage,1.06,0.75,1.24,1.26,1.40,1.55,2.00,2.42,2.46,2.19,2.19
Return on Equity (ROE),-149.70%,-1806.70%,11.70%,26.60%,3.30%,4.90%,11.70%,26.10%,50.60%,43.30%,43.30%
Return on Assets (ROA),-0.90%,-0.90%,2.90%,6.70%,0.80%,1.10%,2.20%,3.30%,3.50%,3.10%,3.10%
Return on Capital (ROIC),-15.94%,3.10%,19.35%,46.00%,4.17%,4.66%,6.60%,8.11%,8.50%,8.55%,8.55%
Earnings Yield,-1.01%,-1.32%,4.52%,11.85%,1.89%,1.60%,2.44%,3.98%,9.58%,7.93%,9.58%
FCF Yield,1.00%,2.66%,-32.71%,4.90%,3.33%,4.42%,5.00%,7.43%,11.56%,6.07%,7.34%
Buyback Yield / Dilution,3.87%,-3.23%,-132.12%,-26.37%,20.62%,4.98%,6.49%,7.76%,14.82%,7.58%,7.58%
Total Shareholder Return,3.87%,-3.23%,-132.12%,-26.37%,20.62%,4.98%,6.49%,7.76%,14.82%,7.58%,7.58%
