,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,-,"88,291","106,292","94,748","53,131","38,613","42,767","43,190","49,867","45,357","42,696"
Market Cap Growth,-,-,20.39%,-10.86%,-43.92%,-27.32%,10.76%,0.99%,15.46%,-9.04%,-
Enterprise Value,"11,060","108,688","134,492","124,622","83,169","65,578","67,656","61,560","68,897","63,989","61,328"
PE Ratio,-,-331.92,31.12,8.66,-5.21,19.95,120.13,42.68,21.10,15.89,15.07
PS Ratio,-,4.82,4.04,3.63,2.02,1.55,1.63,1.66,1.88,1.70,1.60
PB Ratio,-,1.53,1.85,1.44,1.03,0.75,0.85,0.88,1.02,0.92,0.86
P/FCF Ratio,-,141.49,75.87,-136.72,30.40,13.87,9.87,9.69,32.11,15.31,14.41
P/OCF Ratio,-,69.41,40.14,189.12,20.64,10.87,8.68,8.05,20.20,11.41,10.74
EV/Sales Ratio,1.01,5.93,5.11,4.78,3.17,2.63,2.58,2.36,2.60,2.40,2.30
EV/EBITDA Ratio,5.52,35.51,18.17,16.13,-9.25,13.07,19.97,13.23,14.31,11.60,11.12
EV/EBIT Ratio,7.50,46.83,22.18,18.62,-8.34,16.30,27.97,16.45,17.75,14.05,13.47
EV/FCF Ratio,6.35,174.18,96.00,-179.83,47.58,23.56,15.61,13.81,44.36,21.60,20.70
Debt / Equity Ratio,1.88,0.44,0.56,0.48,0.60,0.57,0.56,0.44,0.41,0.40,0.40
Debt / EBITDA Ratio,6.67,8.24,4.38,4.08,-3.47,5.83,8.35,4.69,4.17,3.63,3.63
Debt / FCF Ratio,7.67,40.44,23.13,-45.46,17.83,10.50,6.53,4.89,12.92,6.76,6.76
Quick Ratio,1.02,0.91,0.54,0.29,0.43,0.54,0.68,0.60,0.35,0.44,0.44
Current Ratio,1.59,1.41,0.92,0.71,1.21,1.03,1.34,0.99,0.88,0.99,0.99
Asset Turnover,-,0.23,0.22,0.22,0.23,0.24,0.26,0.27,0.29,0.29,0.29
Interest Coverage,2.15,1.76,5.35,5.42,-7.77,2.96,1.74,1.83,4.21,4.99,4.99
Return on Equity (ROE),-,-0.80%,5.90%,18.20%,-16.40%,3.70%,0.70%,2.00%,4.80%,5.80%,5.80%
Return on Assets (ROA),-,-0.30%,2.80%,9.10%,-8.80%,1.90%,0.40%,1.10%,2.60%,3.20%,3.20%
Return on Capital (ROIC),6.39%,2.02%,4.55%,12.47%,-12.32%,2.76%,0.94%,2.90%,4.22%,5.15%,5.15%
Earnings Yield,-,-0.30%,3.21%,11.55%,-19.18%,5.01%,0.83%,2.34%,4.74%,6.29%,6.69%
FCF Yield,-,0.71%,1.32%,-0.73%,3.29%,7.21%,10.13%,10.32%,3.11%,6.53%,6.94%
Dividend Yield,-,2.30%,2.70%,3.20%,5.70%,5.10%,4.60%,4.50%,3.90%,4.30%,4.60%
Payout Ratio,0.00%,-500.00%,83.60%,27.30%,-29.90%,100.60%,551.70%,192.80%,82.90%,68.70%,69.26%
Buyback Yield / Dilution,-,-,-0.31%,-0.10%,-0.08%,-0.14%,-0.12%,-0.22%,0.03%,-0.13%,-0.13%
Total Shareholder Return,-,2.30%,2.39%,3.10%,5.62%,4.96%,4.48%,4.28%,3.93%,4.17%,4.46%
