,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"56,468","86,069","79,402","77,552","76,683","105,779","98,547","133,144","96,680","104,541","105,544"
Market Cap Growth,-2.82%,52.42%,-7.75%,-2.33%,-1.12%,37.94%,-6.84%,35.11%,-27.39%,8.13%,-
Enterprise Value,"56,672","86,805","80,724","78,794","77,185","114,189","119,173","150,131","117,302","125,187","126,624"
PE Ratio,27.30,31.21,28.18,26.88,16.97,29.39,106.16,31.71,29.46,25.35,24.93
PS Ratio,3.43,4.49,3.73,3.46,3.10,3.99,4.19,4.58,3.00,2.91,2.88
PB Ratio,10.71,14.79,13.50,14.23,65.57,-16.97,-12.63,-25.02,-11.10,-13.08,-12.67
P/FCF Ratio,-102.09,35.20,24.37,28.38,7.70,32.64,862.93,29.46,37.82,27.62,23.47
P/OCF Ratio,92.91,22.96,16.90,18.24,6.42,20.96,61.68,22.23,21.99,17.40,15.52
EV/Sales Ratio,3.45,4.53,3.79,3.52,3.12,4.31,5.07,5.17,3.64,3.48,3.45
EV/EBITDA Ratio,14.27,17.70,15.21,14.39,10.64,18.27,27.68,20.43,18.79,16.91,16.45
EV/EBIT Ratio,17.58,21.86,18.87,17.87,12.97,23.78,74.25,25.77,24.89,21.03,20.40
EV/FCF Ratio,-102.46,35.50,24.78,28.84,7.75,35.24,1043.55,33.22,45.89,33.07,28.16
Debt / Equity Ratio,0.39,0.40,0.61,0.72,8.07,-1.79,-3.24,-4.44,-2.73,-3.08,-2.84
Debt / EBITDA Ratio,0.52,0.48,0.68,0.72,1.30,1.79,5.87,3.21,3.81,3.32,3.18
Debt / FCF Ratio,-3.70,0.96,1.10,1.44,0.95,3.45,221.18,5.22,9.31,6.50,5.44
Quick Ratio,0.81,0.64,0.67,0.84,1.69,0.59,0.75,0.93,0.48,0.55,0.48
Current Ratio,1.37,1.09,1.05,1.25,2.20,0.92,1.06,1.20,0.77,0.78,0.70
Asset Turnover,1.59,1.54,1.59,1.57,1.28,1.36,0.83,0.98,1.13,1.25,1.26
Interest Coverage,50.30,56.33,52.63,47.67,34.94,14.51,3.67,12.40,9.76,10.82,11.07
Return on Equity (ROE),41.00%,47.00%,49.70%,50.80%,115.70%,-77.90%,-12.10%,-60.70%,-37.90%,-49.20%,-51.30%
Return on Assets (ROA),19.90%,22.10%,21.00%,20.20%,23.30%,18.50%,3.30%,14.10%,11.50%,14.30%,14.80%
Return on Capital (ROIC),25.15%,29.01%,27.32%,26.66%,26.39%,61.66%,5.64%,19.24%,22.52%,25.62%,27.87%
Earnings Yield,3.66%,3.20%,3.55%,3.72%,5.89%,3.40%,0.94%,3.15%,3.39%,3.95%,4.07%
FCF Yield,-0.98%,2.84%,4.10%,3.52%,12.99%,3.06%,0.12%,3.39%,2.64%,3.62%,4.26%
Dividend Yield,1.40%,1.10%,1.50%,1.90%,2.20%,1.60%,1.90%,1.60%,2.30%,2.30%,2.45%
Payout Ratio,38.00%,34.80%,41.90%,50.30%,38.50%,48.80%,207.60%,50.40%,68.80%,58.90%,60.96%
Buyback Yield / Dilution,-0.12%,0.85%,1.76%,1.70%,4.58%,11.57%,4.17%,-0.31%,2.28%,0.62%,1.07%
Total Shareholder Return,1.28%,1.95%,3.26%,3.60%,6.78%,13.17%,6.07%,1.29%,4.58%,2.92%,3.51%
