,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"43,676","29,026","35,079","40,219","48,128","41,126","39,184","56,313","43,295","55,190","60,686"
Market Cap Growth,-5.53%,-33.54%,20.85%,14.65%,19.67%,-14.55%,-4.72%,43.71%,-23.12%,27.47%,-
Enterprise Value,"46,551","32,813","38,532","41,813","51,795","45,353","43,355","60,624","51,865","55,296","69,469"
PE Ratio,20.34,10.71,21.46,26.50,21.85,17.83,19.94,24.45,13.40,4.18,5.52
PS Ratio,2.46,1.79,2.42,2.64,2.77,2.24,2.33,4.36,3.14,3.64,3.81
PB Ratio,4.32,3.59,4.64,4.61,5.38,5.00,4.66,5.70,4.18,2.67,2.94
P/FCF Ratio,14.36,14.95,14.41,28.01,21.16,17.05,15.40,17.76,16.51,201.42,239.87
P/OCF Ratio,11.83,11.48,12.18,21.03,16.64,13.68,12.71,15.75,14.82,86.64,95.72
EV/Sales Ratio,2.63,2.02,2.65,2.74,2.98,2.47,2.58,4.69,3.76,3.65,4.37
EV/EBITDA Ratio,12.04,6.94,12.48,14.04,14.54,11.83,13.06,17.00,10.77,3.71,5.44
EV/EBIT Ratio,14.12,7.90,15.29,17.85,18.47,15.06,17.58,21.62,13.05,3.99,6.01
EV/FCF Ratio,15.31,16.91,15.83,29.12,22.77,18.80,17.04,19.12,19.77,201.81,274.58
Debt / Equity Ratio,0.60,0.85,0.88,0.53,0.53,0.69,0.89,0.67,1.00,0.39,0.53
Debt / EBITDA Ratio,1.56,1.45,2.15,1.56,1.34,1.49,2.25,1.87,2.15,0.55,0.85
Debt / FCF Ratio,1.98,3.52,2.73,3.24,2.09,2.37,2.94,2.10,3.96,29.77,42.92
Quick Ratio,0.97,0.76,0.73,1.22,0.67,0.75,1.06,0.85,0.52,2.10,0.62
Current Ratio,1.29,1.29,1.24,1.64,1.07,1.20,1.52,1.35,1.09,2.75,1.12
Asset Turnover,0.73,0.71,0.67,0.83,0.87,0.88,0.77,0.54,0.43,0.38,0.38
Interest Coverage,16.82,23.73,13.40,14.20,17.64,17.30,15.81,18.09,20.48,407.41,385.60
Return on Equity (ROE),20.40%,30.70%,21.40%,18.70%,25.80%,27.30%,24.40%,24.80%,31.10%,83.60%,60.30%
Return on Assets (ROA),8.80%,11.80%,7.50%,8.20%,10.90%,11.10%,9.00%,9.50%,10.00%,33.20%,26.00%
Return on Capital (ROIC),14.53%,13.44%,12.36%,13.03%,17.17%,17.67%,13.33%,10.07%,8.96%,8.48%,6.79%
Earnings Yield,4.92%,9.34%,4.66%,3.77%,4.58%,5.61%,5.01%,4.09%,7.46%,23.95%,18.18%
FCF Yield,6.96%,6.69%,6.94%,3.57%,4.73%,5.86%,6.49%,5.63%,6.06%,0.50%,0.42%
Dividend Yield,2.70%,4.30%,3.50%,3.10%,2.50%,2.90%,3.10%,2.10%,2.80%,2.20%,1.98%
Payout Ratio,56.40%,46.90%,75.10%,81.70%,55.70%,52.40%,61.30%,52.50%,37.90%,9.00%,10.92%
Buyback Yield / Dilution,2.33%,5.84%,2.07%,0.55%,1.81%,1.95%,2.26%,0.79%,0.91%,3.19%,2.28%
Total Shareholder Return,5.03%,10.14%,5.57%,3.65%,4.31%,4.85%,5.36%,2.89%,3.71%,5.39%,4.26%
