,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"3,547","3,689","3,450","3,274","3,491","3,934","4,388","3,917","4,063","4,014","4,204","4,820","5,385","5,896","6,700","6,586","7,104","7,443","8,600","9,338","6,958","9,159","9,321","9,916","11,077","10,491","13,386","15,298","17,389","17,046","19,176","22,209","22,605","16,859","14,821","12,388","12,541","14,177","11,225","10,422","9,920"
Market Cap Growth,19.03%,2.74%,7.78%,-2.60%,-1.57%,6.64%,27.19%,19.64%,16.39%,2.04%,-4.18%,23.06%,32.52%,46.87%,59.36%,36.65%,31.92%,26.25%,28.35%,41.78%,-2.05%,23.05%,8.39%,6.19%,59.20%,14.54%,43.60%,54.27%,56.99%,62.49%,43.26%,45.17%,29.99%,-1.10%,-22.71%,-44.22%,-44.52%,-15.91%,-24.26%,-15.87%,-
Enterprise Value,"3,375","3,485","3,240","3,008","3,230","3,659","4,096","3,567","3,707","3,696","3,843","4,444","4,975","5,652","6,418","6,300","6,778","7,110","8,217","8,913","6,547","8,961","8,995","9,598","10,608","10,097","12,994","14,783","16,618","16,241","18,221","21,091","21,953","16,184","14,240","11,911","12,133","13,702","10,879","10,063","9,561"
PE Ratio,45.60,57.37,56.25,40.95,39.30,39.34,45.34,38.16,37.20,38.71,45.07,51.10,207.11,225.58,509.20,391.57,58.11,9.71,8.35,7.31,19.03,15.96,10.30,26.33,6.30,6.64,6.88,4.35,4.56,4.15,4.73,3.33,5.31,-186.28,-7.68,-2.06,-3.46,-76.44,-26.56,-67.88,-67.88
PS Ratio,1.66,1.72,1.60,1.50,1.61,1.84,2.08,1.91,2.01,1.99,2.07,2.33,2.60,2.81,3.21,3.12,3.29,3.37,3.77,4.07,3.04,4.00,4.07,4.30,4.79,4.50,5.84,6.43,6.83,6.31,6.66,7.45,7.74,5.82,5.16,4.42,4.47,5.10,4.05,3.83,3.65
PB Ratio,1.62,1.65,1.53,1.50,1.60,1.79,1.86,1.61,1.63,1.58,1.61,1.78,2.09,2.18,2.38,2.31,2.42,1.66,1.85,1.91,1.73,1.88,1.70,1.93,1.93,1.67,1.82,1.73,1.76,1.61,1.65,1.45,1.65,1.66,1.66,1.47,1.30,1.45,1.33,1.24,1.18
P/FCF Ratio,55.69,31.57,20.69,16.75,22.89,35.19,60.94,59.15,54.70,102.47,53.62,144.43,71.77,481.26,1896.96,-8542.35,-999.26,73.27,71.70,61.38,43.49,55.11,38.18,36.40,30.81,27.51,41.55,41.43,36.50,32.20,32.69,33.32,42.19,36.72,40.73,81.71,153.26,111.80,72.79,46.43,44.19
P/OCF Ratio,20.97,17.51,12.88,10.78,12.77,16.59,22.07,20.56,21.82,26.89,22.37,30.65,24.92,35.24,43.89,50.85,68.22,37.09,39.81,37.37,24.37,31.79,25.49,24.60,24.19,21.96,32.30,33.97,29.73,26.81,27.46,28.01,33.77,27.80,29.35,43.37,61.11,56.07,37.72,27.12,25.81
Debt / Equity Ratio,0.20,0.20,0.19,0.20,0.20,0.20,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.15,0.15,0.10,0.09,0.09,0.11,0.14,0.12,0.13,0.11,0.10,0.09,0.07,0.02,0.02,0.02,0.01,0.02,0.14,0.16,0.16,0.14,0.14,0.16,0.17,0.17
Quick Ratio,2.12,2.13,2.14,2.10,2.41,2.53,2.68,2.59,2.68,2.83,2.83,2.66,2.58,2.58,2.44,2.45,2.44,2.63,2.78,2.75,2.76,2.83,3.06,3.09,1.67,1.64,1.52,1.58,2.24,2.35,2.67,2.71,1.91,3.92,3.95,4.01,4.03,3.99,3.81,3.98,3.98
