,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"11,860","9,501","11,640","15,733","10,382","16,743","18,193","26,148","19,005","21,517","22,587"
Market Cap Growth,-27.89%,-19.89%,22.52%,35.16%,-34.01%,61.27%,8.66%,43.72%,-27.32%,13.21%,-
Enterprise Value,"14,209","11,894","14,912","18,547","13,150","19,417","20,789","28,887","22,303","24,578","25,648"
PE Ratio,15.30,10.92,22.87,19.38,18.21,24.70,26.62,23.27,17.84,20.36,21.47
PS Ratio,1.53,1.37,1.93,2.31,1.49,2.35,2.72,3.31,2.23,2.55,2.68
PB Ratio,3.21,2.61,3.06,3.59,3.75,5.52,5.37,6.24,4.43,4.21,4.42
P/FCF Ratio,14.39,13.66,15.76,23.23,16.39,21.95,19.22,27.48,32.17,18.74,19.68
P/OCF Ratio,12.15,11.38,13.49,18.83,13.00,17.71,16.47,23.43,23.59,16.10,16.90
EV/Sales Ratio,1.83,1.71,2.47,2.72,1.88,2.72,3.11,3.65,2.62,2.91,3.04
EV/EBITDA Ratio,9.29,7.76,13.85,13.55,11.76,15.64,16.86,16.07,13.03,14.30,14.92
EV/EBIT Ratio,11.62,9.86,18.02,17.08,15.74,20.04,21.80,19.17,15.89,17.54,18.30
EV/FCF Ratio,17.24,17.10,20.19,27.38,20.76,25.46,21.97,30.36,37.75,21.41,22.34
Debt / Equity Ratio,0.82,0.76,0.95,0.81,1.14,1.01,0.92,0.75,0.86,0.68,0.68
Debt / EBITDA Ratio,1.98,1.80,3.36,2.61,2.83,2.47,2.52,1.74,2.15,2.01,2.01
Debt / FCF Ratio,3.68,3.96,4.90,5.27,4.99,4.03,3.29,3.28,6.23,3.01,3.01
Quick Ratio,0.92,1.08,0.83,0.90,0.89,0.92,0.95,0.77,0.68,0.76,0.76
Current Ratio,1.39,1.77,1.33,1.30,1.37,1.46,1.51,1.36,1.23,1.41,1.41
Asset Turnover,0.88,0.81,0.65,0.66,0.78,0.82,0.74,0.81,0.79,0.77,0.77
Interest Coverage,9.29,9.16,6.09,7.49,6.38,7.70,8.52,14.18,12.06,10.67,10.67
Return on Equity (ROE),20.30%,24.20%,13.60%,19.50%,17.80%,22.90%,21.50%,29.40%,25.10%,22.20%,22.20%
Return on Assets (ROA),8.70%,10.20%,5.40%,7.80%,6.40%,7.80%,7.60%,11.50%,9.90%,9.60%,9.60%
Return on Capital (ROIC),12.83%,11.65%,7.03%,8.76%,11.50%,12.85%,11.73%,16.32%,14.33%,13.27%,13.27%
Earnings Yield,6.54%,9.16%,4.37%,5.16%,5.49%,4.05%,3.76%,4.30%,5.61%,4.91%,4.68%
FCF Yield,6.95%,7.32%,6.35%,4.31%,6.10%,4.56%,5.20%,3.64%,3.11%,5.34%,5.08%
Dividend Yield,2.20%,2.70%,2.30%,1.80%,2.70%,1.70%,1.60%,1.10%,1.50%,1.30%,1.26%
Payout Ratio,33.30%,29.70%,52.40%,34.90%,50.00%,41.50%,41.60%,25.50%,26.90%,26.90%,27.13%
Buyback Yield / Dilution,2.71%,5.73%,1.59%,-0.71%,3.56%,3.38%,1.09%,0.08%,1.16%,2.09%,2.09%
Total Shareholder Return,4.91%,8.43%,3.89%,1.09%,6.26%,5.08%,2.69%,1.18%,2.66%,3.39%,3.35%
