,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"52,879","59,074","55,843","61,674","82,364","61,953","77,602","110,043","139,089","106,433","118,117"
Market Cap Growth,50.89%,11.72%,-5.47%,10.44%,33.55%,-24.78%,25.26%,41.80%,26.40%,-23.48%,-
Enterprise Value,"55,636","61,384","54,542","60,414","80,340","60,444","77,728","109,398","139,084","107,506","120,465"
PE Ratio,18.04,17.93,16.69,19.47,16.63,14.39,17.34,22.31,23.57,20.56,22.27
PS Ratio,5.19,5.33,4.90,5.03,6.06,4.36,5.34,6.79,7.18,5.96,6.72
PB Ratio,2.00,2.16,1.96,2.12,2.59,1.91,2.31,3.12,3.69,2.82,3.06
P/FCF Ratio,14.90,19.55,20.07,28.63,21.70,21.58,29.51,31.01,30.22,24.06,31.20
P/OCF Ratio,14.52,19.14,18.59,27.13,20.85,20.15,26.91,29.40,28.13,21.48,28.53
EV/Sales Ratio,5.47,5.54,4.78,4.93,5.91,4.26,5.35,6.75,7.18,6.01,6.86
EV/EBITDA Ratio,12.34,12.30,10.71,12.27,14.18,10.45,12.25,15.97,16.11,14.79,15.83
EV/EBIT Ratio,13.36,13.18,11.37,12.96,14.80,10.86,13.09,17.16,17.23,16.08,17.12
EV/FCF Ratio,15.68,20.32,19.60,28.05,21.17,21.05,29.55,30.82,30.22,24.31,31.82
Debt / Equity Ratio,0.28,0.30,0.17,0.17,0.16,0.15,0.15,0.23,0.25,0.22,0.25
Debt / EBITDA Ratio,1.62,1.67,0.97,1.00,0.88,0.86,0.78,1.17,1.08,1.17,1.27
Debt / FCF Ratio,2.06,2.75,1.77,2.28,1.32,1.73,1.88,2.26,2.02,1.92,2.55
Asset Turnover,0.05,0.05,0.05,0.06,0.06,0.08,0.09,0.10,0.12,0.14,0.15
Interest Coverage,19.74,20.07,23.52,22.74,26.47,30.24,29.26,31.10,39.39,31.54,26.65
Return on Equity (ROE),11.30%,12.20%,12.00%,11.00%,16.40%,13.40%,13.90%,14.60%,16.20%,13.90%,14.10%
Return on Assets (ROA),1.40%,1.40%,1.40%,1.40%,2.20%,2.30%,2.70%,3.00%,3.50%,4.10%,4.50%
Return on Capital (ROIC),8.47%,9.34%,10.16%,9.54%,13.53%,11.69%,11.25%,10.51%,11.88%,11.05%,10.07%
Earnings Yield,5.54%,5.58%,5.99%,5.14%,6.01%,6.95%,5.77%,4.48%,4.24%,4.87%,4.56%
FCF Yield,6.71%,5.11%,4.98%,3.49%,4.61%,4.63%,3.39%,3.23%,3.31%,4.16%,3.21%
Dividend Yield,2.10%,2.20%,2.60%,2.40%,1.90%,3.10%,2.60%,2.00%,1.80%,2.80%,2.57%
Payout Ratio,39.00%,39.40%,43.40%,47.50%,32.70%,45.00%,46.00%,45.20%,42.60%,56.90%,57.21%
Buyback Yield / Dilution,2.35%,1.56%,1.21%,1.45%,1.30%,1.50%,2.77%,1.69%,0.26%,1.30%,0.99%
Total Shareholder Return,4.45%,3.76%,3.81%,3.85%,3.20%,4.60%,5.37%,3.69%,2.06%,4.10%,3.56%
