,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"9,596","10,026","11,650","13,343","14,067","17,837","17,469","18,845","18,382","16,943","16,863"
Market Cap Growth,34.21%,4.48%,16.20%,14.53%,5.43%,26.79%,-2.06%,7.87%,-2.46%,-7.83%,-
Enterprise Value,"18,050","19,198","21,391","23,629","25,670","30,927","29,811","30,843","32,509","32,338","32,258"
PE Ratio,20.12,19.17,21.14,29.01,21.41,26.23,23.14,13.98,22.23,19.32,19.03
PS Ratio,1.34,1.55,1.82,2.03,2.05,2.69,2.72,2.57,2.14,2.27,2.26
PB Ratio,2.62,2.55,2.74,3.00,2.96,3.56,3.18,2.84,2.62,2.25,2.24
P/FCF Ratio,-99.96,-128.54,-270.92,333.56,-37.92,-84.94,-17.88,-73.33,-12.10,-18.62,-18.62
P/OCF Ratio,6.48,6.11,7.15,7.83,8.26,9.96,13.69,10.36,21.50,7.34,7.30
EV/Sales Ratio,2.51,2.97,3.34,3.59,3.73,4.67,4.64,4.21,3.78,4.33,4.32
EV/EBITDA Ratio,8.72,8.72,9.10,9.50,10.41,11.94,10.74,8.94,10.88,9.79,9.76
EV/EBIT Ratio,13.02,13.22,13.89,14.71,16.75,19.31,17.21,13.20,17.47,15.22,15.19
EV/FCF Ratio,-188.02,-246.13,-497.46,590.71,-69.19,-147.27,-30.51,-120.01,-21.40,-35.54,-35.54
Debt / Equity Ratio,2.38,2.41,2.36,2.36,2.48,2.64,2.25,1.88,2.04,2.07,2.07
Debt / EBITDA Ratio,4.22,4.30,4.27,4.22,4.78,5.11,4.47,3.61,4.79,4.73,4.73
Debt / FCF Ratio,-91.03,-121.45,-233.35,262.18,-31.74,-63.08,-12.68,-48.54,-9.42,-17.19,-17.19
Quick Ratio,1.08,0.97,0.91,0.94,1.16,1.33,0.31,0.66,0.60,0.42,0.42
Current Ratio,1.33,1.01,0.86,0.89,0.94,0.86,0.78,1.19,1.15,0.98,0.98
Asset Turnover,0.39,0.33,0.31,0.30,0.29,0.26,0.22,0.25,0.29,0.23,0.23
Interest Coverage,3.41,3.67,3.54,3.67,3.35,3.48,3.43,4.67,3.59,3.30,3.30
Return on Equity (ROE),13.10%,13.50%,13.10%,10.30%,14.00%,13.80%,14.20%,22.20%,12.00%,12.10%,12.10%
Return on Assets (ROA),2.60%,2.70%,2.70%,2.10%,2.80%,2.60%,2.60%,4.50%,2.80%,2.70%,2.70%
Return on Capital (ROIC),5.51%,5.32%,5.36%,4.28%,5.42%,4.71%,5.46%,5.92%,4.79%,4.34%,4.34%
Earnings Yield,4.97%,5.22%,4.73%,3.45%,4.67%,3.81%,4.32%,7.15%,4.50%,5.18%,5.20%
FCF Yield,-1.00%,-0.78%,-0.37%,0.30%,-2.64%,-1.18%,-5.59%,-1.36%,-8.26%,-5.37%,-5.40%
Dividend Yield,3.10%,3.20%,3.00%,2.80%,2.90%,2.40%,2.70%,2.70%,3.60%,3.40%,3.60%
Payout Ratio,61.40%,61.10%,62.30%,81.20%,61.30%,63.70%,61.50%,37.30%,80.40%,64.80%,68.44%
Buyback Yield / Dilution,-3.39%,-0.63%,-0.73%,-0.78%,-0.44%,-0.18%,-0.88%,-1.17%,-0.19%,-0.52%,-0.52%
Total Shareholder Return,-0.29%,2.57%,2.27%,2.02%,2.46%,2.22%,1.82%,1.53%,3.41%,2.88%,3.08%
