,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"15,287","14,392","17,676","19,636","20,066","23,818","23,500","23,158","22,770","22,742","22,235"
Market Cap Growth,30.24%,-5.85%,22.82%,11.09%,2.19%,18.69%,-1.33%,-1.45%,-1.67%,-0.12%,-
Enterprise Value,"24,006","23,935","29,298","32,359","34,130","41,202","42,517","41,193","41,639","43,364","42,857"
PE Ratio,16.89,19.80,20.36,17.32,17.92,20.37,17.18,25.53,21.03,16.28,15.95
PS Ratio,1.24,1.39,1.66,1.56,1.41,1.96,2.06,1.55,1.18,1.78,1.74
PB Ratio,1.84,1.64,1.96,2.06,1.96,2.04,1.89,2.66,2.19,2.06,2.01
P/FCF Ratio,-96.14,-138.39,453.23,-147.64,-608.07,-68.44,-159.86,-32.99,-16.54,-31.99,-31.99
P/OCF Ratio,8.29,7.51,8.48,9.28,7.49,8.99,6.36,7.55,11.52,7.06,6.91
EV/Sales Ratio,1.95,2.32,2.76,2.57,2.40,3.39,3.72,2.75,2.17,3.40,3.36
EV/EBITDA Ratio,8.44,10.60,11.33,11.26,11.77,13.42,12.33,14.37,12.79,10.94,10.81
EV/EBIT Ratio,14.14,17.01,18.19,17.54,19.21,22.79,21.19,29.28,23.30,18.40,18.18
EV/FCF Ratio,-150.98,-230.15,751.23,-243.30,-1034.25,-118.40,-289.23,-58.68,-30.24,-60.99,-60.99
Debt / Equity Ratio,1.08,1.11,1.31,1.36,1.39,1.51,1.58,2.10,1.85,1.90,1.90
Debt / EBITDA Ratio,3.17,4.31,4.55,4.49,4.91,5.73,5.68,6.37,5.91,5.29,5.29
Debt / FCF Ratio,-56.70,-93.58,302.10,-97.11,-431.58,-50.60,-133.38,-26.00,-13.97,-29.49,-29.49
Quick Ratio,0.70,0.58,0.69,0.69,0.44,0.47,0.79,0.30,0.47,0.34,0.34
Current Ratio,1.17,1.02,1.13,1.10,0.74,0.77,1.30,0.52,0.81,0.60,0.60
Asset Turnover,0.46,0.36,0.36,0.38,0.41,0.32,0.26,0.34,0.46,0.29,0.29
Interest Coverage,3.96,3.13,3.41,3.44,3.18,3.18,3.34,2.23,2.65,2.98,2.98
Return on Equity (ROE),11.10%,8.40%,9.70%,12.20%,11.20%,10.80%,11.30%,8.60%,11.80%,13.00%,13.00%
Return on Assets (ROA),3.40%,2.60%,2.90%,3.40%,3.20%,3.00%,3.10%,2.10%,2.60%,3.20%,3.20%
Return on Capital (ROIC),6.54%,5.09%,5.45%,6.61%,5.99%,4.60%,4.73%,6.47%,5.74%,6.25%,6.25%
Earnings Yield,5.92%,5.05%,4.91%,5.78%,5.58%,4.91%,5.82%,3.92%,4.76%,6.14%,6.28%
FCF Yield,-1.04%,-0.72%,0.22%,-0.68%,-0.16%,-1.46%,-0.63%,-3.03%,-6.05%,-3.13%,-3.20%
Dividend Yield,3.10%,3.50%,3.10%,3.10%,3.30%,3.00%,3.40%,4.20%,3.10%,3.50%,3.79%
Payout Ratio,52.60%,70.10%,63.10%,53.10%,58.10%,60.90%,58.20%,106.10%,65.20%,57.30%,60.36%
Buyback Yield / Dilution,-1.14%,-1.13%,-,-,-1.12%,-2.21%,-4.32%,-0.52%,-1.03%,-5.10%,-5.10%
Total Shareholder Return,1.96%,2.37%,3.10%,3.10%,2.18%,0.79%,-0.92%,3.68%,2.07%,-1.60%,-1.32%
