,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"8,340","8,451","8,799","9,724","11,066","10,443","8,852","10,173","10,217","11,397","11,764","12,682","13,452","15,229","12,829","13,395","13,641","14,952","14,740","11,325","12,079","13,831","14,449","14,310","10,760","15,271","15,456","16,088","17,069","16,496","17,873","21,107","16,286","15,559","14,232","17,678","15,846","15,743","13,648","15,443","13,942"
Market Cap Growth,-6.33%,-8.46%,-4.82%,24.39%,32.68%,23.56%,0.60%,4.62%,-7.67%,9.14%,32.90%,24.67%,31.66%,33.62%,9.05%,5.62%,1.40%,-1.82%,14.90%,-15.45%,-11.45%,-7.50%,-1.97%,26.36%,-10.92%,10.41%,6.97%,12.43%,58.63%,8.03%,15.64%,31.20%,-4.59%,-5.68%,-20.37%,-16.25%,-2.71%,1.18%,-4.10%,-12.64%,-
Enterprise Value,"12,143","12,265","12,493","13,294","14,823","14,029","12,460","13,691","13,987","14,956","15,180","16,057","16,816","18,652","16,243","17,042","17,376","18,533","18,175","15,083","16,392","18,093","18,560","18,446","15,008","19,420","19,000","19,585","20,500","20,583","21,536","24,892","20,237","19,406","18,172","21,985","20,293","20,576","18,417","20,126","18,625"
PE Ratio,20.05,15.89,17.05,12.79,45.35,22.12,6.47,13.53,25.04,14.61,15.32,20.46,20.51,19.73,19.92,13.18,19.27,17.07,17.30,22.29,18.41,15.30,16.80,14.14,27.17,20.64,6.80,6.95,9.10,6.54,8.85,13.53,11.47,16.62,13.90,43.76,19.61,16.75,15.16,20.11,16.56
PS Ratio,1.17,1.18,1.20,1.31,1.47,1.38,1.18,1.36,1.36,1.52,1.57,1.69,1.78,2.01,1.68,1.74,1.77,1.95,1.93,1.50,1.60,1.83,1.89,1.85,1.41,2.03,1.85,1.70,1.65,1.49,1.62,1.96,1.53,1.47,1.38,1.79,1.65,1.66,1.47,1.67,1.51
PB Ratio,2.09,2.07,2.10,2.26,2.61,2.42,1.93,2.17,2.20,2.51,2.52,2.74,2.91,3.24,2.68,2.72,2.71,2.86,2.77,2.17,2.28,2.53,2.58,2.54,1.90,2.62,2.42,2.38,2.53,2.80,2.80,3.28,2.55,2.43,2.28,3.00,2.62,2.52,2.12,2.45,2.21
P/FCF Ratio,19.81,19.26,17.01,17.65,17.57,17.12,14.93,17.42,18.68,17.62,16.88,16.32,17.34,18.26,16.06,15.61,14.78,17.07,16.52,12.39,14.78,14.74,15.55,17.64,12.76,19.60,18.94,11.62,10.76,7.98,8.23,11.28,8.90,9.71,9.17,12.07,12.06,18.22,15.54,25.91,23.39
P/OCF Ratio,12.79,12.27,11.57,11.50,11.80,11.53,9.82,12.08,12.61,12.65,12.42,12.24,12.58,13.57,11.72,11.59,11.61,12.90,12.41,9.22,10.07,10.68,11.17,12.03,8.66,12.57,12.37,8.88,8.51,6.63,6.89,9.21,7.29,7.85,7.40,9.48,9.22,11.82,9.93,14.31,12.92
Debt / Equity Ratio,0.99,0.97,0.92,0.87,1.12,0.87,0.81,0.78,0.84,0.85,0.82,0.81,0.81,0.80,0.79,0.77,0.77,0.71,0.70,0.75,0.90,0.83,0.81,0.94,0.81,0.88,0.80,0.69,0.69,0.79,0.73,0.72,0.73,0.72,0.74,0.78,0.76,0.79,0.76,0.85,0.85
Quick Ratio,0.94,0.88,0.94,0.66,0.92,0.88,0.92,0.88,0.99,1.13,1.31,1.31,1.35,1.38,1.25,1.00,1.03,0.94,0.98,0.77,0.68,0.71,0.77,1.13,1.16,1.15,1.27,1.51,1.53,1.17,1.40,1.32,1.23,1.32,1.24,0.97,1.05,0.73,0.88,1.04,1.04
