,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,"39,510","53,394","45,687","48,351","59,531","55,256","57,411","94,680","99,803","96,995"
Depreciation & Amortization,"7,946","11,257","10,505","10,157","10,903","12,547","11,056","11,284","11,104","11,519"
Share-Based Compensation,"2,863","3,586","4,210","4,840","5,340","6,068","6,829","7,906","9,038","10,833"
Other Operating Activities,"9,394","13,029","5,829",877,"1,660","-4,480","5,378","-9,832","2,206","-8,804"
Operating Cash Flow,"59,713","81,266","66,231","64,225","77,434","69,391","80,674","104,038","122,151","110,543"
Operating Cash Flow Growth,11.27%,36.09%,-18.50%,-3.03%,20.57%,-10.39%,16.26%,28.96%,17.41%,-9.50%
Capital Expenditures,"-9,813","-11,488","-12,734","-12,451","-13,313","-10,495","-7,309","-11,085","-10,708","-10,959"
Acquisitions,"-3,765",-343,-297,-329,-721,-624,"-1,524",0,0,0
Change in Investments,"-9,027","-44,417","-32,022","-33,542","30,845","58,093","5,453","-3,075","-9,560","16,001"
Other Investing Activities,26,-26,-924,-124,-745,"-1,078",-909,-385,"-2,086","-1,337"
Investing Cash Flow,"-22,579","-56,274","-45,977","-46,446","16,066","45,896","-4,289","-14,545","-22,354","3,705"
Dividends Paid,"-11,126","-11,561","-12,150","-12,769","-13,712","-14,119","-14,081","-14,467","-14,841","-15,025"
Share Issuance / Repurchase,"-44,270","-34,710","-29,227","-32,345","-72,069","-66,116","-72,358","-85,971","-89,402","-77,550"
Debt Issued / Paid,"18,266","29,305","22,057","29,014",432,"-7,819","2,499","12,665",-123,"-9,901"
Other Financing Activities,-419,-750,"-1,570","-1,874","-2,527","-2,922","-2,880","-5,580","-6,383","-6,012"
Financing Cash Flow,"-37,549","-17,716","-20,890","-17,974","-87,876","-90,976","-86,820","-93,353","-110,749","-108,488"
Net Cash Flow,-415,"7,276",-636,-195,"5,624","24,311","-10,435","-3,860","-10,952","5,760"
Free Cash Flow,"49,900","69,778","53,497","51,774","64,121","58,896","73,365","92,953","111,443","99,584"
Free Cash Flow Growth,11.91%,39.84%,-23.33%,-3.22%,23.85%,-8.15%,24.57%,26.70%,19.89%,-10.64%
Free Cash Flow Margin,27.30%,29.86%,24.81%,22.59%,24.14%,22.64%,26.73%,25.41%,28.26%,25.98%
Free Cash Flow Per Share,2.05,3.03,2.44,2.48,3.23,3.19,4.23,5.57,6.87,6.33
