,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
grossProfit,8938000000,10744000000,11271000000,12355000000,7444000000,-2528000000,-2451000000,13453000000,26948000000,24269000000,19727000000,17881000000,-2315000000,10828000000,11842000000,12373000000,11123000000,15582000000,16513000000,17145000000
totalRevenue,32110000000,36059000000,35952000000,36184000000,34367000000,33008000000,35334000000,30942000000,30627000000,33648000000,31832000000,31047000000,30675000000,32341000000,34233000000,40809000000,47409000000,54642000000,61172000000,61704000000
costOfRevenue,17268000000,17890000000,17490000000,17936000000,17766000000,25135000000,27415000000,17486000000,14159000000,14569000000,15382000000,15536000000,16600000000,20654000000,19850000000,20715000000,21310000000,22382000000,23721000000,23141000000
costofGoodsAndServicesSold,8232000000,3432000000,3438000000,3604000000,,3644000000,3670000000,3706000000,,3634000000,3578000000,3582000000,9814000000,3494000000,3505000000,3528000000,,3299000000,3337000000,3583000000
operatingIncome,821000000,4475000000,4690000000,5740000000,415000000,-9256000000,-8719000000,6575000000,19936000000,17653000000,12953000000,10988000000,-9765000000,3723000000,4914000000,5242000000,3882000000,8614000000,8474000000,8907000000
sellingGeneralAndAdministrative,5966000000,4311000000,4300000000,4549000000,4562000000,4503000000,4151000000,4176000000,4492000000,4385000000,4204000000,4294000000,4610000000,4414000000,4386000000,4545000000,4620000000,4344000000,4459000000,4709000000
researchAndDevelopment,,,,,,,,,,,,,,,,,,,,
operatingExpenses,8117000000,6269000000,6581000000,6615000000,7029000000,6728000000,6268000000,6878000000,7012000000,6616000000,6774000000,6893000000,7450000000,7105000000,6928000000,7131000000,7241000000,6968000000,8039000000,8238000000
investmentIncomeNet,1951000000,2068000000,2215000000,2450000000,2558000000,2533000000,2461000000,2110000000,1923000000,1882000000,1847000000,1815000000,1979000000,2224000000,2534000000,2932000000,3657000000,4215000000,4537000000,4873000000
netInterestIncome,14354000000,14453000000,14398000000,14228000000,14166000000,14439000000,13853000000,13013000000,13258000000,12889000000,12741000000,13080000000,13601000000,13872000000,15128000000,17518000000,20192000000,20711000000,21779000000,22726000000
interestIncome,20601000000,21389000000,21603000000,21121000000,19927000000,19161000000,16112000000,14700000000,14550000000,14271000000,14094000000,14480000000,15019000000,15496000000,18646000000,25611000000,33054000000,37004000000,41644000000,44556000000
interestExpense,6247000000,6936000000,7205000000,6893000000,5761000000,4722000000,2259000000,1687000000,1292000000,1382000000,1353000000,1400000000,1418000000,1624000000,3518000000,8093000000,12862000000,16293000000,19865000000,21830000000
nonInterestIncome,11509000000,14670000000,14349000000,15063000000,14440000000,13847000000,19222000000,16242000000,16077000000,19377000000,17738000000,16567000000,15656000000,16845000000,15587000000,15198000000,14355000000,17638000000,19528000000,17148000000
otherNonOperatingIncome,,,,,,,,,,,,,,,,,,,,
depreciation,,,,,,,,,,,,,,,,,,,,
depreciationAndAmortization,2075000000,2038000000,2046000000,2145000000,2139000000,2197000000,2149000000,2141000000,2127000000,2070000000,2003000000,1928000000,1931000000,1820000000,1789000000,1771000000,1671000000,-16722000000,507000000,
incomeBeforeTax,8841000000,11233000000,11342000000,11405000000,10886000000,3210000000,5660000000,11769000000,15176000000,17697000000,15097000000,14111000000,12657000000,10063000000,10865000000,12001000000,13237000000,15967000000,17586000000,16733000000
incomeTaxExpense,1775000000,2054000000,1690000000,2325000000,2366000000,345000000,973000000,2326000000,3040000000,3397000000,3149000000,2424000000,2258000000,1781000000,2216000000,2264000000,2229000000,3345000000,3114000000,3582000000
interestAndDebtExpense,6684000000,7441000000,7205000000,6893000000,5761000000,4722000000,2259000000,1687000000,1292000000,1382000000,1353000000,1400000000,1418000000,1624000000,3518000000,8093000000,12862000000,16293000000,19865000000,21830000000
netIncomeFromContinuingOperations,7066000000,9179000000,9652000000,9080000000,8520000000,2865000000,4687000000,9443000000,12136000000,14300000000,11948000000,11687000000,10399000000,8282000000,8649000000,9737000000,11008000000,12622000000,14472000000,13151000000
