,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash & Equivalents,"23,089","19,042","38,600","38,781","51,933","40,091","43,227","64,266","69,588","46,658"
Cash & Cash Equivalents,"23,089","19,042","38,600","38,781","51,933","40,091","43,227","64,266","69,588","46,658"
Cash Growth,-23.64%,-17.53%,102.72%,0.47%,33.91%,-22.80%,7.82%,48.67%,8.28%,-32.95%
"Property, Plant & Equipment",458.8,444.3,446.9,466.6,464.6,428.2,483.3,514.9,488.7,500.5
Goodwill and Intangibles,540.7,533.2,526.4,519.4,605.6,669.3,696.8,707.2,706.2,691.3
Total Assets,"102,947","109,947","116,750","123,927","138,591","132,213","136,828","170,004","183,890","155,037"
Total Liabilities,"95,035","101,498","108,044","114,157","128,374","121,704","125,737","158,316","171,873","143,777"
Total Debt,"7,424","6,893","8,099","8,893","12,396","14,066","11,786","8,901","7,767","14,847"
Debt Growth,24.73%,-7.16%,17.51%,9.80%,39.39%,13.47%,-16.20%,-24.48%,-12.74%,91.15%
Common Stock,"1,022","1,143",835.8,"1,232",945.4,185.2,-371,-947.4,"-1,064.9",-969.8
Retained Earnings,"7,135","7,625","8,243","8,908","9,685","10,777","11,657","12,208","13,117","13,799"
Comprehensive Income,-244.3,-319.7,-372.7,-370,-414.3,-453.7,-194.7,428,-35.6,"-1,569.2"
Shareholders' Equity,"7,912","8,449","8,706","9,770","10,216","10,508","11,091","11,688","12,017","11,260"
Net Cash / Debt,"15,666","12,149","30,501","29,888","39,538","26,026","31,441","55,365","61,821","31,811"
Net Cash / Debt Growth,-35.49%,-22.45%,151.06%,-2.01%,32.29%,-34.18%,20.81%,76.09%,11.66%,-48.54%
Net Cash Per Share,65.47,51.52,131.31,131.33,173.22,116.63,146.56,265.77,297.11,152.71
Book Value Per Share,33.07,35.83,37.48,42.93,44.76,47.09,51.70,56.11,57.75,54.05
