,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"14,791","15,873","16,669","20,164","22,717","18,506","22,510","19,384","24,838","18,443","16,400"
Market Cap Growth,22.97%,7.32%,5.01%,20.97%,12.66%,-18.54%,21.63%,-13.89%,28.14%,-25.75%,-
Enterprise Value,-875,"3,724","-13,833","-9,725","-16,821","-7,519","-8,931","-35,980","-36,983","-13,368","-3,289"
PE Ratio,20.23,19.78,17.54,19.98,19.77,12.26,15.57,16.81,16.52,14.25,15.17
PS Ratio,3.64,3.67,3.51,4.04,4.20,3.10,3.70,3.24,3.79,2.73,2.44
PB Ratio,1.87,1.88,1.92,2.06,2.22,1.76,2.03,1.66,2.07,1.64,1.38
P/FCF Ratio,32.55,30.15,11.90,19.45,18.21,14.67,11.30,14.50,29.54,11.05,5.00
P/OCF Ratio,17.62,16.96,9.09,13.35,13.20,10.47,8.68,10.22,18.32,7.71,4.13
EV/Sales Ratio,-0.21,0.86,-2.91,-1.95,-3.11,-1.26,-1.47,-6.02,-5.65,-1.98,-0.79
EV/EBITDA Ratio,-0.63,2.44,-7.61,-5.14,-8.18,-3.11,-3.72,-16.91,-14.64,-5.76,-2.50
EV/EBIT Ratio,-0.81,3.13,-9.44,-6.41,-10.29,-3.84,-4.59,-22.11,-18.40,-7.57,-3.52
EV/FCF Ratio,-1.93,7.07,-9.87,-9.38,-13.48,-5.96,-4.48,-26.92,-43.98,-8.01,-1.62
Debt / Equity Ratio,0.94,0.82,0.93,0.91,1.21,1.34,1.06,0.76,0.65,1.32,1.66
Debt / EBITDA Ratio,5.33,4.52,4.46,4.70,6.03,5.82,4.90,4.18,3.08,6.40,9.28
Debt / FCF Ratio,16.34,13.09,5.78,8.58,9.94,11.15,5.92,6.66,9.24,8.90,6.01
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04
Return on Equity (ROE),9.40%,9.70%,10.90%,10.90%,11.40%,14.60%,13.30%,10.10%,12.70%,11.60%,9.60%
Return on Assets (ROA),0.80%,0.70%,0.80%,0.80%,0.90%,1.10%,1.10%,0.70%,0.90%,0.80%,0.70%
Return on Capital (ROIC),4.77%,5.29%,5.79%,5.53%,5.30%,6.33%,6.52%,5.87%,7.81%,5.12%,3.64%
Earnings Yield,4.94%,5.05%,5.70%,5.00%,5.06%,8.16%,6.42%,5.95%,6.05%,7.02%,6.76%
FCF Yield,3.07%,3.32%,8.40%,5.14%,5.49%,6.82%,8.85%,6.89%,3.39%,9.05%,20.01%
Dividend Yield,2.00%,1.90%,2.00%,1.70%,1.60%,2.30%,2.40%,3.00%,2.30%,3.30%,3.75%
Payout Ratio,40.90%,38.90%,35.00%,34.00%,32.30%,29.00%,39.00%,51.10%,39.10%,47.10%,56.93%
Buyback Yield / Dilution,0.48%,1.44%,1.51%,2.02%,-0.30%,2.24%,3.86%,2.89%,0.12%,-0.11%,0.78%
Total Shareholder Return,2.48%,3.34%,3.51%,3.72%,1.30%,4.54%,6.26%,5.89%,2.42%,3.19%,4.53%
