ticker,Q1,Q2,Q3,Q4,fiscal_end
MMM,03-31,06-30,09-30,12-31,12-31
AOS,03-31,06-30,09-30,12-31,12-31
ABT,03-31,06-30,09-30,12-31,12-31
ABBV,03-31,06-30,09-30,12-31,12-31
ACN,11-30,02-28,05-31,08-31,08-31
ADBE,02-28,05-31,08-31,11-30,12-01
AMD,03-31,06-30,09-30,12-31,12-30
AES,03-31,06-30,09-30,12-31,12-31
AFL,03-31,06-30,09-30,12-31,12-31
A,01-31,04-30,07-31,10-31,10-31
APD,12-31,03-31,06-30,09-30,09-30
ABNB,03-31,06-30,09-30,12-31,12-31
AKAM,03-31,06-30,09-30,12-31,12-31
ALB,03-31,06-30,09-30,12-31,12-31
ARE,03-31,06-30,09-30,12-31,12-31
ALGN,03-31,06-30,09-30,12-31,12-31
ALLE,03-31,06-30,09-30,12-31,12-31
LNT,03-31,06-30,09-30,12-31,12-31
ALL,03-31,06-30,09-30,12-31,12-31
AMZN,03-31,06-30,09-30,12-31,12-31
CHPT,04-30,07-31,10-31,01-31,01-31
MSFT,09-30,12-31,03-31,06-30,06-30
AAPL,12-31,03-31,06-30,09-24,09-24
AVAV,07-29,10-29,01-28,04-30,04-30
KTOS,03-31,06-30,09-30,12-31,12-25
META,03-31,06-30,09-30,12-31,12-31
SMR,03-31,06-30,09-30,12-31,12-31
ORCL,08-31,11-30,02-28,05-31,05-31
MVST,03-31,06-30,09-30,12-31,12-31
RKLB,03-31,06-30,09-30,12-31,12-31
PLTR,03-31,06-30,09-30,12-31,12-31
CAT,03-31,06-30,09-30,12-31,12-31
LMT,03-31,06-30,09-30,12-31,12-31
RTX,03-31,06-30,09-30,12-31,12-31
SMCI,09-30,12-31,03-31,06-30,06-30
MARA,03-31,06-30,09-30,12-31,12-31
BLK,03-31,06-30,09-30,12-31,12-31
COIN,03-31,06-30,09-30,12-31,12-31
NET,03-31,06-30,09-30,12-31,12-31
PFE,03-31,06-30,09-30,12-31,12-31
AAL,03-31,06-30,09-30,12-31,12-31
ACGL,03-31,06-30,09-30,12-31,12-31
ADI,01-31,04-30,07-31,10-31,10-28
ADM,03-31,06-30,09-30,12-31,12-31
ADP,09-30,12-31,03-31,06-30,06-30
ADSK,04-30,07-31,10-31,01-31,01-31
AEE,03-31,06-30,09-30,12-31,12-31
