,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"46,644","34,893","42,450","54,930","40,784","53,025","45,524","28,757","36,733","37,621","41,638"
Market Cap Growth,-27.84%,-25.19%,21.66%,29.40%,-25.75%,30.01%,-14.15%,-36.83%,27.74%,2.42%,-
Enterprise Value,"53,124","42,050","49,907","62,140","48,108","61,275","57,430","41,682","46,275","46,421","50,438"
PE Ratio,16.42,17.75,25.28,19.56,16.90,19.65,-27.02,-29.92,20.05,30.81,34.53
PS Ratio,3.20,2.99,3.77,4.32,2.97,4.37,15.48,6.79,8.94,3.63,4.01
PB Ratio,6.47,5.12,6.87,8.47,7.18,10.22,15.31,14.41,9.47,9.14,10.11
P/FCF Ratio,12.76,18.06,16.01,14.76,10.82,26.19,-17.94,-35.68,-25.56,17.00,18.81
P/OCF Ratio,9.65,10.09,10.50,12.09,8.68,17.45,-34.70,1917.10,-46.21,11.66,12.90
EV/Sales Ratio,3.64,3.60,4.43,4.88,3.50,5.05,19.53,9.84,11.26,4.48,4.86
EV/EBITDA Ratio,12.10,12.13,15.11,15.17,11.07,13.32,-407.31,59.89,12.43,12.93,14.05
EV/EBIT Ratio,15.81,17.04,22.77,21.24,14.88,17.12,-50.47,-120.82,17.22,19.48,21.17
EV/FCF Ratio,14.53,21.76,18.83,16.70,12.76,30.26,-22.63,-51.71,-32.20,20.98,22.79
Debt / Equity Ratio,1.39,1.37,1.55,1.49,2.11,2.41,4.71,7.41,4.12,3.41,3.41
Debt / EBITDA Ratio,2.28,2.70,2.90,2.35,2.76,2.72,-99.32,21.26,4.29,3.91,3.91
Debt / FCF Ratio,2.73,4.84,3.62,2.59,3.18,6.17,-5.52,-18.36,-11.12,6.34,6.34
Quick Ratio,1.86,1.40,1.04,1.03,1.71,1.58,0.83,0.81,1.72,1.29,1.29
Current Ratio,1.92,1.47,1.10,1.08,1.76,1.65,2.03,2.15,1.73,1.31,1.31
Asset Turnover,0.66,0.56,0.55,0.63,0.61,0.54,0.14,0.21,0.19,0.47,0.47
Interest Coverage,12.26,9.31,8.00,8.95,7.25,7.97,-2.18,-0.56,3.83,2.91,2.91
Return on Equity (ROE),39.20%,28.20%,26.30%,46.20%,35.70%,49.90%,-46.90%,-41.50%,44.40%,28.60%,28.60%
Return on Assets (ROA),12.80%,9.40%,8.10%,13.90%,10.70%,11.90%,-8.00%,-4.80%,8.30%,5.50%,5.50%
Return on Capital (ROIC),21.93%,15.70%,13.89%,23.21%,18.37%,16.41%,-8.21%,-4.10%,-3.68%,9.94%,9.94%
Earnings Yield,6.09%,5.63%,3.96%,5.11%,5.92%,5.09%,-3.70%,-3.34%,4.99%,3.25%,2.93%
FCF Yield,7.84%,5.54%,6.25%,6.77%,9.25%,3.82%,-5.58%,-2.80%,-3.91%,5.88%,5.31%
Dividend Yield,3.40%,5.90%,5.40%,4.20%,5.80%,4.50%,1.30%,0.00%,0.00%,0.80%,1.45%
Payout Ratio,56.80%,105.30%,136.50%,82.30%,97.70%,88.00%,-35.70%,0.00%,0.00%,25.00%,50.00%
Buyback Yield / Dilution,2.22%,1.24%,0.38%,0.38%,0.76%,1.91%,0.91%,-,-,-0.13%,-0.13%
Total Shareholder Return,5.62%,7.14%,5.78%,4.58%,6.56%,6.41%,2.21%,-,-,0.67%,1.32%
