,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"16,516","18,766","20,311","22,111","22,212","20,454","18,142","17,238","18,097","16,896","17,129","32,285","36,124","38,007","41,063","49,485","48,604","44,735","45,813","37,033","42,489","46,715","40,962","49,508","24,254","27,798","30,025","42,786","48,049","44,456","48,226","53,816","57,349","44,516","45,483","47,130","51,160","55,723","58,622","66,230","70,965"
Market Cap Growth,25.21%,51.36%,59.28%,49.57%,34.49%,8.99%,-10.68%,-22.04%,-18.53%,-17.39%,-5.58%,87.29%,99.61%,124.94%,139.73%,53.27%,34.55%,17.70%,11.57%,-25.16%,-12.58%,4.43%,-10.59%,33.69%,-42.92%,-40.49%,-26.70%,-13.58%,98.10%,59.92%,60.62%,25.78%,19.36%,0.13%,-5.69%,-12.42%,-10.79%,25.18%,28.89%,40.53%,-
Enterprise Value,"19,634","21,978","23,689","25,778","26,120","24,231","22,351","21,249","22,157","20,577","24,873","39,933","43,856","45,822","49,224","57,340","56,749","53,360","54,767","46,064","53,376","57,738","52,333","61,105","35,573","38,143","40,260","53,108","58,404","54,725","57,994","63,659","66,842","53,806","54,863","57,721","62,287","67,456","70,639","78,652","83,387"
PE Ratio,24.95,27.80,28.73,29.36,28.19,24.47,21.24,20.07,20.78,19.24,23.21,39.96,37.63,31.62,25.40,33.92,32.23,26.53,26.89,19.42,22.82,32.74,31.25,38.89,26.11,60.04,170.60,-160.25,-155.50,128.12,103.27,48.97,38.57,25.54,21.13,19.99,18.68,20.00,20.16,21.48,23.74
PS Ratio,1.28,1.43,1.51,1.60,1.59,1.44,1.26,1.19,1.23,1.13,1.12,2.10,2.18,2.13,2.16,2.42,2.37,2.16,2.21,1.78,2.05,2.26,1.96,2.36,1.18,1.66,2.18,4.05,5.86,4.50,4.16,3.88,3.64,2.48,2.36,2.27,2.31,2.43,2.49,2.79,2.99
PB Ratio,-10.16,-10.91,-11.03,-10.05,-8.76,-6.74,-5.05,-4.80,-4.93,-4.88,2.93,6.03,6.99,7.76,9.10,13.82,13.63,15.75,19.71,16.64,26.51,37.67,48.88,70.42,-1212.72,-351.88,131.11,99.50,205.34,55.85,52.53,38.06,32.36,25.12,42.79,82.98,365.43,-248.76,-88.69,-97.11,-97.11
P/FCF Ratio,18.01,20.97,21.42,27.20,25.27,22.90,18.29,14.25,13.16,12.06,12.05,22.74,24.38,22.12,21.14,24.90,22.25,27.18,26.13,20.56,33.32,28.21,29.38,47.97,17.30,14.93,18.73,28.45,45.94,331.76,79.19,54.14,42.61,23.84,21.73,23.21,20.68,22.78,24.41,24.37,26.11
P/OCF Ratio,13.72,15.65,15.81,18.06,17.03,15.65,13.40,11.38,10.99,10.40,10.44,19.94,21.41,19.56,18.98,22.22,19.92,20.62,19.92,15.71,23.18,23.76,23.77,29.38,11.84,11.34,14.18,26.10,41.71,170.99,63.37,45.72,37.05,21.21,19.32,19.94,17.94,19.53,20.50,20.89,22.39
Debt / Equity Ratio,-2.03,-1.98,-1.92,-1.71,-1.59,-1.29,-1.20,-1.14,-1.13,-1.26,1.51,1.59,1.64,1.70,1.92,2.30,2.48,3.16,4.01,4.20,6.95,9.12,13.90,16.82,-653.95,-159.85,51.58,26.04,46.94,13.73,11.48,7.95,5.95,5.55,9.81,19.54,83.44,-54.89,-19.26,-18.71,-18.71
Quick Ratio,0.47,0.46,0.43,0.40,0.43,0.38,0.35,0.37,0.38,0.56,0.53,0.50,0.48,0.43,0.43,0.41,0.43,0.43,0.42,0.38,0.42,0.46,0.47,0.39,0.59,0.64,0.56,0.46,0.42,0.42,0.47,0.53,0.49,0.41,0.48,0.42,0.43,0.42,0.45,0.39,0.39
Current Ratio,0.60,0.57,0.57,0.53,0.60,0.54,0.49,0.43,0.44,0.60,0.72,0.66,0.60,0.53,0.53,0.47,0.49,0.48,0.46,0.42,0.47,0.51,0.51,0.47,0.62,0.67,0.59,0.49,0.45,0.46,0.50,0.57,0.53,0.45,0.52,0.45,0.47,0.46,0.48,0.43,0.43
Interest Coverage,8.70,10.50,11.00,11.85,9.53,9.45,8.19,7.17,7.94,7.04,3.38,6.84,8.06,10.81,11.11,15.36,8.09,11.28,7.91,4.67,5.45,4.08,6.27,4.43,1.20,-1.35,2.12,-1.80,0.75,4.50,3.60,6.65,6.12,10.24,9.69,8.75,7.70,7.89,7.77,4.80,6.98
Return on Capital (ROIC),Upgrade,43.29%,44.47%,45.70%,51.09%,56.16%,98.86%,126.85%,178.76%,192.46%,108.77%,5.71%,6.68%,7.99%,9.98%,13.25%,12.56%,12.02%,13.60%,13.68%,16.72%,15.37%,13.05%,12.64%,11.38%,8.95%,5.68%,3.86%,0.88%,0.00%,5.91%,8.08%,12.62%,15.88%,18.51%,21.00%,22.48%,25.66%,25.89%,27.05%,29.49%
Dividend Yield,1.20%,1.10%,1.10%,1.00%,1.00%,1.10%,1.30%,1.40%,1.40%,1.60%,1.60%,1.40%,1.30%,1.20%,1.10%,1.00%,1.00%,1.10%,1.10%,1.40%,1.30%,1.20%,1.40%,1.20%,2.60%,1.70%,1.00%,0.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.40%,0.70%,0.80%,0.90%,0.90%,0.90%,0.86%
Payout Ratio,29.30%,30.30%,30.30%,28.60%,26.70%,28.40%,31.20%,31.60%,29.10%,30.90%,115.40%,42.90%,31.20%,25.60%,25.40%,97.10%,28.20%,21.70%,28.30%,43.60%,37.30%,68.60%,41.00%,55.80%,480.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.60%,15.50%,18.90%,16.40%,21.80%,20.60%,18.10%,20.43%
