,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-03-26,2016-06-25,2016-09-24,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26,2022-06-25,2022-09-24,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30,Current
Market Capitalization,"2,817","3,132","2,756","2,055","2,114","1,922","1,332","2,307","2,213","3,872","5,211","10,511","13,688","11,794","12,071","9,918","9,740","14,530","30,114","17,809","25,655","32,848","31,177","51,427","54,483","58,677","91,641","110,421","93,765","104,030","128,332","176,480","143,521","141,114","109,709","104,432","157,932","183,436","166,123","238,141","280,937"
Market Cap Growth,54.72%,7.44%,-0.84%,-24.89%,-24.96%,-38.64%,-51.65%,12.30%,4.68%,101.50%,291.09%,355.53%,518.48%,204.56%,131.66%,-5.64%,-28.85%,23.20%,149.46%,79.56%,163.41%,126.06%,3.53%,188.76%,112.37%,78.63%,193.94%,114.71%,72.10%,77.29%,40.04%,59.82%,53.06%,35.65%,-14.51%,-40.82%,10.04%,29.99%,51.42%,128.03%,-
Enterprise Value,"4,053","4,394","4,026","3,227","3,476","3,362","2,837","3,759","3,733","5,153","5,585","10,682","14,153","12,367","12,618","10,128","10,083","14,940","30,361","17,903","25,768","32,962","31,041","50,609","53,797","57,796","90,448","108,662","91,200","100,790","125,306","173,533","139,146","138,321","107,008","101,440","154,841","180,011","163,200","235,371","278,167"
PE Ratio,65.52,38.67,55.12,-5.10,-3.75,-2.71,-1.44,-3.50,-3.76,-11.42,-9.51,-21.11,-32.44,-22.13,-182.90,-300.55,120.24,60.80,107.55,52.85,94.32,171.98,149.17,150.81,111.87,96.35,104.26,44.35,32.52,30.28,32.33,55.81,42.30,45.08,48.27,79.11,399.83,-7337.45,798.67,278.85,328.06
PS Ratio,0.50,0.53,0.47,0.37,0.41,0.41,0.31,0.58,0.58,1.00,1.26,2.43,2.93,2.46,2.38,1.89,1.70,2.30,4.71,2.75,4.21,5.59,5.18,7.64,7.52,7.67,10.60,11.31,8.21,7.80,8.64,10.74,7.60,6.54,4.81,4.43,6.85,8.39,7.51,10.50,12.39
PB Ratio,5.51,6.25,5.15,10.99,124.37,-13.63,-3.96,-5.60,-4.40,-9.38,13.54,25.27,33.47,28.28,23.21,16.64,13.62,16.53,26.77,14.07,14.35,17.28,14.33,18.19,17.94,17.75,23.70,18.92,14.48,14.73,17.98,23.54,2.59,2.56,2.01,1.91,2.89,3.33,3.02,4.26,5.03
P/FCF Ratio,-12.52,-61.41,-250.53,-10.65,-13.05,-10.39,-5.39,-7.35,-11.77,-17.60,-41.03,2627.67,-54.75,-49.55,-54.13,-98.20,143.23,227.04,418.25,-138.06,-102.21,-181.48,-692.82,186.33,126.41,96.03,131.48,142.11,54.23,42.20,43.30,54.81,43.33,42.38,32.19,33.53,62.70,98.25,125.66,212.44,250.61
P/OCF Ratio,-14.30,-16.48,-14.28,-20.97,-32.03,-20.23,-7.88,-10.21,-23.05,-31.23,-133.61,129.76,-77.77,-68.17,-90.76,826.51,47.74,62.90,126.53,523.81,-356.32,2526.79,182.32,104.32,85.00,68.71,95.56,103.10,46.10,37.93,39.45,50.12,39.67,38.10,28.72,29.29,51.68,76.53,89.65,142.86,168.53
Debt / Equity Ratio,4.18,4.41,4.13,11.83,133.41,-16.09,-6.73,-5.43,-4.45,-5.42,4.24,3.45,3.44,3.40,2.74,2.34,1.94,1.58,1.16,0.99,0.73,0.65,0.49,0.24,0.23,0.27,0.15,0.09,0.09,0.08,0.08,0.09,0.04,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Quick Ratio,1.26,1.21,1.22,1.29,1.30,1.08,0.97,0.94,0.92,1.03,1.29,1.17,1.05,1.01,1.04,1.08,1.05,1.12,1.21,1.21,1.38,1.36,1.40,1.43,1.55,1.47,1.62,1.81,1.85,2.01,1.64,1.49,1.83,1.82,1.48,1.57,1.52,1.40,1.42,1.67,1.67
Current Ratio,1.94,1.95,1.93,1.90,1.93,1.75,1.70,1.65,1.68,1.59,1.92,1.88,1.82,1.73,1.70,1.74,1.62,1.66,1.77,1.78,2.08,2.08,2.10,1.95,2.21,2.10,2.28,2.54,2.51,2.70,2.24,2.02,2.40,2.44,2.15,2.36,2.38,2.18,2.19,2.51,2.51
Interest Coverage,0.62,0.30,1.44,-7.95,-3.42,-3.50,-4.05,-1.24,-1.70,3.39,-8.80,-0.38,0.13,-0.22,3.68,0,3.87,4.94,4.80,1.10,1.11,2.48,6.29,12.39,13.92,12.50,37.55,62.00,72.56,83.30,144.57,151.38,70.15,21.04,-1.23,-6.00,-4.04,1.14,11.00,14.70,5.79
Return on Capital (ROIC),Upgrade,9.17%,12.35%,11.01%,-6.74%,-15.21%,-25.73%,-39.60%,-26.36%,-23.77%,-15.38%,-20.61%,-20.02%,-16.05%,-15.65%,4.80%,4.79%,9.21%,14.97%,15.93%,29.55%,27.04%,23.78%,24.28%,20.58%,18.49%,19.14%,23.93%,41.21%,43.03%,46.89%,51.92%,38.43%,5.91%,5.39%,3.86%,1.89%,0.19%,-0.85%,-0.30%,1.01%
Buyback Yield / Dilution,-1.60%,-1.60%,-2.75%,-2.64%,-2.10%,-1.83%,-1.95%,-1.93%,-2.06%,-5.53%,-3.82%,-18.31%,-18.41%,-15.10%,-27.85%,-3.20%,-10.65%,-21.38%,-3.26%,-11.89%,-5.29%,3.31%,-3.81%,-7.12%,-11.88%,-10.64%,-8.77%,-3.88%,-0.57%,-0.41%,-1.23%,-1.58%,-14.54%,-32.47%,-32.11%,-32.38%,-14.26%,0.31%,-0.25%,-0.37%,-3.44%
Total Shareholder Return,-1.60%,-1.60%,-2.75%,-2.64%,-2.10%,-1.83%,-1.95%,-1.93%,-2.06%,-5.53%,-3.82%,-18.31%,-18.41%,-15.10%,-27.85%,-3.20%,-10.65%,-21.38%,-3.26%,-11.89%,-5.29%,3.31%,-3.81%,-7.12%,-11.88%,-10.64%,-8.77%,-3.88%,-0.57%,-0.41%,-1.23%,-1.58%,-14.54%,-32.47%,-32.11%,-32.38%,-14.26%,0.31%,-0.25%,-0.37%,-3.44%
