,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"26,679","29,698","22,922","28,432","27,951","19,815","26,588","27,747","33,868","26,730","27,629"
Market Cap Growth,27.02%,11.32%,-22.82%,24.04%,-1.69%,-29.11%,34.18%,4.36%,22.06%,-21.08%,-
Enterprise Value,"40,557","44,965","37,901","41,866","40,890","31,898","45,325","35,399","42,763","37,941","37,863"
PE Ratio,11.05,13.08,10.21,12.16,13.76,7.37,9.14,25.13,6.33,6.21,8.20
PS Ratio,3.74,4.22,3.17,3.93,3.82,2.58,3.23,4.66,2.85,2.44,2.65
PB Ratio,2.47,2.67,2.03,2.51,2.57,1.78,2.24,2.55,2.53,1.86,1.94
P/FCF Ratio,8.12,8.07,6.22,6.70,5.60,4.01,4.50,4.68,5.81,3.87,3.65
P/OCF Ratio,7.59,7.76,5.95,6.43,5.37,3.82,4.29,4.48,5.63,3.74,3.51
EV/Sales Ratio,5.68,6.39,5.24,5.78,5.59,4.16,5.51,5.95,3.60,3.46,3.64
EV/EBITDA Ratio,9.61,11.21,9.59,10.59,10.59,8.02,10.74,18.80,5.70,6.10,7.45
EV/EBIT Ratio,10.43,12.35,10.64,11.62,11.79,9.00,11.97,25.32,6.14,6.71,8.24
EV/FCF Ratio,12.34,12.22,10.28,9.86,8.19,6.46,7.67,5.96,7.34,5.49,5.00
Debt / Equity Ratio,1.91,2.03,2.19,2.25,2.42,2.45,2.17,1.95,1.51,1.40,1.37
Debt / EBITDA Ratio,4.88,5.65,6.24,6.44,6.82,6.84,6.09,11.28,2.70,3.24,3.83
Debt / FCF Ratio,6.27,6.16,6.69,5.99,5.28,5.52,4.35,3.58,3.47,2.91,2.57
Asset Turnover,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.05,0.11,0.09,0.08
Return on Equity (ROE),22.90%,20.30%,19.90%,20.60%,18.20%,24.50%,25.10%,10.90%,41.20%,30.80%,24.70%
Return on Assets (ROA),3.20%,2.80%,2.60%,2.60%,2.10%,2.60%,2.60%,1.00%,4.80%,3.60%,2.60%
Return on Capital (ROIC),7.79%,6.82%,6.34%,6.46%,5.56%,7.12%,7.84%,3.53%,16.13%,12.69%,10.60%
Earnings Yield,9.05%,7.64%,9.80%,8.23%,7.27%,13.57%,10.94%,3.98%,15.80%,16.10%,12.70%
FCF Yield,12.32%,12.39%,16.09%,14.93%,17.85%,24.92%,22.24%,21.39%,17.20%,25.86%,27.43%
Dividend Yield,1.10%,1.40%,2.00%,1.60%,1.70%,2.50%,2.00%,1.90%,1.60%,2.40%,2.53%
Payout Ratio,12.10%,18.70%,21.00%,20.10%,23.90%,19.20%,18.50%,48.90%,10.50%,14.80%,20.77%
Buyback Yield / Dilution,5.53%,4.90%,5.73%,7.74%,7.86%,7.54%,6.70%,2.22%,4.38%,6.77%,8.50%
Total Shareholder Return,6.63%,6.30%,7.73%,9.34%,9.56%,10.04%,8.70%,4.12%,5.98%,9.17%,11.04%
