,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"59,779","59,697","63,472","72,343","84,749","79,799","85,960","91,218","98,521","78,171","129,680"
Market Cap Growth,93.24%,-0.14%,6.32%,13.98%,17.15%,-5.84%,7.72%,6.12%,8.01%,-20.65%,-
Enterprise Value,"54,919","59,267","66,982","75,210","86,871","82,164","87,740","92,535","98,646","78,812","130,078"
PE Ratio,31.59,24.65,24.88,33.88,36.20,19.96,17.67,1546.06,84.57,25.56,25.98
PS Ratio,8.80,7.07,6.88,6.73,6.68,5.49,5.71,13.42,8.99,4.57,6.29
PB Ratio,8.65,6.97,7.22,7.37,7.53,9.08,14.49,18.64,15.95,28.10,-176.12
P/FCF Ratio,26.96,21.45,20.95,19.47,19.38,16.30,19.12,-453.82,39.16,12.64,16.53
P/OCF Ratio,25.97,20.48,19.81,18.16,18.18,14.95,17.67,1073.15,34.94,11.93,15.87
EV/Sales Ratio,8.08,7.02,7.26,7.00,6.85,5.66,5.82,13.62,9.00,4.61,6.31
EV/EBITDA Ratio,21.99,18.04,18.81,23.28,17.32,14.86,12.78,59.13,41.14,16.02,16.24
EV/EBIT Ratio,23.08,19.26,20.37,25.75,18.67,16.10,14.10,100.25,54.83,18.27,17.68
EV/FCF Ratio,24.77,21.30,22.11,20.24,19.86,16.78,19.51,-460.37,39.21,12.74,16.58
Debt / Equity Ratio,0.28,0.45,0.70,0.73,0.85,0.98,1.53,2.53,1.83,4.69,-22.91
Debt / EBITDA Ratio,0.76,1.18,1.73,2.22,1.90,1.56,1.32,7.91,4.70,2.65,1.79
Debt / FCF Ratio,0.86,1.39,2.03,1.93,2.18,1.77,2.02,-61.59,4.48,2.11,1.82
Quick Ratio,5.28,3.58,2.29,1.81,2.46,2.20,1.68,3.38,2.00,1.73,1.35
Current Ratio,5.41,3.71,2.47,1.89,2.58,2.37,1.83,3.56,2.11,1.86,1.44
Asset Turnover,0.72,0.65,0.54,0.55,0.53,0.60,0.70,0.33,0.46,0.73,0.80
Interest Coverage,28.57,34.84,20.52,14.04,18.32,18.97,23.40,2.59,5.39,11.03,8.82
Return on Equity (ROE),32.70%,30.00%,29.60%,22.50%,20.10%,40.10%,80.70%,1.30%,21.90%,82.50%,826.50%
Return on Assets (ROA),20.10%,18.50%,15.00%,11.00%,9.70%,16.40%,22.40%,0.30%,4.90%,13.00%,20.60%
Return on Capital (ROIC),22.56%,20.03%,17.77%,13.46%,12.86%,25.33%,29.05%,-0.38%,11.37%,25.14%,39.02%
Earnings Yield,3.17%,4.06%,4.02%,2.95%,2.76%,5.01%,5.66%,0.06%,1.18%,3.91%,4.09%
FCF Yield,3.71%,4.66%,4.77%,5.14%,5.16%,6.14%,5.23%,-0.22%,2.55%,7.91%,6.05%
Buyback Yield / Dilution,-2.12%,-1.16%,2.70%,2.97%,0.22%,3.88%,9.39%,5.40%,-0.49%,3.17%,9.29%
Total Shareholder Return,-2.12%,-1.16%,2.70%,2.97%,0.22%,3.88%,9.39%,5.40%,-0.49%,3.17%,9.29%
