,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"39,338","43,303","52,258","68,784","55,982","62,351","75,794","158,697","156,945","125,491","114,146"
Market Cap Growth,17.74%,10.08%,20.68%,31.62%,-18.61%,11.38%,21.56%,109.38%,-1.10%,-20.04%,-
Enterprise Value,"29,874","34,215","44,306","74,320","34,922","40,481","49,078","119,491","154,628",-,"113,678"
PE Ratio,29.78,29.93,27.66,29.22,15.96,16.83,22.97,27.10,21.85,24.77,24.77
PS Ratio,6.50,6.80,6.99,7.98,5.53,5.82,6.48,8.57,7.56,13.31,6.91
PB Ratio,3.33,3.23,3.18,3.71,2.71,2.87,1.35,2.82,4.29,0,55.63
P/FCF Ratio,27.96,22.23,53.32,29.70,64.87,5.25,8.80,25.51,130.57,115.55,-115.38
P/OCF Ratio,23.75,18.44,41.94,25.84,44.32,5.01,8.13,23.16,74.10,61.01,-278.72
EV/Sales Ratio,4.93,5.37,5.93,8.62,3.45,3.78,4.20,6.45,7.45,-,6.89
EV/EBITDA Ratio,12.36,12.98,13.04,17.44,6.10,7.79,10.01,13.46,12.69,-,16.50
EV/EBIT Ratio,13.49,14.05,13.96,18.46,6.40,8.28,10.77,14.44,14.04,-,19.21
EV/FCF Ratio,21.23,17.56,45.21,32.09,40.47,3.41,5.70,19.21,128.64,-,-115.24
Debt / Equity Ratio,0.16,0.22,0.18,1.07,0.33,0.34,0.24,0.42,1.03,0,0.16
Debt / EBITDA Ratio,0.79,0.72,0.85,0.67,3.45,1.32,1.52,1.54,1.95,76.06,0.05
Debt / FCF Ratio,1.35,0.97,2.95,1.24,22.89,0.58,0.86,2.19,19.77,34.88,-0.30
Quick Ratio,0.59,0.57,0.52,0.39,0.44,2.90,4.28,4.20,2.26,0,8.31
Current Ratio,0.47,0.47,0.43,0.29,0.35,2.90,4.28,4.20,2.26,0,8.31
Asset Turnover,0.04,0.03,0.03,0.04,0.03,0.04,0.02,0.03,0.04,0,0.58
Interest Coverage,21.74,18.27,18.50,11.67,6.32,4.56,10.29,16.20,7.08,0.59,0.60
Return on Equity (ROE),12.73%,12.26%,14.09%,14.34%,18.93%,17.92%,15.20%,10.44%,11.79%,13.84%,232.36%
Return on Assets (ROA),0.92%,0.94%,1.03%,1.05%,1.44%,1.25%,1.12%,1.07%,0.99%,0.92%,124.39%
Return on Capital (ROIC),11.27%,11.17%,12.26%,13.34%,10.88%,13.45%,11.33%,8.40%,10.45%,-4.22%,148.01%
Earnings Yield,3.36%,3.34%,3.61%,3.42%,6.26%,5.94%,4.35%,3.69%,4.58%,4.04%,4.18%
FCF Yield,4.95%,2.26%,4.43%,1.25%,21.23%,13.82%,8.21%,0.76%,0.69%,-,-0.95%
Dividend Yield,0.95%,0.89%,0.93%,0.86%,1.41%,1.70%,1.69%,1.15%,1.34%,-,1.55%
Payout Ratio,28.24%,26.74%,25.73%,25.15%,22.44%,28.62%,38.80%,31.12%,29.37%,-,38.46%
Buyback Yield / Dilution,-1.70%,-0.91%,-0.53%,-1.42%,-0.59%,3.01%,-8.71%,-32.20%,0.16%,3.33%,2.40%
Total Shareholder Return,-0.75%,-0.02%,0.40%,-0.56%,0.81%,4.71%,-7.02%,-31.05%,1.50%,3.33%,3.96%
