,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Revenue,"6,054","6,369","7,473","8,618","10,132","10,721","11,691","18,520","20,762","9,427"
Revenue Growth (YoY),11.41%,5.20%,17.33%,15.32%,17.57%,5.81%,9.05%,58.41%,12.11%,-54.59%
Cost of Revenue,0,0,0,0,0,0,0,0,0,"8,627"
Gross Profit,"6,054","6,369","7,473","8,618","10,132","10,721","11,691","18,520","20,762",800
Selling & Marketing,245,249,265,268,313,307,326,485,419,0
General & Administrative,"2,407","2,474","2,703","3,147","3,488","3,695","4,470","6,312","5,936","4,756"
Other Operating Expenses,980,"1,036","1,138","1,106","1,267","-9,875","-12,187","-17,604","-16,184",0
Operating Expenses,"3,632","3,759","4,106","4,521","5,068","-5,873","-7,391","-10,807","-9,829","4,756"
Operating Income,"2,217","2,411","3,164","3,992","5,419","4,848","4,300","7,713","10,933","-3,956"
Interest Income,"2,374","2,657","3,493","4,624","6,680","7,580","6,531","8,506","12,227",0
Interest Expense,102,132,171,342,857,"1,064",418,476,"1,545","-6,684"
Other Expense / Income,"2,374","2,657","3,493","4,624","6,680","6,516","6,113","8,030","12,775","-3,650"
Pretax Income,"2,115","2,279","2,993","3,650","4,562","4,848","4,300","7,713","9,388","6,378"
Income Tax,794,832,"1,104","1,296","1,055","1,144","1,001","1,858","2,205","1,311"
Net Income,"1,321","1,447","1,889","2,354","3,507","3,704","3,299","5,855","6,635","5,067"
Net Income Growth,23.34%,9.54%,30.55%,24.62%,48.98%,5.62%,-10.93%,77.48%,13.32%,-23.63%
Shares Outstanding (Basic),"1,303","1,315","1,324","1,339","1,348","1,311","1,429","1,887","1,885","1,824"
Shares Outstanding (Diluted),"1,315","1,327","1,334","1,353","1,361","1,320","1,435","1,897","1,894","1,831"
Shares Change,1.70%,0.91%,0.53%,1.42%,0.59%,-3.01%,8.71%,32.20%,-0.16%,-3.33%
EPS (Basic),1.01,1.10,1.43,1.76,2.60,2.83,2.13,2.84,3.52,2.78
EPS (Diluted),1.00,1.09,1.42,1.74,2.58,2.81,2.12,2.83,3.50,2.77
EPS Growth,20.48%,9.00%,30.28%,22.54%,48.28%,8.91%,-24.56%,33.49%,23.67%,-20.86%
Free Cash Flow,"1,407","1,948",980,"2,316",863,"11,886","8,617","6,221","1,202","1,086"
Free Cash Flow Per Share,1.07,1.47,0.73,1.71,0.63,9.00,6.00,3.28,0.63,0.59
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,8.49%
Operating Margin,36.62%,37.86%,42.34%,46.32%,53.48%,45.22%,36.78%,41.65%,52.66%,-41.96%
Profit Margin,21.82%,22.72%,25.28%,27.31%,34.61%,34.55%,28.22%,31.61%,31.96%,53.75%
Free Cash Flow Margin,23.24%,30.59%,13.11%,26.87%,8.52%,110.87%,73.71%,33.59%,5.79%,11.52%
Effective Tax Rate,37.54%,36.51%,36.89%,35.51%,23.13%,23.60%,23.28%,24.09%,23.49%,20.56%
EBITDA,"2,416","2,635","3,398","4,261","5,725","5,197","4,904","8,877","12,181",498
EBITDA Margin,39.91%,41.37%,45.47%,49.44%,56.50%,48.47%,41.95%,47.93%,58.67%,5.28%
Depreciation & Amortization,202,199,224,234,269,306,349,604,"1,164","1,248"
EBIT,"2,214","2,436","3,174","4,027","5,456","4,891","4,555","8,273","11,017",-750
EBIT Margin,36.57%,38.25%,42.47%,46.73%,53.85%,45.62%,38.96%,44.67%,53.06%,-7.96%
