,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"80,340","84,422","76,875","95,217","96,096","62,138","81,415","90,734","128,075","116,280","125,370"
Market Cap Growth,34.02%,5.08%,-8.94%,23.86%,0.92%,-35.34%,31.02%,11.45%,41.15%,-9.21%,-
Enterprise Value,"510,960","435,624","431,329","419,863","486,883","417,103","464,085","528,917","580,442","528,900","669,980"
PE Ratio,10.40,10.45,13.81,13.44,26.08,6.30,10.31,10.18,6.06,10.80,18.58
PS Ratio,2.35,2.44,2.27,3.09,2.94,1.70,2.23,2.04,2.16,2.46,2.75
PB Ratio,1.02,1.02,0.89,1.10,1.17,0.69,0.90,0.95,1.17,0.99,1.07
P/FCF Ratio,20.61,-9.84,9.76,23.74,-4.16,5.05,3.69,-4.15,23.02,15.17,150.14
P/OCF Ratio,17.68,-10.64,8.11,14.66,-4.69,3.75,3.41,-4.90,20.34,13.35,161.98
EV/Sales Ratio,14.94,12.62,12.75,13.64,14.88,11.39,12.70,11.87,9.78,11.17,14.72
EV/EBITDA Ratio,39.13,31.81,44.15,37.15,39.64,30.21,37.77,36.78,19.97,33.18,45.21
EV/EBIT Ratio,43.53,35.25,49.14,40.75,43.74,33.42,43.85,42.38,21.46,39.22,66.90
EV/FCF Ratio,131.05,-50.77,54.76,104.70,-21.08,33.93,21.04,-24.18,104.32,68.99,802.37
Debt / Equity Ratio,6.90,5.56,5.16,5.14,6.09,5.38,5.72,6.19,6.49,5.58,6.69
Debt / EBITDA Ratio,41.46,33.63,45.85,39.49,40.77,35.16,42.01,41.31,24.55,41.05,52.94
Debt / FCF Ratio,138.86,-53.67,56.87,111.31,-21.68,39.49,23.40,-27.16,128.22,85.37,939.51
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03
Return on Equity (ROE),9.90%,9.90%,6.40%,8.20%,4.30%,11.40%,8.70%,9.60%,20.30%,9.20%,6.20%
Return on Assets (ROA),0.80%,0.90%,0.60%,0.80%,0.40%,1.00%,0.80%,0.80%,1.50%,0.70%,0.50%
Return on Capital (ROIC),1.30%,1.56%,1.14%,1.39%,0.74%,1.82%,1.40%,1.37%,2.63%,1.46%,0.87%
Earnings Yield,9.62%,9.57%,7.24%,7.44%,3.83%,15.87%,9.70%,9.83%,16.51%,9.26%,5.76%
FCF Yield,4.85%,-10.16%,10.25%,4.21%,-24.04%,19.78%,27.09%,-24.11%,4.34%,6.59%,0.67%
Dividend Yield,1.20%,1.20%,1.40%,1.10%,1.10%,1.90%,1.80%,1.90%,1.70%,2.60%,2.86%
Payout Ratio,12.50%,12.80%,20.60%,15.70%,31.80%,12.30%,19.60%,20.00%,10.80%,29.60%,53.17%
Buyback Yield / Dilution,3.20%,5.28%,3.09%,5.12%,5.98%,4.62%,3.77%,4.05%,1.25%,-0.65%,4.26%
Total Shareholder Return,4.40%,6.48%,4.49%,6.22%,7.08%,6.52%,5.57%,5.95%,2.95%,1.95%,7.12%
