,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"14,595","19,120","22,786","25,748","30,220","33,994","40,263","39,671","33,838","41,145","48,507"
Market Cap Growth,10.43%,31.01%,19.17%,13.00%,17.37%,12.49%,18.44%,-1.47%,-14.70%,21.59%,-
Enterprise Value,"14,310","18,819","22,418","25,033","29,326","32,894","42,400","40,584","34,538","42,300","49,787"
PE Ratio,17.43,20.68,22.32,23.04,22.18,21.41,24.24,464.63,19.64,27.21,28.59
PS Ratio,1.43,1.73,1.91,2.00,2.14,2.27,2.51,3.17,1.79,2.20,2.48
PB Ratio,7.27,8.39,9.22,9.37,9.91,10.28,11.99,12.06,8.33,9.59,10.58
P/FCF Ratio,30.95,26.33,23.75,20.42,22.79,20.57,24.91,21.55,28.65,39.74,24.18
P/OCF Ratio,14.28,13.93,17.18,16.52,17.97,16.45,18.54,17.66,19.46,24.36,17.43
EV/Sales Ratio,1.40,1.70,1.88,1.95,2.07,2.20,2.64,3.24,1.83,2.26,2.54
EV/EBITDA Ratio,9.24,10.93,11.80,11.89,12.42,13.87,16.98,73.26,12.82,17.74,19.70
EV/EBIT Ratio,10.65,12.64,13.80,13.89,14.32,16.12,19.76,213.93,14.81,21.25,23.46
EV/FCF Ratio,30.35,25.91,23.37,19.85,22.12,19.90,26.24,22.05,29.24,40.86,24.82
Debt / Equity Ratio,0.07,0.17,0.16,0.14,0.13,0.09,1.04,1.74,1.38,1.33,1.26
Debt / EBITDA Ratio,0.10,0.23,0.21,0.19,0.17,0.13,1.40,10.35,2.09,2.39,2.29
Debt / FCF Ratio,0.32,0.54,0.41,0.31,0.30,0.19,2.16,3.11,4.76,5.51,2.88
Quick Ratio,0.36,0.46,0.52,0.68,0.72,0.75,0.54,1.24,1.20,1.29,1.06
Current Ratio,1.34,1.36,1.48,1.61,1.64,1.69,1.27,1.69,1.77,1.90,1.70
Asset Turnover,2.62,2.50,2.45,2.46,2.51,2.47,1.74,1.06,1.39,1.41,1.42
Interest Coverage,-,498.78,128.80,109.33,266.86,-,-,2.27,31.39,700.33,-
Return on Equity (ROE),43.20%,42.60%,42.60%,42.40%,47.30%,49.60%,50.30%,2.80%,44.20%,36.40%,38.80%
Return on Assets (ROA),21.50%,20.90%,20.90%,21.30%,24.20%,26.10%,18.00%,0.70%,12.60%,11.40%,12.40%
Return on Capital (ROIC),38.81%,34.64%,35.87%,35.87%,39.69%,43.66%,24.05%,1.69%,18.38%,15.15%,15.53%
Earnings Yield,5.74%,4.84%,4.48%,4.34%,4.51%,4.67%,4.13%,0.22%,5.09%,3.67%,3.53%
FCF Yield,3.23%,3.80%,4.21%,4.90%,4.39%,4.86%,4.01%,4.64%,3.49%,2.52%,4.14%
Dividend Yield,1.00%,0.90%,0.80%,0.80%,0.80%,1.00%,0.90%,0.30%,1.20%,1.00%,0.93%
Payout Ratio,17.30%,17.90%,18.50%,18.90%,17.90%,20.90%,22.00%,118.80%,23.30%,28.20%,26.59%
Buyback Yield / Dilution,3.13%,3.14%,2.79%,2.82%,2.69%,3.03%,3.08%,1.82%,0.25%,2.41%,2.17%
Total Shareholder Return,4.13%,4.04%,3.59%,3.62%,3.49%,4.03%,3.98%,2.12%,1.45%,3.41%,3.10%
