,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,-97,609,"1,274",97,864,543,932,477,694,509,"1,176",-227,716,686,954,703,620,500,"1,082",464,900,832,"1,342",674,938,-802,"1,304",-63,992,765,"1,405",746,857,907,"1,422",821,765,-220,"1,213","1,135"
Depreciation & Amortization,864,884,864,893,866,883,901,896,933,931,937,979,"1,033",991,962,"1,037","1,056","1,089","1,161","1,197","1,249","1,238","1,245","1,348","1,345","1,301","1,350","1,430","1,405","1,385","1,368","1,436","1,474","1,480","1,443","1,491","1,429",426,"2,490","1,622"
Share-Based Compensation,-58,-121,-2,-566,55,32,-24,"-1,624",6,"-1,129",175,65,495,-34,-29,169,32,340,272,186,95,-3,-19,-57,"-5,030",-56,"1,968",103,"-7,024","-1,286",109,161,"-5,451",0,0,0,0,0,"-2,316","-2,308"
Other Operating Activities,683,1,-890,"2,124",-366,-18,-370,"2,768",-353,"1,353",-746,"1,569","-1,038",-354,-420,346,-85,-538,-604,518,-725,-828,-751,616,"5,319","1,111","-2,819","1,939","6,717","1,224","-1,097","1,011","4,183",-592,-625,"-1,159","-1,455","1,277",915,"3,075"
Operating Cash Flow,"1,392","1,373","1,246","2,548","1,419","1,440","1,439","2,517","1,280","1,664","1,542","2,386","1,206","1,289","1,467","2,255","1,623","1,391","1,911","2,365","1,519","1,239","1,817","2,581","2,572","1,554","1,803","3,409","2,090","2,088","1,785","3,354","1,063","1,795","2,240","1,153",739,"1,483","2,302","3,524"
Operating Cash Flow Growth,10.04%,25.85%,-28.88%,18.68%,1.94%,4.88%,15.49%,-1.22%,-9.80%,15.56%,7.16%,-5.20%,-5.78%,-22.54%,-4.86%,-5.49%,34.58%,7.91%,30.27%,4.88%,-6.41%,-10.93%,-4.92%,9.13%,69.32%,25.42%,-0.77%,32.08%,-18.74%,34.36%,-1.00%,-1.61%,-49.14%,-14.03%,25.49%,-65.62%,-30.48%,-17.38%,2.77%,205.64%
Capital Expenditures,"-1,672","-1,232","-1,168","-1,355","-1,629","-1,411","-1,651","-1,580","-2,124","-1,645","-1,748","-1,849","-2,659","-2,160","-1,771","-1,910","-2,211","-2,087","-2,288","-2,377","-2,637","-2,536","-2,929","-2,619","-3,038","-2,832","-2,271","-2,305","-2,499","-2,215","-2,421","-2,453","-2,626","-2,551","-2,566","-3,031","-3,219",-866,"-5,399","-3,045"
Acquisitions,"1,672","-1,056",-16,172,-210,-28,"2,831","-1,204",35,0,2,-6,"-3,356",-175,-112,-83,224,-74,-66,-158,60,-94,-68,-102,-49,-77,-87,-112,39,-855,-21,-9,-7,-17,-15,-5,-15,0,-22,-8
Change in Investments,"-3,207","-2,007","-1,597","-1,330","-3,399","-2,118","-2,367","-1,778","-2,077","-2,768","-3,460","-2,125","-2,343","-2,791","-2,060","-1,518","-1,800","-1,888","-1,886","-1,707","-2,028","-1,711","-2,907","-1,579",-494,"-2,739","-4,834","-4,674","-3,713","-3,185","-3,214","-2,228","-3,574","-3,046","-1,363","-2,901","-1,266","-1,112","-2,110","-2,437"
Other Investing Activities,"1,795","3,009","1,700","1,146","3,599","2,101","2,349","1,565","2,180","2,655","3,356","2,033","2,380","2,727","2,018","1,475","1,697","1,785","1,859","1,617","1,815","1,628","2,829","1,455",257,"2,626","4,743","4,598","3,533","3,118","3,179","2,104","3,472","2,915","1,151","2,799","1,157","-1,231","4,232","2,247"
