,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Revenue,"78,812","83,176","88,519","94,595","100,904","108,203","110,225","132,110","151,157","157,403"
Revenue Growth (YoY),5.43%,5.54%,6.42%,6.86%,6.67%,7.23%,1.87%,19.85%,14.42%,4.13%
Cost of Revenue,"51,897","54,787","58,254","62,282","66,548","71,043","72,653","87,257","100,325","104,625"
Gross Profit,"26,915","28,389","30,265","32,313","34,356","37,160","37,572","44,853","50,832","52,778"
"Selling, General & Admin","16,122","16,280","16,801","17,132","17,864","19,513","19,740","24,447","25,406","26,284"
Other Operating Expenses,"1,627","1,640","1,690","1,754","1,811","2,117","1,989","2,128","2,386","2,455"
Operating Expenses,"17,749","17,920","18,491","18,886","19,675","21,630","21,729","26,575","27,792","28,739"
Operating Income,"9,166","10,469","11,774","13,427","14,681","15,530","15,843","18,278","23,040","24,039"
Interest Expense / Income,699,493,753,936,983,974,"1,128","1,300","1,303","1,562"
Pretax Income,"8,467","9,976","11,021","12,491","13,698","14,556","14,715","16,978","21,737","22,477"
Income Tax,"3,082","3,631","4,012","4,534","5,068","3,435","3,473","4,112","5,304","5,372"
Net Income,"5,385","6,345","7,009","7,957","8,630","11,121","11,242","12,866","16,433","17,105"
Net Income Growth,18.74%,17.83%,10.46%,13.53%,8.46%,28.86%,1.09%,14.45%,27.72%,4.09%
Shares Outstanding (Basic),"1,425","1,338","1,277","1,229","1,178","1,137","1,093","1,074","1,054","1,022"
Shares Outstanding (Diluted),"1,434","1,346","1,283","1,234","1,184","1,143","1,097","1,078","1,058","1,025"
Shares Change,-5.10%,-6.14%,-4.68%,-3.82%,-4.05%,-3.46%,-4.02%,-1.73%,-1.86%,-3.12%
EPS (Basic),3.78,4.74,5.49,6.47,7.33,9.78,10.29,11.98,15.59,16.74
EPS (Diluted),3.76,4.71,5.46,6.45,7.29,9.73,10.25,11.94,15.53,16.69
EPS Growth,25.33%,25.27%,15.92%,18.13%,13.02%,33.47%,5.34%,16.49%,30.07%,7.47%
Free Cash Flow,"6,327","6,848","7,913","8,200","10,181","10,723","11,009","16,376","14,005","11,496"
Free Cash Flow Per Share,4.44,5.12,6.20,6.67,8.64,9.43,10.07,15.25,13.29,11.25
Dividend Per Share,1.560,1.880,2.360,2.760,3.560,4.120,5.440,6.000,6.600,7.600
Dividend Growth,34.48%,20.51%,25.53%,16.95%,28.99%,15.73%,32.04%,10.29%,10.00%,15.15%
Gross Margin,34.15%,34.13%,34.19%,34.16%,34.05%,34.34%,34.09%,33.95%,33.63%,33.53%
Operating Margin,11.63%,12.59%,13.30%,14.19%,14.55%,14.35%,14.37%,13.84%,15.24%,15.27%
Profit Margin,6.83%,7.63%,7.92%,8.41%,8.55%,10.28%,10.20%,9.74%,10.87%,10.87%
Free Cash Flow Margin,8.03%,8.23%,8.94%,8.67%,10.09%,9.91%,9.99%,12.40%,9.27%,7.30%
Effective Tax Rate,36.40%,36.40%,36.40%,36.30%,37.00%,23.60%,23.60%,24.22%,24.40%,23.90%
EBITDA,"10,923","12,255","13,637","15,400","16,743","17,682","18,139","20,797","25,902","27,014"
EBITDA Margin,13.86%,14.73%,15.41%,16.28%,16.59%,16.34%,16.46%,15.74%,17.14%,17.16%
Depreciation & Amortization,"1,757","1,786","1,863","1,973","2,062","2,152","2,296","2,519","2,862","2,975"
EBIT,"9,166","10,469","11,774","13,427","14,681","15,530","15,843","18,278","23,040","24,039"
EBIT Margin,11.63%,12.59%,13.30%,14.19%,14.55%,14.35%,14.37%,13.84%,15.24%,15.27%
