,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,29.73,44.87,-3.47,85.07,122.7,238.33,314.96,227.13,292.56,369.45
Depreciation & Amortization,40.06,70.37,78.53,70.17,63.64,77.74,103.91,143.27,168.04,176.37
Share-Based Compensation,21.96,-0.14,34.54,36.35,39.03,41.21,52.26,53.45,63.71,75.21
Other Operating Activities,16.54,28.81,30.17,9.06,9.34,-21.83,-13.35,62.26,-54.59,-142.41
Operating Cash Flow,108.3,143.91,139.77,200.64,234.7,335.46,457.78,486.11,469.73,478.62
Operating Cash Flow Growth,25.74%,32.88%,-2.87%,43.55%,16.98%,42.93%,36.46%,6.19%,-3.37%,1.89%
Capital Expenditures,-19.04,-27.44,-35.06,-18.77,-24.5,-29.63,-46.2,-48.35,-188.37,-63.65
Acquisitions,0,-584.22,-182.34,-10.44,-47.77,-418.37,-437.56,-426.08,-192.97,-6.27
Change in Investments,0.08,5.68,1.9,5.95,0,0,0,10.26,0,0.86
Investing Cash Flow,-18.97,-605.99,-215.5,-23.26,-72.27,-448,-483.75,-464.16,-381.34,-69.06
Share Issuance / Repurchase,9.66,484.55,-9.03,-10.56,828.9,2.74,-2.5,"1,681",-15.27,736.13
Debt Issued / Paid,-17.5,221.91,-20,-20,-348.47,0,0,982.56,0,-2.16
Other Financing Activities,18.24,27.06,-,-,-,-,-1.66,-1.65,-0.41,-
Financing Cash Flow,10.41,733.51,-29.03,-30.56,480.43,2.74,-4.15,"2,662",-15.68,733.98
Exchange Rate Effect,0.19,-0.38,-0.43,-1.42,1.37,-1.25,0.44,0.94,-1.5,-2.7
Net Cash Flow,99.93,271.06,-105.19,145.41,644.24,-111.05,-29.69,"2,685",71.21,"1,141"
Free Cash Flow,89.26,116.47,104.71,181.88,210.2,305.83,411.58,437.76,281.36,414.97
Free Cash Flow Growth,25.20%,30.48%,-10.09%,73.69%,15.58%,45.49%,34.58%,6.36%,-35.73%,47.49%
Free Cash Flow Margin,20.24%,20.22%,14.71%,21.71%,21.78%,25.66%,29.40%,26.39%,14.47%,19.01%
Free Cash Flow Per Share,0.32,0.39,0.33,0.56,0.63,0.85,1.13,1.15,0.72,1.05
