,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,-,"3,645","2,866","4,386","5,587","7,899","11,354","18,417","19,228","7,817","10,508"
Market Cap Growth,-,-,-21.38%,53.04%,27.38%,41.39%,43.74%,62.21%,4.40%,-59.35%,-
Enterprise Value,"2,636","5,375","4,595","6,178","7,898","10,513","13,419","20,691","22,892","12,386","15,284"
PE Ratio,-,17.18,25.70,39.95,66.83,59.84,65.63,34.82,39.81,-30.53,-6.23
PS Ratio,-,1.99,1.55,2.11,2.27,3.14,3.67,4.61,4.00,1.83,2.56
PB Ratio,-,5.75,4.51,6.06,5.14,4.70,3.92,4.70,4.03,1.70,2.85
P/FCF Ratio,-,118.35,162.84,27.34,27.96,254.81,-436.69,-72.80,-87.00,-24.89,-31.10
P/OCF Ratio,-,21.22,18.45,14.64,14.92,31.85,25.80,42.53,43.80,30.77,60.39
EV/Sales Ratio,1.44,2.94,2.49,2.98,3.21,4.18,4.34,5.18,4.77,2.91,3.73
EV/EBITDA Ratio,7.09,14.92,12.28,16.60,17.42,21.03,20.97,18.57,21.20,46.56,-17.10
EV/EBIT Ratio,11.52,24.49,19.66,27.37,29.98,38.79,34.76,25.08,32.61,-79.39,-10.68
EV/FCF Ratio,46.41,174.51,261.07,38.51,39.53,339.13,-516.11,-81.78,-103.58,-39.44,-49.40
Debt / Equity Ratio,-7.30,2.97,2.93,2.87,2.50,1.76,1.04,0.83,0.88,1.05,1.36
Debt / EBITDA Ratio,7.29,5.22,4.97,5.59,6.00,5.92,4.72,2.91,3.89,18.23,-6.64
Debt / FCF Ratio,47.72,61.06,105.71,12.97,13.62,95.46,-116.08,-12.81,-19.01,-15.44,-19.18
Quick Ratio,1.06,1.31,1.40,1.66,1.67,1.55,2.01,1.65,1.45,0.84,1.03
Current Ratio,1.52,1.85,2.02,2.26,2.15,2.08,2.57,2.44,2.66,1.76,2.48
Asset Turnover,0.61,0.61,0.60,0.64,0.57,0.51,0.46,0.47,0.47,0.40,0.39
Interest Coverage,1.40,2.09,2.64,2.50,2.36,2.44,3.06,7.50,5.71,-0.84,-5.23
Return on Equity (ROE),-4.10%,40.40%,18.30%,17.10%,8.00%,8.30%,8.20%,14.90%,10.80%,-5.40%,-30.90%
Return on Assets (ROA),0.50%,7.00%,3.60%,3.40%,1.90%,2.70%,2.50%,6.20%,4.70%,-2.40%,-12.50%
Return on Capital (ROIC),2.54%,19.15%,6.70%,6.77%,3.88%,5.06%,5.67%,7.39%,7.00%,-1.72%,-13.79%
Earnings Yield,-,5.82%,3.89%,2.50%,1.50%,1.67%,1.52%,2.87%,2.51%,-3.28%,-12.39%
FCF Yield,-,0.84%,0.61%,3.66%,3.58%,0.39%,-0.23%,-1.37%,-1.15%,-4.02%,-2.48%
Buyback Yield / Dilution,-,-5.95%,-0.30%,-0.24%,-6.73%,-9.26%,-6.30%,-9.97%,-5.21%,-0.59%,-0.38%
Total Shareholder Return,-,-5.95%,-0.30%,-0.24%,-6.73%,-9.26%,-6.30%,-9.97%,-5.21%,-0.59%,-0.38%
